firstName,lastName,movieTitle,releaseYear,categoryName,iteration,isWinner
Lucien,Hubbard,Wings,1927,Best Picture,1st,yes
Jesse,L. Lasky,Wings,1927,Best Picture,1st,yes
B.P.,Schulberg,Wings,1927,Best Picture,1st,yes
Adolph,Zukor,Wings,1927,Best Picture,1st,yes
William,Fox,7th Heaven,1927,Best Picture,1st,no
Howard,Hughes,The Racket,1927,Best Picture,1st,no
Irving,Thalberg,The Broadway Melody,1928,Best Picture,2nd,yes
Lawrence,Weingarten,The Broadway Melody,1928,Best Picture,2nd,yes
Roland,West,Alibi,1928,Best Picture,2nd,no
Irving,Thalberg,The Hollywood Revue,1928,Best Picture,2nd,no
Harry,Rapf,The Hollywood Revue,1928,Best Picture,2nd,no
Winfield,Sheehan,In Old Arizona,1928,Best Picture,2nd,no
Carl,Laemmle Jr.,All Quiet on the Western Front,1929,Best Picture,3rd,yes
Irving,Thalberg,The Big House,1929,Best Picture,3rd,no
Jack,L. Warner,Disraeli,1929,Best Picture,3rd,no
Darryl,F. Zanuck,Disraeli,1929,Best Picture,3rd,no
Robert,Z. Leonard,The Divorcee,1929,Best Picture,3rd,no
Ernst,Lubitsch,The Love Parade,1929,Best Picture,3rd,no
William,LeBaron,Cimarron,1930,Best Picture,4th,yes
Howard,Hughes,The Front Page,1930,Best Picture,4th,no
Lewis,Milestone,The Front Page,1930,Best Picture,4th,no
Jesse,L. Lasky,Skippy,1930,Best Picture,4th,no
B.P.,Schulberg,Skippy,1930,Best Picture,4th,no
Adolph,Zukor,Skippy,1930,Best Picture,4th,no
Irving,Thalberg,Trader Horn,1930,Best Picture,4th,no
Irving,Thalberg,Grand Hotel,1931,Best Picture,5th,yes
Samuel,Goldwyn,Arrowsmith,1931,Best Picture,5th,no
King,Vidor,The Champ,1931,Best Picture,5th,no
Hal,"B. Wallis, producer",Five Star Final,1931,Best Picture,5th,no
Ernst,Lubitsch,One Hour with You,1931,Best Picture,5th,no
Adolph,Zukor,Shanghai Express,1931,Best Picture,5th,no
Ernst,"Lubitsch, producer",The Smiling Lieutenant,1931,Best Picture,5th,no
Frank,Lloyd,Cavalcade,1932,Best Picture,6th,yes
Winfield,Sheehan,Cavalcade,1932,Best Picture,6th,yes
Frank,Capra,It Happened One Night,1934,Best Picture,7th,yes
Harry,Cohn,It Happened One Night,1934,Best Picture,7th,yes
Frank,Lloyd,Mutiny on the Bounty,1935,Best Picture,8th,yes
Irving,Thalberg,Mutiny on the Bounty,1935,Best Picture,8th,yes
Hunt,Stromberg,The Great Ziegfeld,1936,Best Picture,9th,yes
Samuel,Goldwyn,Dodsworth,1936,Best Picture,9th,no
Henry,Blanke,The Life of Emile Zola,1937,Best Picture,10th,yes
Samuel,Goldwyn,Dead End,1937,Best Picture,10th,no
Frank,Capra,You Can't Take It with You,1938,Best Picture,11th,yes
David,O. Selznick,Gone with the Wind,1939,Best Picture,12th,yes
David,O. Selznick,Rebecca,1940,Best Picture,13th,yes
Darryl,F. Zanuck,How Green Was My Valley,1941,Best Picture,14th,yes
Samuel,Goldwyn,The Little Foxes,1941,Best Picture,14th,no
Sidney,Franklin,Mrs. Miniver,1942,Best Picture,15th,yes
Samuel,Goldwyn,The Pride of the Yankees,1942,Best Picture,15th,no
Hal,B. Wallis,Casablanca,1943,Best Picture,16th,yes
Leo,McCarey,Going My Way,1944,Best Picture,17th,yes
David,O. Selznick,Since You Went Away,1944,Best Picture,17th,no
Charles,Brackett,The Lost Weekend,1945,Best Picture,18th,yes
David,O. Selznick,Spellbound,1945,Best Picture,18th,no
Samuel,Goldwyn,The Best Years of Our Lives,1946,Best Picture,19th,yes
Darryl,F. Zanuck,Gentleman's Agreement,1947,Best Picture,20th,yes
Samuel,Goldwyn,The Bishop's Wife,1947,Best Picture,20th,no
Laurence,Olivier,Hamlet,1948,Best Picture,21st,yes
Robert,Rossen,All the King's Men,1949,Best Picture,22nd,yes
Darryl,F. Zanuck,All About Eve,1950,Best Picture,23rd,yes
Arthur,Freed,An American in Paris,1951,Best Picture,24th,yes
Anatole,Litvak,Decision Before Dawn,1951,Best Picture,24th,no
Frank,McCarthy,Decision Before Dawn,1951,Best Picture,24th,no
George,Stevens,A Place in the Sun,1951,Best Picture,24th,no
Sam,Zimbalist,Quo Vadis,1951,Best Picture,24th,no
Charles,K. Feldman,A Streetcar Named Desire,1951,Best Picture,24th,no
Cecil,B. DeMille,The Greatest Show on Earth,1952,Best Picture,25th,yes
Stanley,Kramer,High Noon,1952,Best Picture,25th,no
Pandro,S. Berman,Ivanhoe,1952,Best Picture,25th,no
John,and James Woolf,Moulin Rouge,1952,Best Picture,25th,no
John,Ford,The Quiet Man,1952,Best Picture,25th,no
Merian,C. Cooper,The Quiet Man,1952,Best Picture,25th,no
Buddy,Adler,From Here to Eternity,1953,Best Picture,26th,yes
John,Houseman,Julius Caesar,1953,Best Picture,26th,no
Frank,Ross,The Robe,1953,Best Picture,26th,no
William,Wyler,Roman Holiday,1953,Best Picture,26th,no
George,Stevens,Shane,1953,Best Picture,26th,no
Sam,Spiegel,On the Waterfront,1954,Best Picture,27th,yes
Stanley,Kramer,The Caine Mutiny,1954,Best Picture,27th,no
William,Perlberg,The Country Girl,1954,Best Picture,27th,no
Jack,Cummings,Seven Brides for Seven Brothers,1954,Best Picture,27th,no
Sol,C. Siegel,Three Coins in the Fountain,1954,Best Picture,27th,no
Harold,Hecht,Marty,1955,Best Picture,28th,yes
Buddy,Adler,Love Is a Many-Splendored Thing,1955,Best Picture,28th,no
Leland,Hayward,Mister Roberts,1955,Best Picture,28th,no
Fred,Kohlmar,Picnic,1955,Best Picture,28th,no
Hal,B. Wallis,The Rose Tattoo,1955,Best Picture,28th,no
Michael,Todd,Around the World in 80 Days,1956,Best Picture,29th,yes
William,Wyler,Friendly Persuasion,1956,Best Picture,29th,no
George,Stevens,Giant,1956,Best Picture,29th,no
Henry,Ginsberg,Giant,1956,Best Picture,29th,no
Charles,Brackett,The King and I,1956,Best Picture,29th,no
Cecil,B. DeMille,The Ten Commandments,1956,Best Picture,29th,no
Sam,Spiegel,The Bridge on the River Kwai,1957,Best Picture,30th,yes
Henry,Fonda,12 Angry Men,1957,Best Picture,30th,no
Reginald,Rose,12 Angry Men,1957,Best Picture,30th,no
Jerry,Wald,Peyton Place,1957,Best Picture,30th,no
William,Goetz,Sayonara,1957,Best Picture,30th,no
Arthur,Hornblow Jr.,Witness for the Prosecution,1957,Best Picture,30th,no
Arthur,Freed,Gigi,1958,Best Picture,31st,yes
Jack,L. Warner,Auntie Mame,1958,Best Picture,31st,no
Lawrence,Weingarten,Cat on a Hot Tin Roof,1958,Best Picture,31st,no
Stanley,Kramer,The Defiant Ones,1958,Best Picture,31st,no
Harold,Hecht,Separate Tables,1958,Best Picture,31st,no
Sam,Zimbalist,Ben-Hur,1959,Best Picture,32nd,yes
Otto,Preminger,Anatomy of a Murder,1959,Best Picture,32nd,no
George,Stevens,The Diary of Anne Frank,1959,Best Picture,32nd,no
Henry,Blanke,The Nun's Story,1959,Best Picture,32nd,no
John,Woolf,Room at the Top,1959,Best Picture,32nd,no
James,Woolf,Room at the Top,1959,Best Picture,32nd,no
