firstName,lastName,movieTitle,releaseYear,categoryName,iteration,isWinner
Emil,Jannings,The Last Command,1927,Best Actor in a Leading Role,1st,yes
Emil,Jannings,The Way of All Flesh,1927,Best Actor in a Leading Role,1st,yes
Richard,Barthelmess,The Noose,1927,Best Actor in a Leading Role,1st,no
Charlie,Chaplin,The Circus,1927,Best Actor in a Leading Role,1st,no
Warner,Baxter,In Old Arizona,1928,Best Actor in a Leading Role,2nd,yes
George,Bancroft,Thunderbolt,1928,Best Actor in a Leading Role,2nd,no
Chester,Morris,Alibi,1928,Best Actor in a Leading Role,2nd,no
Paul,Muni,The Valiant,1928,Best Actor in a Leading Role,2nd,no
Lewis,Stone,The Patriot,1928,Best Actor in a Leading Role,2nd,no
George,Arliss,Disraeli,1929,Best Actor in a Leading Role,3rd,yes
Wallace,Beery,The Big House,1929,Best Actor in a Leading Role,3rd,no
Maurice,Chevalier,The Big Pond,1929,Best Actor in a Leading Role,3rd,no
Ronald,Colman,Bulldog Drummond,1929,Best Actor in a Leading Role,3rd,no
Lawrence,Tibbett,The Rogue Song,1929,Best Actor in a Leading Role,3rd,no
Lionel,Barrymore,A Free Soul,1930,Best Actor in a Leading Role,4th,yes
Jackie,Cooper,Skippy,1930,Best Actor in a Leading Role,4th,no
Richard,Dix,Cimarron,1930,Best Actor in a Leading Role,4th,no
Fredric,March,The Royal Family of Broadway,1930,Best Actor in a Leading Role,4th,no
Adolphe,Menjou,The Front Page,1930,Best Actor in a Leading Role,4th,no
Wallace,Beery,The Champ,1931,Best Actor in a Leading Role,5th,yes
Fredric,March,Dr. Jekyll and Mr. Hyde,1931,Best Actor in a Leading Role,5th,yes
Alfred,Lunt,The Guardsman,1931,Best Actor in a Leading Role,5th,no
Charles,Laughton,The Private Life of Henry VIII,1932,Best Actor in a Leading Role,6th,yes
Leslie,Howard,Berkeley Square,1932,Best Actor in a Leading Role,6th,no
Paul,Muni,I Am a Fugitive from a Chain Gang,1932,Best Actor in a Leading Role,6th,no
Clark,Gable,It Happened One Night,1934,Best Actor in a Leading Role,7th,yes
Frank,Morgan,The Affairs of Cellini,1934,Best Actor in a Leading Role,7th,no
William,Powell,The Thin Man,1934,Best Actor in a Leading Role,7th,no
Victor,McLaglen,The Informer,1935,Best Actor in a Leading Role,8th,yes
Clark,Gable,Mutiny on the Bounty,1935,Best Actor in a Leading Role,8th,no
Paul,Muni,Black Fury,1935,Best Actor in a Leading Role,8th,no
Franchot,Tone,Mutiny on the Bounty,1935,Best Actor in a Leading Role,8th,no
Paul,Muni,The Story of Louis Pasteur,1936,Best Actor in a Leading Role,9th,yes
Gary,Cooper,Mr. Deeds Goes to Town,1936,Best Actor in a Leading Role,9th,no
Walter,Huston,Dodsworth,1936,Best Actor in a Leading Role,9th,no
William,Powell,My Man Godfrey,1936,Best Actor in a Leading Role,9th,no
Spencer,Tracy,San Francisco,1936,Best Actor in a Leading Role,9th,no
Spencer,Tracy,Captains Courageous,1937,Best Actor in a Leading Role,10th,yes
Charles,Boyer,Conquest,1937,Best Actor in a Leading Role,10th,no
Fredric,March,A Star Is Born,1937,Best Actor in a Leading Role,10th,no
Robert,Montgomery,Night Must Fall,1937,Best Actor in a Leading Role,10th,no
Paul,Muni,The Life of Emile Zola,1937,Best Actor in a Leading Role,10th,no
Spencer,Tracy,Boys Town,1938,Best Actor in a Leading Role,11th,yes
Charles,Boyer,Algiers,1938,Best Actor in a Leading Role,11th,no
James,Cagney,Angels with Dirty Faces,1938,Best Actor in a Leading Role,11th,no
Robert,Donat,The Citadel,1938,Best Actor in a Leading Role,11th,no
Leslie,Howard,Pygmalion,1938,Best Actor in a Leading Role,11th,no
Robert,Donat,"Goodbye, Mr. Chips",1939,Best Actor in a Leading Role,12th,yes
Clark,Gable,Gone with the Wind,1939,Best Actor in a Leading Role,12th,no
Laurence,Olivier,Wuthering Heights,1939,Best Actor in a Leading Role,12th,no
Mickey,Rooney,Babes in Arms,1939,Best Actor in a Leading Role,12th,no
