firstName,lastName,movieTitle,releaseYear
Janet,Gaynor,7th Heaven,1927
Louise,Dresser,A Ship Comes In,1927
Gloria,Swanson,Sadie Thompson,1927
Mary,Pickford,Coquette,1928
Ruth,Chatterton,Madame X,1928
Betty,Compson,The Barker,1928
Jeanne,Eagels,The Letter,1928
Corinne,Griffith,The Divine Lady,1928
Bessie,Love,The Broadway Melody,1928
Norma,Shearer,The Divorcee,1929
Nancy,Carroll,The Devil's Holiday,1929
Ruth,Chatterton,Sarah and Son,1929
Greta,Garbo,Anna Christie,1929
Gloria,Swanson,The Trespasser,1929
Marie,Dressler,Min and Bill,1930
Marlene,Dietrich,Morocco,1930
Irene,Dunne,Cimarron,1930
Ann,Harding,Holiday,1930
Norma,Shearer,A Free Soul,1930
Helen,Hayes,The Sin of Madelon Claudet,1931
Marie,Dressler,Emma,1931
Lynn,Fontanne,The Guardsman,1931
Katharine,Hepburn,Morning Glory,1932
May,Robson,Lady for a Day,1932
Diana,Wynyard,Cavalcade,1932
Claudette,Colbert,It Happened One Night,1934
Bette,Davis,Of Human Bondage,1934
Grace,Moore,One Night of Love,1934
Norma,Shearer,The Barretts of Wimpole Street,1934
Bette,Davis,Dangerous,1935
Elisabeth,Bergner,Escape Me Never,1935
Claudette,Colbert,Private Worlds,1935
Katharine,Hepburn,Alice Adams,1935
Miriam,Hopkins,Becky Sharp,1935
Merle,Oberon,The Dark Angel,1935
Luise,Rainer,The Great Ziegfeld,1936
Irene,Dunne,Theodora Goes Wild,1936
Gladys,George,Valiant Is the Word for Carrie,1936
Carole,Lombard,My Man Godfrey,1936
Norma,Shearer,Romeo and Juliet,1936
Luise,Rainer,The Good Earth,1937
Irene,Dunne,The Awful Truth,1937
Greta,Garbo,Camille,1937
Janet,Gaynor,A Star Is Born,1937
Barbara,Stanwyck,Stella Dallas,1937
Bette,Davis,Jezebel,1938
Fay,Bainter,White Banners,1938
Wendy,Hiller,Pygmalion,1938
Norma,Shearer,Marie Antoinette,1938
Margaret,Sullavan,Three Comrades,1938
Vivien,Leigh,Gone with the Wind,1939
Bette,Davis,Dark Victory,1939
Irene,Dunne,Love Affair,1939
Greta,Garbo,Ninotchka,1939
Greer,Garson,"Goodbye, Mr. Chips",1939
Ginger,Rogers,Kitty Foyle,1940
Bette,Davis,The Letter,1940
Joan,Fontaine,Rebecca,1940
Katharine,Hepburn,The Philadelphia Story,1940
Martha,Scott,Our Town,1940
Joan,Fontaine,Suspicion,1941
Bette,Davis,The Little Foxes,1941
Olivia,de Havilland,Hold Back the Dawn,1941
Greer,Garson,Blossoms in the Dust,1941
Barbara,Stanwyck,Ball of Fire,1941
Greer,Garson,Mrs. Miniver,1942
Bette,Davis,"Now, Voyager",1942
Katharine,Hepburn,Woman of the Year,1942
Rosalind,Russell,My Sister Eileen,1942
Teresa,Wright,The Pride of the Yankees,1942
Jennifer,Jones,The Song of Bernadette,1943
Jean,Arthur,The More the Merrier,1943
Ingrid,Bergman,For Whom the Bell Tolls,1943
Joan,Fontaine,The Constant Nymph,1943
Greer,Garson,Madame Curie,1943
Ingrid,Bergman,Gaslight,1944
Claudette,Colbert,Since You Went Away,1944
Bette,Davis,Mr. Skeffington,1944
Greer,Garson,Mrs. Parkington,1944
Barbara,Stanwyck,Double Indemnity,1944
Joan,Crawford,Mildred Pierce,1945
Ingrid,Bergman,The Bells of St. Mary's,1945
Greer,Garson,The Valley of Decision,1945
Jennifer,Jones,Love Letters,1945
Gene,Tierney,Leave Her to Heaven,1945
Olivia,de Havilland,To Each His Own,1946
Celia,Johnson,Brief Encounter,1946
Jennifer,Jones,Duel in the Sun,1946
Rosalind,Russell,Sister Kenny,1946
Jane,Wyman,The Yearling,1946
Loretta,Young,The Farmer's Daughter,1947
Joan,Crawford,Possessed,1947
Susan,Hayward,"Smash-Up, the Story of a Woman",1947
Dorothy,McGuire,Gentleman's Agreement,1947
Rosalind,Russell,Mourning Becomes Electra,1947
Jane,Wyman,Johnny Belinda,1948
Ingrid,Bergman,Joan of Arc,1948
Olivia,de Havilland,The Snake Pit,1948
Irene,Dunne,I Remember Mama,1948
Barbara,Stanwyck,"Sorry, Wrong Number",1948
Olivia,de Havilland,The Heiress,1949
Jeanne,Crain,Pinky,1949
Susan,Hayward,My Foolish Heart,1949
Deborah,Kerr,"Edward, My Son",1949
Loretta,Young,Come to the Stable,1949
Judy,Holliday,Born Yesterday,1950
Anne,Baxter,All About Eve,1950
Eleanor,Parker,Caged,1950
Gloria,Swanson,Sunset Boulevard,1950
Vivien,Leigh,A Streetcar Named Desire,1951
Katharine,Hepburn,The African Queen,1951
Eleanor,Parker,Detective Story,1951
Shelley,Winters,A Place in the Sun,1951
Jane,Wyman,The Blue Veil,1951
Shirley,Booth,"Come Back, Little Sheba",1952
Joan,Crawford,Sudden Fear,1952
Bette,Davis,The Star,1952
Julie,Harris,The Member of the Wedding,1952
Susan,Hayward,With a Song in My Heart,1952
Audrey,Hepburn,Roman Holiday,1953
Leslie,Caron,Lili,1953
Ava,Gardner,Mogambo,1953
Deborah,Kerr,From Here to Eternity,1953
Maggie,McNamara,The Moon Is Blue,1953
Grace,Kelly,The Country Girl,1954
Dorothy,Dandridge,Carmen Jones,1954
Judy,Garland,A Star Is Born,1954
Audrey,Hepburn,Sabrina,1954
Jane,Wyman,Magnificent Obsession,1954
Anna,Magnani,The Rose Tattoo,1955
Susan,Hayward,I'll Cry Tomorrow,1955
Katharine,Hepburn,Summertime,1955
Jennifer,Jones,Love is a Many-Splendored Thing,1955
Eleanor,Parker,Interrupted Melody,1955
Ingrid,Bergman,Anastasia,1956
Carroll,Baker,Baby Doll,1956
Katharine,Hepburn,The Rainmaker,1956
Nancy,Kelly,The Bad Seed,1956
Deborah,Kerr,The King and I,1956
Joanne,Woodward,The Three Faces of Eve,1957
Deborah,Kerr,"Heaven Knows, Mr. Allison",1957
Anna,Magnani,Wild Is the Wind,1957
Elizabeth,Taylor,Raintree County,1957
Lana,Turner,Peyton Place,1957
Susan,Hayward,I Want to Live!,1958
Deborah,Kerr,Separate Tables,1958
Shirley,MacLaine,Some Came Running,1958
Rosalind,Russell,Auntie Mame,1958
Elizabeth,Taylor,Cat on a Hot Tin Roof,1958
Simone,Signoret,Room at the Top,1959
