firstName,lastName,movieTitle,releaseYear,categoryName,iteration,isWinner
Janet,Gaynor,7th Heaven,1927,Best Actress in a Leading Role,1st,yes
Louise,Dresser,A Ship Comes In,1927,Best Actress in a Leading Role,1st,no
Gloria,Swanson,Sadie Thompson,1927,Best Actress in a Leading Role,1st,no
Mary,Pickford,Coquette,1928,Best Actress in a Leading Role,2nd,yes
Ruth,Chatterton,Madame X,1928,Best Actress in a Leading Role,2nd,no
Betty,Compson,The Barker,1928,Best Actress in a Leading Role,2nd,no
Jeanne,Eagels,The Letter,1928,Best Actress in a Leading Role,2nd,no
Corinne,Griffith,The Divine Lady,1928,Best Actress in a Leading Role,2nd,no
Bessie,Love,The Broadway Melody,1928,Best Actress in a Leading Role,2nd,no
Norma,Shearer,The Divorcee,1929,Best Actress in a Leading Role,3rd,yes
Nancy,Carroll,The Devil's Holiday,1929,Best Actress in a Leading Role,3rd,no
Ruth,Chatterton,Sarah and Son,1929,Best Actress in a Leading Role,3rd,no
Greta,Garbo,Anna Christie,1929,Best Actress in a Leading Role,3rd,no
Gloria,Swanson,The Trespasser,1929,Best Actress in a Leading Role,3rd,no
Marie,Dressler,Min and Bill,1930,Best Actress in a Leading Role,4th,yes
Marlene,Dietrich,Morocco,1930,Best Actress in a Leading Role,4th,no
Irene,Dunne,Cimarron,1930,Best Actress in a Leading Role,4th,no
Ann,Harding,Holiday,1930,Best Actress in a Leading Role,4th,no
Norma,Shearer,A Free Soul,1930,Best Actress in a Leading Role,4th,no
Helen,Hayes,The Sin of Madelon Claudet,1931,Best Actress in a Leading Role,5th,yes
Marie,Dressler,Emma,1931,Best Actress in a Leading Role,5th,no
Lynn,Fontanne,The Guardsman,1931,Best Actress in a Leading Role,5th,no
Katharine,Hepburn,Morning Glory,1932,Best Actress in a Leading Role,6th,yes
May,Robson,Lady for a Day,1932,Best Actress in a Leading Role,6th,no
Diana,Wynyard,Cavalcade,1932,Best Actress in a Leading Role,6th,no
Claudette,Colbert,It Happened One Night,1934,Best Actress in a Leading Role,7th,yes
Bette,Davis,Of Human Bondage,1934,Best Actress in a Leading Role,7th,no
Grace,Moore,One Night of Love,1934,Best Actress in a Leading Role,7th,no
Norma,Shearer,The Barretts of Wimpole Street,1934,Best Actress in a Leading Role,7th,no
Bette,Davis,Dangerous,1935,Best Actress in a Leading Role,8th,yes
Elisabeth,Bergner,Escape Me Never,1935,Best Actress in a Leading Role,8th,no
Claudette,Colbert,Private Worlds,1935,Best Actress in a Leading Role,8th,no
Katharine,Hepburn,Alice Adams,1935,Best Actress in a Leading Role,8th,no
Miriam,Hopkins,Becky Sharp,1935,Best Actress in a Leading Role,8th,no
Merle,Oberon,The Dark Angel,1935,Best Actress in a Leading Role,8th,no
Luise,Rainer,The Great Ziegfeld,1936,Best Actress in a Leading Role,9th,yes
Irene,Dunne,Theodora Goes Wild,1936,Best Actress in a Leading Role,9th,no
Gladys,George,Valiant Is the Word for Carrie,1936,Best Actress in a Leading Role,9th,no
Carole,Lombard,My Man Godfrey,1936,Best Actress in a Leading Role,9th,no
Norma,Shearer,Romeo and Juliet,1936,Best Actress in a Leading Role,9th,no
Luise,Rainer,The Good Earth,1937,Best Actress in a Leading Role,10th,yes
Irene,Dunne,The Awful Truth,1937,Best Actress in a Leading Role,10th,no
Greta,Garbo,Camille,1937,Best Actress in a Leading Role,10th,no
Janet,Gaynor,A Star Is Born,1937,Best Actress in a Leading Role,10th,no
Barbara,Stanwyck,Stella Dallas,1937,Best Actress in a Leading Role,10th,no
Bette,Davis,Jezebel,1938,Best Actress in a Leading Role,11th,yes
Fay,Bainter,White Banners,1938,Best Actress in a Leading Role,11th,no
Wendy,Hiller,Pygmalion,1938,Best Actress in a Leading Role,11th,no
Norma,Shearer,Marie Antoinette,1938,Best Actress in a Leading Role,11th,no
Margaret,Sullavan,Three Comrades,1938,Best Actress in a Leading Role,11th,no
Vivien,Leigh,Gone with the Wind,1939,Best Actress in a Leading Role,12th,yes
