firstName,lastName,movieTitle,releaseYear
Benjamin,Glazer,7th Heaven,1927
Anthony,Coldeway,Glorious Betsy,1927
Alfred,A. Cohn,The Jazz Singer,1927
Hanns,Kräly,The Patriot,1928
Elliott,J. Clawson,The Cop,1928
Tom,Barry,In Old Arizona,1928
Hanns,Kräly,The Last of Mrs. Cheyney,1928
Elliott,J. Clawson,The Leatherneck,1928
Josephine,Lovett,Our Dancing Daughters,1928
Elliott,J. Clawson,Sal of Singapore,1928
Dudley,Murphy,Skyscraper,1928
Tom,Barry,The Valiant,1928
Bess,Meredyth,A Woman of Affairs,1928
Hermann,Sudermann,Wonder of Women,1928
Frances,Marion,The Big House,1929
George,Abbott,All Quiet on the Western Front,1929
Maxwell,Anderson,All Quiet on the Western Front,1929
Del,Andrews,All Quiet on the Western Front,1929
Julien,Josephson,Disraeli,1929
John,Meehan,The Divorcee,1929
Howard,Estabrook,Street of Chance,1929
Howard,Estabrook,Cimarron,1930
Seton,I. Miller,The Criminal Code,1930
Fred,Niblo Jr.,The Criminal Code,1930
Horace,Jackson,Holiday,1930
Francis,Edward Faragoh,Little Caesar,1930
Robert,N. Lee,Little Caesar,1930
Joseph,L. Mankiewicz,Skippy,1930
Sam,Mintz,Skippy,1930
Edwin,J. Burke,Bad Girl,1931
Sidney,Howard,Arrowsmith,1931
Percy,Heath,Dr. Jekyll and Mr. Hyde,1931
Samuel,Hoffenstein,Dr. Jekyll and Mr. Hyde,1931
Victor,Heerman,Little Women,1932
Sarah,Y. Mason,Little Women,1932
Robert,Riskin,Lady for a Day,1932
Paul,Green,State Fair,1932
Sonya,Levien,State Fair,1932
Robert,Riskin,It Happened One Night,1934
Frances,Goodrich,The Thin Man,1934
Albert,Hackett,The Thin Man,1934
Ben,Hecht,Viva Villa!,1934
Dudley,Nichols,The Informer,1935
[note,9],The Informer,1935
[9],,The Informer,1935
Achmed,Abdullah,The Lives of a Bengal Lancer,1935
John,L. Balderston,The Lives of a Bengal Lancer,1935
Waldemar,Young,The Lives of a Bengal Lancer,1935
Grover,Jones,The Lives of a Bengal Lancer,1935
William,Slavens McNutt,The Lives of a Bengal Lancer,1935
Jules,Furthman,Mutiny on the Bounty,1935
Talbot,Jennings,Mutiny on the Bounty,1935
Carey,Wilson,Mutiny on the Bounty,1935
Pierre,Collings,The Story of Louis Pasteur,1936
Sheridan,Gibney,The Story of Louis Pasteur,1936
Frances,Goodrich,After the Thin Man,1936
Albert,Hackett,After the Thin Man,1936
Sidney,Howard,Dodsworth,1936
Robert,Riskin,Mr. Deeds Goes to Town,1936
Eric,S. Hatch,My Man Godfrey,1936
Morrie,Ryskind,My Man Godfrey,1936
Norman,Reilly Raine,The Life of Emile Zola,1937
Viña,Delmar,The Awful Truth,1937
Marc,Connelly,Captains Courageous,1937
Dale,Van Every,Captains Courageous,1937
John,Lee Mahin,Captains Courageous,1937
Morrie,Ryskind,Stage Door,1937
Anthony,Veiller,Stage Door,1937
Alan,Campbell,A Star Is Born,1937
Robert,Carson,A Star Is Born,1937
Dorothy,Parker,A Star Is Born,1937
George,Bernard Shaw,Pygmalion,1938
Ian,Dalrymple,Pygmalion,1938
Cecil,Arthur Lewis,Pygmalion,1938
W.,P. Lipscomb,Pygmalion,1938
John,Meehan,Boys Town,1938
Dore,Schary,Boys Town,1938
Betty,Hill,The Citadel,1938
Spig,Wead,The Citadel,1938
Lenore,Coffee,Four Daughters,1938
Julius,J. Epstein,Four Daughters,1938
Robert,Riskin,You Can't Take It with You,1938
Sidney,Howard,Gone with the Wind,1939
p.r.,,Gone with the Wind,1939
Holt,Marvell,"Goodbye, Mr. Chips",1939
R.,C. Sherriff,"Goodbye, Mr. Chips",1939
Claudine,West,"Goodbye, Mr. Chips",1939
Sidney,Buchman,Mr. Smith Goes to Washington,1939
Charles,Brackett,Ninotchka,1939
Walter,Reisch,Ninotchka,1939
Billy,Wilder,Ninotchka,1939
Ben,Hecht,Wuthering Heights,1939
Charles,MacArthur,Wuthering Heights,1939
Donald,Ogden Stewart,The Philadelphia Story,1940
Nunnally,Johnson,The Grapes of Wrath,1940
Dalton,Trumbo,Kitty Foyle,1940
Dudley,Nichols,The Long Voyage Home,1940
Joan,Harrison,Rebecca,1940
Robert,E. Sherwood,Rebecca,1940
Sidney,Buchman,Here Comes Mr. Jordan,1941
Seton,I. Miller,Here Comes Mr. Jordan,1941
Charles,Brackett,Hold Back the Dawn,1941
Billy,Wilder,Hold Back the Dawn,1941
Philip,Dunne,How Green Was My Valley,1941
Lillian,Hellman,The Little Foxes,1941
John,Huston,The Maltese Falcon,1941
George,Froeschel,Mrs. Miniver,1942
James,Hilton,Mrs. Miniver,1942
Claudine,West,Mrs. Miniver,1942
Arthur,Wimperis,Mrs. Miniver,1942
Rodney,Ackland,49th Parallel,1942
Emeric,Pressburger,49th Parallel,1942
Herman,J. Mankiewicz,The Pride of the Yankees,1942
Jo,Swerling,The Pride of the Yankees,1942
Sidney,Buchman,The Talk of the Town,1942
Irwin,Shaw,The Talk of the Town,1942
Philip,G. Epstein,Casablanca,1943
Julius,J. Epstein,Casablanca,1943
Howard,Koch,Casablanca,1943
Nunnally,Johnson,Holy Matrimony,1943
Lewis,R. Foster,The More the Merrier,1943
Frank,Ross,The More the Merrier,1943
Robert,W. Russell,The More the Merrier,1943
George,Seaton,The Song of Bernadette,1943
Dashiell,Hammett,Watch on the Rhine,1943
Frank,Butler,Going My Way,1944
Frank,Cavett,Going My Way,1944
Raymond,Chandler,Double Indemnity,1944
Billy,Wilder,Double Indemnity,1944
John,L. Balderston,Gaslight,1944
Walter,Reisch,Gaslight,1944
John,Van Druten,Gaslight,1944
Jay,Dratler,Laura,1944
Samuel,Hoffenstein,Laura,1944
Elizabeth,Reinhardt,Laura,1944
Irving,Brecher,Meet Me in St. Louis,1944
Fred,F. Finklehoffe,Meet Me in St. Louis,1944
Charles,Brackett,The Lost Weekend,1945
Billy,Wilder,The Lost Weekend,1945
Guy,Endore,G. I. Joe,1945
Philip,Stevenson,G. I. Joe,1945
Ranald,MacDougall,Mildred Pierce,1945
Albert,Maltz,Pride of the Marines,1945
Tess,Slesinger,A Tree Grows in Brooklyn,1945
p.n.,,A Tree Grows in Brooklyn,1945
Robert,E. Sherwood,The Best Years of Our Lives,1946
Sally,Benson,Anna and the King of Siam,1946
Talbot,Jennings,Anna and the King of Siam,1946
Anthony,Havelock-Allan,Brief Encounter,1946
David,Lean,Brief Encounter,1946
Ronald,Neame,Brief Encounter,1946
Anthony,Veiller,The Killers,1946
Sergio,Amidei,"Rome, Open City",1946
Federico,Fellini,"Rome, Open City",1946
George,Seaton,Miracle on 34th Street,1947
Richard,Murphy,Boomerang,1947
John,Paxton,Crossfire,1947
Moss,Hart,Gentleman's Agreement,1947
David,Lean,Great Expectations,1947
Anthony,Havelock-Allan,Great Expectations,1947
Ronald,Neame,Great Expectations,1947
John,Huston,The Treasure of the Sierra Madre,1948
Charles,Brackett,A Foreign Affair,1948
Richard,L. Breen,A Foreign Affair,1948
Billy,Wilder,A Foreign Affair,1948
Irma,von Cube,Johnny Belinda,1948
Richard,Schweizer,The Search,1948
David,Wechsler,The Search,1948
de,,The Search,1948
Millen,Brand,The Snake Pit,1948
Frank,Partos,The Snake Pit,1948
Joseph,L. Mankiewicz,A Letter to Three Wives,1949
Robert,Rossen,All the King's Men,1949
Cesare,Zavattini,The Bicycle Thief,1949
Carl,Foreman,Champion,1949
Graham,Greene,The Fallen Idol,1949
Joseph,L. Mankiewicz,All About Eve,1950
John,Huston,The Asphalt Jungle,1950
Ben,Maddow,The Asphalt Jungle,1950
Albert,Mannheimer,Born Yesterday,1950
Albert,Maltz,Broken Arrow,1950
[note,10],Broken Arrow,1950
Frances,Goodrich,Father of the Bride,1950
Albert,Hackett,Father of the Bride,1950
Harry,Brown,A Place in the Sun,1951
Michael,Wilson,A Place in the Sun,1951
James,Agee,The African Queen,1951
John,Huston,The African Queen,1951
Robert,Wyler,Detective Story,1951
Philip,Yordan,Detective Story,1951
Jacques,Natanson,La Ronde,1951
Max,Ophüls,La Ronde,1951
Tennessee,Williams,A Streetcar Named Desire,1951
Charles,Schnee,The Bad and the Beautiful,1952
Michael,Wilson,5 Fingers,1952
Carl,Foreman,High Noon,1952
John,Dighton,The Man in the White Suit,1952
Alexander,Mackendrick,The Man in the White Suit,1952
Roger,MacDougall,The Man in the White Suit,1952
Frank,Nugent,The Quiet Man,1952
Daniel,Taradash,From Here to Eternity,1953
Eric,Ambler,The Cruel Sea,1953
Helen,Deutsch,Lili,1953
John,Dighton,Roman Holiday,1953
Ian,McLellan Hunter,Roman Holiday,1953
A.,B. Guthrie Jr.,Shane,1953
George,Seaton,The Country Girl,1954
Stanley,Roberts,The Caine Mutiny,1954
John,Michael Hayes,Rear Window,1954
Ernest,Lehman,Sabrina,1954
Samuel,A. Taylor,Sabrina,1954
Billy,Wilder,Sabrina,1954
Frances,Goodrich,Seven Brides for Seven Brothers,1954
Albert,Hackett,Seven Brides for Seven Brothers,1954
Dorothy,Kingsley,Seven Brides for Seven Brothers,1954
Paddy,Chayefsky,Marty,1955
Millard,Kaufman,Bad Day at Black Rock,1955
Richard,Brooks,Blackboard Jungle,1955
Paul,Osborn,East of Eden,1955
Daniel,Fuchs,Love Me or Leave Me,1955
Isobel,Lennart,Love Me or Leave Me,1955
John,Farrow,Around the World in 80 Days,1956
S.,J. Perelman,Around the World in 80 Days,1956
James,Poe,Around the World in 80 Days,1956
Tennessee,Williams,Baby Doll,1956
Michael,Wilson,Friendly Persuasion,1956
[note,11],Friendly Persuasion,1956
Fred,Guiol,Giant,1956
Ivan,Moffat,Giant,1956
Norman,Corwin,Lust for Life,1956
Pierre,Boulle,The Bridge on the River Kwai,1957
Carl,Foreman,The Bridge on the River Kwai,1957
Michael,Wilson,The Bridge on the River Kwai,1957
[note,12],The Bridge on the River Kwai,1957
Reginald,Rose,12 Angry Men,1957
John,Huston,"Heaven Knows, Mr. Allison",1957
John,Lee Mahin,"Heaven Knows, Mr. Allison",1957
John,Michael Hayes,Peyton Place,1957
Paul,Osborn,Sayonara,1957
Alan,Jay Lerner,Gigi,1958
Richard,Brooks,Cat on a Hot Tin Roof,1958
James,Poe,Cat on a Hot Tin Roof,1958
Alec,Guinness,The Horse's Mouth,1958
Nelson,Gidding,I Want to Live!,1958
Don,Mankiewicz,I Want to Live!,1958
John,Gay,Separate Tables,1958
Terence,Rattigan,Separate Tables,1958
Neil,Paterson,Room at the Top,1959
Wendell,Mayes,Anatomy of a Murder,1959
Karl,Tunberg,Ben-Hur,1959
Robert,Anderson,The Nun's Story,1959
I.,A. L. Diamond,Some Like It Hot,1959
Billy,Wilder,Some Like It Hot,1959
Richard,Brooks,Elmer Gantry,1960
Harold,Jacob Smith,Inherit the Wind,1960
Nedrick,Young,Inherit the Wind,1960
[note,13],Inherit the Wind,1960
T.,E. B. Clarke,Sons and Lovers,1960
Gavin,Lambert,Sons and Lovers,1960
Isobel,Lennart,The Sundowners,1960
James,Kennaway,Tunes of Glory,1960
Abby,Mann,Judgment at Nuremberg,1961
George,Axelrod,Breakfast at Tiffany's,1961
Carl,Foreman,The Guns of Navarone,1961
Sidney,Carroll,The Hustler,1961
Robert,Rossen,The Hustler,1961
Ernest,Lehman,West Side Story,1961
Horton,Foote,To Kill a Mockingbird,1962
Eleanor,Perry,David and Lisa,1962
Robert,Bolt,Lawrence of Arabia,1962
Michael,Wilson,Lawrence of Arabia,1962
[note,14],Lawrence of Arabia,1962
Vladimir,Nabokov,Lolita,1962
William,Gibson,The Miracle Worker,1962
John,Osborne,Tom Jones,1963
Richard,L. Breen,"Captain Newman, M.D.",1963
Henry,,"Captain Newman, M.D.",1963
Phoebe,Ephron,"Captain Newman, M.D.",1963
Harriet,Frank Jr.,Hud,1963
Irving,Ravetch,Hud,1963
James,Poe,Lilies of the Field,1963
Serge,Bourguignon,Sundays and Cybele,1963
Edward,Anhalt,Becket,1964
Stanley,Kubrick,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
Peter,George,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
Terry,Southern,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
Don,DaGradi,Mary Poppins,1964
Bill,Walsh,Mary Poppins,1964
Alan,Jay Lerner,My Fair Lady,1964
Michael,Cacoyannis,Zorba the Greek,1964
Robert,Bolt,Doctor Zhivago,1965
Walter,Newman,Cat Ballou,1965
Frank,Pierson,Cat Ballou,1965
John,Kohn,The Collector,1965
Stanley,Mann,The Collector,1965
Abby,Mann,Ship of Fools,1965
Herb,Gardner,A Thousand Clowns,1965
Robert,Bolt,A Man for All Seasons,1966
Bill,Naughton,Alfie,1966
Richard,Brooks,The Professionals,1966
William,Rose,"The Russians Are Coming, the Russians Are Coming",1966
Ernest,Lehman,Who's Afraid of Virginia Woolf?,1966
Stirling,Silliphant,In the Heat of the Night,1967
Donn,Pearce,Cool Hand Luke,1967
Frank,Pierson,Cool Hand Luke,1967
Buck,Henry,The Graduate,1967
Calder,Willingham,The Graduate,1967
Richard,Brooks,In Cold Blood,1967
Fred,Haines,Ulysses,1967
Joseph,Strick,Ulysses,1967
James,Goldman,The Lion in Winter,1968
Neil,Simon,The Odd Couple,1968
Vernon,Harris,Oliver!,1968
Stewart,Stern,"Rachel, Rachel",1968
Roman,Polanski,Rosemary's Baby,1968
Waldo,Salt,Midnight Cowboy,1969
Bridget,Boland,Anne of the Thousand Days,1969
Arnold,Schulman,"Goodbye, Columbus",1969
James,Poe,"They Shoot Horses, Don't They?",1969
Robert,E. Thompson,"They Shoot Horses, Don't They?",1969
Costa-Gavras,,Z,1969
Jorge,Semprún,Z,1969
Ring,Lardner Jr.,M*A*S*H,1970
George,Seaton,Airport,1970
Robert,Anderson,I Never Sang for My Father,1970
Joseph,Bologna,Lovers and Other Strangers,1970
David,Zelag Goodman,Lovers and Other Strangers,1970
Renée,Taylor,Lovers and Other Strangers,1970
Larry,Kramer,Women in Love,1970
Ernest,Tidyman,The French Connection,1971
Stanley,Kubrick,A Clockwork Orange,1971
Bernardo,Bertolucci,The Conformist,1971
Ugo,Pirro,The Garden of the Finzi-Continis,1971
Peter,Bogdanovich,The Last Picture Show,1971
Larry,McMurtry,The Last Picture Show,1971
Francis,Ford Coppola,The Godfather,1972
Mario,Puzo,The Godfather,1972
Jay,Presson Allen,Cabaret,1972
Bengt,Forslund,The Emigrants,1972
Jan,Troell,The Emigrants,1972
