firstName,lastName,movieTitle,releaseYear,categoryName,iteration,isWinner
Benjamin,Glazer,7th Heaven,1927,Best Adapted Screenplay,1st,yes
Anthony,Coldeway,Glorious Betsy,1927,Best Adapted Screenplay,1st,no
Alfred,A. Cohn,The Jazz Singer,1927,Best Adapted Screenplay,1st,no
Hanns,Kräly,The Patriot,1928,Best Adapted Screenplay,2nd,yes
Elliott,J. Clawson,The Cop,1928,Best Adapted Screenplay,2nd,no
Tom,Barry,In Old Arizona,1928,Best Adapted Screenplay,2nd,no
Hanns,Kräly,The Last of Mrs. Cheyney,1928,Best Adapted Screenplay,2nd,no
Elliott,J. Clawson,The Leatherneck,1928,Best Adapted Screenplay,2nd,no
Josephine,Lovett,Our Dancing Daughters,1928,Best Adapted Screenplay,2nd,no
Elliott,J. Clawson,Sal of Singapore,1928,Best Adapted Screenplay,2nd,no
Dudley,Murphy,Skyscraper,1928,Best Adapted Screenplay,2nd,no
Tom,Barry,The Valiant,1928,Best Adapted Screenplay,2nd,no
Bess,Meredyth,A Woman of Affairs,1928,Best Adapted Screenplay,2nd,no
Hermann,Sudermann,Wonder of Women,1928,Best Adapted Screenplay,2nd,no
Frances,Marion,The Big House,1929,Best Adapted Screenplay,3rd,yes
George,Abbott,All Quiet on the Western Front,1929,Best Adapted Screenplay,3rd,no
Maxwell,Anderson,All Quiet on the Western Front,1929,Best Adapted Screenplay,3rd,no
Del,Andrews,All Quiet on the Western Front,1929,Best Adapted Screenplay,3rd,no
Julien,Josephson,Disraeli,1929,Best Adapted Screenplay,3rd,no
John,Meehan,The Divorcee,1929,Best Adapted Screenplay,3rd,no
Howard,Estabrook,Street of Chance,1929,Best Adapted Screenplay,3rd,no
Howard,Estabrook,Cimarron,1930,Best Adapted Screenplay,4th,yes
Seton,I. Miller,The Criminal Code,1930,Best Adapted Screenplay,4th,no
Fred,Niblo Jr.,The Criminal Code,1930,Best Adapted Screenplay,4th,no
Horace,Jackson,Holiday,1930,Best Adapted Screenplay,4th,no
Francis,Edward Faragoh,Little Caesar,1930,Best Adapted Screenplay,4th,no
Robert,N. Lee,Little Caesar,1930,Best Adapted Screenplay,4th,no
Joseph,L. Mankiewicz,Skippy,1930,Best Adapted Screenplay,4th,no
Sam,Mintz,Skippy,1930,Best Adapted Screenplay,4th,no
Edwin,J. Burke,Bad Girl,1931,Best Adapted Screenplay,5th,yes
Sidney,Howard,Arrowsmith,1931,Best Adapted Screenplay,5th,no
Percy,Heath,Dr. Jekyll and Mr. Hyde,1931,Best Adapted Screenplay,5th,no
Samuel,Hoffenstein,Dr. Jekyll and Mr. Hyde,1931,Best Adapted Screenplay,5th,no
Victor,Heerman,Little Women,1932,Best Adapted Screenplay,6th,yes
Sarah,Y. Mason,Little Women,1932,Best Adapted Screenplay,6th,yes
Robert,Riskin,Lady for a Day,1932,Best Adapted Screenplay,6th,no
Paul,Green,State Fair,1932,Best Adapted Screenplay,6th,no
Sonya,Levien,State Fair,1932,Best Adapted Screenplay,6th,no
Robert,Riskin,It Happened One Night,1934,Best Adapted Screenplay,7th,yes
Frances,Goodrich,The Thin Man,1934,Best Adapted Screenplay,7th,no
Albert,Hackett,The Thin Man,1934,Best Adapted Screenplay,7th,no
Ben,Hecht,Viva Villa!,1934,Best Adapted Screenplay,7th,no
Dudley,Nichols,The Informer,1935,Best Adapted Screenplay,8th,yes
[note,9],The Informer,1935,Best Adapted Screenplay,8th,yes
[9],,The Informer,1935,Best Adapted Screenplay,8th,yes
Achmed,Abdullah,The Lives of a Bengal Lancer,1935,Best Adapted Screenplay,8th,no
John,L. Balderston,The Lives of a Bengal Lancer,1935,Best Adapted Screenplay,8th,no
Waldemar,Young,The Lives of a Bengal Lancer,1935,Best Adapted Screenplay,8th,no
Grover,Jones,The Lives of a Bengal Lancer,1935,Best Adapted Screenplay,8th,no
William,Slavens McNutt,The Lives of a Bengal Lancer,1935,Best Adapted Screenplay,8th,no
Jules,Furthman,Mutiny on the Bounty,1935,Best Adapted Screenplay,8th,no
Talbot,Jennings,Mutiny on the Bounty,1935,Best Adapted Screenplay,8th,no
Carey,Wilson,Mutiny on the Bounty,1935,Best Adapted Screenplay,8th,no
Pierre,Collings,The Story of Louis Pasteur,1936,Best Adapted Screenplay,9th,yes
Sheridan,Gibney,The Story of Louis Pasteur,1936,Best Adapted Screenplay,9th,yes
Frances,Goodrich,After the Thin Man,1936,Best Adapted Screenplay,9th,no
Albert,Hackett,After the Thin Man,1936,Best Adapted Screenplay,9th,no
Sidney,Howard,Dodsworth,1936,Best Adapted Screenplay,9th,no
Robert,Riskin,Mr. Deeds Goes to Town,1936,Best Adapted Screenplay,9th,no
Eric,S. Hatch,My Man Godfrey,1936,Best Adapted Screenplay,9th,no
Morrie,Ryskind,My Man Godfrey,1936,Best Adapted Screenplay,9th,no
Norman,Reilly Raine,The Life of Emile Zola,1937,Best Adapted Screenplay,10th,yes
Viña,Delmar,The Awful Truth,1937,Best Adapted Screenplay,10th,no
Marc,Connelly,Captains Courageous,1937,Best Adapted Screenplay,10th,no
Dale,Van Every,Captains Courageous,1937,Best Adapted Screenplay,10th,no
John,Lee Mahin,Captains Courageous,1937,Best Adapted Screenplay,10th,no
Morrie,Ryskind,Stage Door,1937,Best Adapted Screenplay,10th,no
Anthony,Veiller,Stage Door,1937,Best Adapted Screenplay,10th,no
Alan,Campbell,A Star Is Born,1937,Best Adapted Screenplay,10th,no
Robert,Carson,A Star Is Born,1937,Best Adapted Screenplay,10th,no
Dorothy,Parker,A Star Is Born,1937,Best Adapted Screenplay,10th,no
George,Bernard Shaw,Pygmalion,1938,Best Adapted Screenplay,11th,yes
Ian,Dalrymple,Pygmalion,1938,Best Adapted Screenplay,11th,yes
Cecil,Arthur Lewis,Pygmalion,1938,Best Adapted Screenplay,11th,yes
