firstName,lastName,movieTitle,releaseYear,categoryName,iteration,isWinner
Aron,Warner,Shrek,2001,Best Animated Feature Film,74th,yes
John,A. Davis,Jimmy Neutron: Boy Genius,2001,Best Animated Feature Film,74th,no
Steve,Oedekerk,Jimmy Neutron: Boy Genius,2001,Best Animated Feature Film,74th,no
Pete,Docter,"Monsters, Inc.",2001,Best Animated Feature Film,74th,no
John,Lasseter,"Monsters, Inc.",2001,Best Animated Feature Film,74th,no
Hayao,Miyazaki,Spirited Away,2002,Best Animated Feature Film,75th,yes
Chris,Wedge,Ice Age,2002,Best Animated Feature Film,75th,no
Chris,Sanders,Lilo & Stitch,2002,Best Animated Feature Film,75th,no
Jeffrey,Katzenberg,Spirit: Stallion of the Cimarron,2002,Best Animated Feature Film,75th,no
Ron,Clements,Treasure Planet,2002,Best Animated Feature Film,75th,no
Andrew,Stanton,Finding Nemo,2003,Best Animated Feature Film,76th,yes
Aaron,Blaise,Brother Bear,2003,Best Animated Feature Film,76th,no
Robert,Walker,Brother Bear,2003,Best Animated Feature Film,76th,no
Sylvain,Chomet,The Triplets of Belleville,2003,Best Animated Feature Film,76th,no
Brad,Bird,The Incredibles,2004,Best Animated Feature Film,77th,yes
Bill,Damaschke,Shark Tale,2004,Best Animated Feature Film,77th,no
Andrew,Adamson,Shrek 2,2004,Best Animated Feature Film,77th,no
Nick,Park,Wallace & Gromit: The Curse of the Were-Rabbit,2005,Best Animated Feature Film,78th,yes
Steve,Box,Wallace & Gromit: The Curse of the Were-Rabbit,2005,Best Animated Feature Film,78th,yes
Tim,Burton,Corpse Bride,2005,Best Animated Feature Film,78th,no
Mike,Johnson,Corpse Bride,2005,Best Animated Feature Film,78th,no
Hayao,Miyazaki,Howl's Moving Castle,2005,Best Animated Feature Film,78th,no
George,Miller,Happy Feet,2006,Best Animated Feature Film,79th,yes
John,Lasseter,Cars,2006,Best Animated Feature Film,79th,no
Gil,Kenan,Monster House,2006,Best Animated Feature Film,79th,no
Brad,Bird,Ratatouille,2007,Best Animated Feature Film,80th,yes
Vincent,Paronnaud,Persepolis,2007,Best Animated Feature Film,80th,no
Marjane,Satrapi,Persepolis,2007,Best Animated Feature Film,80th,no
Chris,Buck,Surf's Up,2007,Best Animated Feature Film,80th,no
Ash,Brannon,Surf's Up,2007,Best Animated Feature Film,80th,no
Andrew,Stanton,WALL-E,2008,Best Animated Feature Film,81st,yes
Byron,Howard,Bolt,2008,Best Animated Feature Film,81st,no
Chris,Williams,Bolt,2008,Best Animated Feature Film,81st,no
Mark,Osborne,Kung Fu Panda,2008,Best Animated Feature Film,81st,no
John,Stevenson,Kung Fu Panda,2008,Best Animated Feature Film,81st,no
Pete,Docter,Up,2009,Best Animated Feature Film,82nd,yes
Henry,Selick,Coraline,2009,Best Animated Feature Film,82nd,no
Wes,Anderson,Fantastic Mr. Fox,2009,Best Animated Feature Film,82nd,no
John,Musker,The Princess and the Frog,2009,Best Animated Feature Film,82nd,no
Ron,Clements,The Princess and the Frog,2009,Best Animated Feature Film,82nd,no
Tomm,Moore,The Secret of Kells,2009,Best Animated Feature Film,82nd,no
Lee,Unkrich,Toy Story 3,2010,Best Animated Feature Film,83rd,yes
Chris,Sanders,How to Train Your Dragon,2010,Best Animated Feature Film,83rd,no
Dean,DeBlois,How to Train Your Dragon,2010,Best Animated Feature Film,83rd,no
Sylvain,Chomet,The Illusionist,2010,Best Animated Feature Film,83rd,no
Gore,Verbinski,Rango,2011,Best Animated Feature Film,84th,yes
Alain,Gagnol,A Cat in Paris,2011,Best Animated Feature Film,84th,no
Jean-Loup,Felicioli,A Cat in Paris,2011,Best Animated Feature Film,84th,no
Javier,Mariscal,Chico and Rita,2011,Best Animated Feature Film,84th,no
Fernando,Trueba,Chico and Rita,2011,Best Animated Feature Film,84th,no
Jennifer,Yuh Nelson,Kung Fu Panda 2,2011,Best Animated Feature Film,84th,no
Chris,Miller,Puss in Boots,2011,Best Animated Feature Film,84th,no
Brenda,Chapman,Brave,2012,Best Animated Feature Film,85th,yes
Mark,Andrews,Brave,2012,Best Animated Feature Film,85th,yes
Tim,Burton,Frankenweenie,2012,Best Animated Feature Film,85th,no
Chris,Butler,ParaNorman,2012,Best Animated Feature Film,85th,no
Sam,Fell,ParaNorman,2012,Best Animated Feature Film,85th,no
Peter,Lord,The Pirates! Band of Misfits,2012,Best Animated Feature Film,85th,no
Rich,Moore,Wreck-It Ralph,2012,Best Animated Feature Film,85th,no
Chris,Buck,Frozen,2013,Best Animated Feature Film,86th,yes
Jennifer,Lee,Frozen,2013,Best Animated Feature Film,86th,yes
Peter,Del Vecho,Frozen,2013,Best Animated Feature Film,86th,yes
Chris,Sanders,The Croods,2013,Best Animated Feature Film,86th,no
Kristine,Belson,The Croods,2013,Best Animated Feature Film,86th,no
Kirk,DeMicco,The Croods,2013,Best Animated Feature Film,86th,no
Chris,Renaud,Despicable Me 2,2013,Best Animated Feature Film,86th,no
Pierre,Coffin,Despicable Me 2,2013,Best Animated Feature Film,86th,no
Chris,Meledandri,Despicable Me 2,2013,Best Animated Feature Film,86th,no
Didier,Brunner,Ernest & Celestine,2013,Best Animated Feature Film,86th,no
Benjamin,Renner,Ernest & Celestine,2013,Best Animated Feature Film,86th,no
Hayao,Miyazaki,The Wind Rises,2013,Best Animated Feature Film,86th,no
Toshio,Suzuki,The Wind Rises,2013,Best Animated Feature Film,86th,no
Don,Hall,Big Hero 6,2014,Best Animated Feature Film,87th,yes
Chris,Williams,Big Hero 6,2014,Best Animated Feature Film,87th,yes
Roy,Conli,Big Hero 6,2014,Best Animated Feature Film,87th,yes
Travis,Knight,The Boxtrolls,2014,Best Animated Feature Film,87th,no
Graham,Annable,The Boxtrolls,2014,Best Animated Feature Film,87th,no
Anthony,Stacchi,The Boxtrolls,2014,Best Animated Feature Film,87th,no
Dean,DeBlois,How to Train Your Dragon 2,2014,Best Animated Feature Film,87th,no
Bonnie,Arnold,How to Train Your Dragon 2,2014,Best Animated Feature Film,87th,no
Tomm,Moore,Song of the Sea,2014,Best Animated Feature Film,87th,no
Paul,Young,Song of the Sea,2014,Best Animated Feature Film,87th,no
Isao,Takahata,The Tale of the Princess Kaguya,2014,Best Animated Feature Film,87th,no
Yoshiaki,Nishimura,The Tale of the Princess Kaguya,2014,Best Animated Feature Film,87th,no
Pete,Docter,Inside Out,2015,Best Animated Feature Film,88th,yes
Jonas,Rivera,Inside Out,2015,Best Animated Feature Film,88th,yes
Duke,Johnson,Anomalisa,2015,Best Animated Feature Film,88th,no
Charlie,Kaufman,Anomalisa,2015,Best Animated Feature Film,88th,no
Rosa,Tran,Anomalisa,2015,Best Animated Feature Film,88th,no
Alê,Abreu,Boy and the World,2015,Best Animated Feature Film,88th,no
Mark,Burton,Shaun the Sheep Movie,2015,Best Animated Feature Film,88th,no
Richard,Starzak,Shaun the Sheep Movie,2015,Best Animated Feature Film,88th,no
Hiromasa,Yonebayashi,When Marnie Was There,2015,Best Animated Feature Film,88th,no
Yoshiaki,Nishimura,When Marnie Was There,2015,Best Animated Feature Film,88th,no
Byron,Howard,Zootopia,2016,Best Animated Feature Film,89th,yes
Rich,Moore,Zootopia,2016,Best Animated Feature Film,89th,yes
Clark,Spencer,Zootopia,2016,Best Animated Feature Film,89th,yes
Travis,Knight,Kubo and the Two Strings,2016,Best Animated Feature Film,89th,no
Arianne,Sutner,Kubo and the Two Strings,2016,Best Animated Feature Film,89th,no
John,Musker,Moana,2016,Best Animated Feature Film,89th,no
Ron,Clements,Moana,2016,Best Animated Feature Film,89th,no
Osnat,Shurer,Moana,2016,Best Animated Feature Film,89th,no
Claude,Barras,My Life as a Zucchini,2016,Best Animated Feature Film,89th,no
Max,Karli,My Life as a Zucchini,2016,Best Animated Feature Film,89th,no
Michaël,Dudok de Wit,The Red Turtle,2016,Best Animated Feature Film,89th,no
Toshio,Suzuki,The Red Turtle,2016,Best Animated Feature Film,89th,no
Lee,Unkrich,Coco,2017,Best Animated Feature Film,90th,yes
Darla,K. Anderson,Coco,2017,Best Animated Feature Film,90th,yes
Tom,McGrath,The Boss Baby,2017,Best Animated Feature Film,90th,no
Ramsey,Naito,The Boss Baby,2017,Best Animated Feature Film,90th,no
Nora,Twomey,The Breadwinner,2017,Best Animated Feature Film,90th,no
Anthony,Leo,The Breadwinner,2017,Best Animated Feature Film,90th,no
Carlos,Saldanha,Ferdinand,2017,Best Animated Feature Film,90th,no
Dorota,Kobiela,Loving Vincent,2017,Best Animated Feature Film,90th,no
Ivan,Mactaggart,Loving Vincent,2017,Best Animated Feature Film,90th,no
Hugh,Welchman,Loving Vincent,2017,Best Animated Feature Film,90th,no
Bob,Persichetti,Spider-Man: Into the Spider-Verse,2018,Best Animated Feature Film,91st,yes
Peter,Ramsey,Spider-Man: Into the Spider-Verse,2018,Best Animated Feature Film,91st,yes
Rodney,Rothman,Spider-Man: Into the Spider-Verse,2018,Best Animated Feature Film,91st,yes
Phil,Lord,Spider-Man: Into the Spider-Verse,2018,Best Animated Feature Film,91st,yes
Christopher,Miller,Spider-Man: Into the Spider-Verse,2018,Best Animated Feature Film,91st,yes
Brad,Bird,Incredibles 2,2018,Best Animated Feature Film,91st,no
John,Walker,Incredibles 2,2018,Best Animated Feature Film,91st,no
Nicole,Paradis Grindle,Incredibles 2,2018,Best Animated Feature Film,91st,no
Wes,Anderson,Isle of Dogs,2018,Best Animated Feature Film,91st,no
