firstName,lastName,movieTitle,releaseYear
Walt,Disney,Flowers and Trees,1931
Leon,Schlesinger,It's Got Me Again!,1931
Walt,Disney,Mickey's Orphans,1931
Walt,Disney,Three Little Pigs,1932
Walt,Disney,Building a Building,1932
Walter,Lantz,The Merry Old Soul,1932
Walt,Disney,The Tortoise and the Hare,1934
Charles,Mintz,Holiday Land,1934
Walter,Lantz,Jolly Little Elves,1934
Walt,Disney,Three Orphan Kittens,1935
Harman-Ising,,The Calico Dragon,1935
Walt,Disney,Who Killed Cock Robin?,1935
Walt,Disney,The Country Cousin,1936
Harman-Ising,,The Old Mill Pond,1936
Max,Fleischer,Popeye the Sailor Meets Sindbad the Sailor,1936
Walt,Disney,The Old Mill,1937
Max,Fleischer,Educated Fish,1937
Charles,Mintz,Little Match Girl,1937
Walt,Disney,Ferdinand the Bull,1938
Walt,Disney,Brave Little Tailor,1938
Max,Fleischer,Hunky and Spunky,1938
Walt,Disney,Mother Goose Goes Hollywood,1938
Walt,Disney,The Ugly Duckling,1939
Leon,Schlesinger,Detouring America,1939
Harman-Ising,,Peace on Earth,1939
Walt,Disney,The Pointer,1939
Fred,Quimby,The Milky Way,1940
Fred,Quimby,Puss Gets the Boot,1940
Leon,Schlesinger,A Wild Hare,1940
Walt,Disney,Lend a Paw,1941
Walter,Lantz,"Boogie Woogie Bugle Boy of Company ""B""",1941
Leon,Schlesinger,Hiawatha's Rabbit Hunt,1941
Fred,Quimby,The Night Before Christmas,1941
Leon,Schlesinger,Rhapsody in Rivets,1941
George,Pal,Rhythm in the Ranks,1941
Fred,Quimby,The Rookie Bear,1941
Max,Fleischer,Superman,1941
Walt,Disney,Truant Officer Donald,1941
Walt,Disney,Der Fuehrer's Face,1942
Paul,Terry,"All Out for ""V""",1942
Fred,Quimby,Blitz Wolf,1942
Walter,Lantz,Juke Box Jamboree,1942
Leon,Schlesinger,Pigs in a Polka,1942
George,Pal,Tulips Shall Grow,1942
Fred,Quimby,The Yankee Doodle Mouse,1943
George,Pal,The 500 Hats of Bartholomew Cubbins,1943
Walter,Lantz,The Dizzy Acrobat,1943
Leon,Schlesinger,Greetings Bait,1943
Dave,Fleischer,Imagination,1943
Walt,Disney,Reason and Emotion,1943
Fred,Quimby,Mouse Trouble,1944
George,Pal,And to Think That I Saw It on Mulberry Street,1944
Hugh,McCollum,"Dog, Cat and Canary",1944
Walter,Lantz,Fish Fry,1944
Walt,Disney,How to Play Football,1944
Paul,Terry,"My Boy, Johnny",1944
Leon,Schlesinger,Swooner Crooner,1944
Fred,Quimby,Quiet Please!,1945
Walt,Disney,Donald's Crime,1945
George,Pal,Jasper and the Beanstalk,1945
Edward,Selzer,Life with Feathers,1945
Paul,Terry,Mighty Mouse in Gypsy Life,1945
Walter,Lantz,The Poet and Peasant,1945
Fred,Quimby,The Cat Concerto,1946
George,Pal,John Henry and the Inky-Poo,1946
Walter,Lantz,Musical Moments from Chopin,1946
Walt,Disney,Squatter's Rights,1946
Edward,Selzer,Walky Talky Hawky,1946
Edward,Selzer,Tweetie Pie,1947
Walt,Disney,Chip an' Dale,1947
Fred,Quimby,Dr. Jekyll and Mr. Mouse,1947
Walt,Disney,Pluto's Blue Note,1947
George,Pal,Tubby the Tuba,1947
Fred,Quimby,The Little Orphan,1948
Walt,Disney,Mickey and the Seal,1948
Edward,Selzer,Mouse Wreckers,1948
United,Productions of America,Robin Hoodlum,1948
Walt,Disney,Tea for Two Hundred,1948
Edward,Selzer,For Scent-imental Reasons,1949
Edward,Selzer,Canary Row,1949
Fred,Quimby,Hatch Up Your Troubles,1949
Stephen,Bosustow,Magic Fluke,1949
Walt,Disney,Toy Tinkers,1949
Stephen,Bosustow,Gerald McBoing-Boing,1950
Fred,Quimby,Jerry's Cousin,1950
Stephen,Bosustow,Trouble Indemnity,1950
Fred,Quimby,The Two Mouseketeers,1951
Walt,Disney,Lambert the Sheepish Lion,1951
Stephen,Bosustow,Rooty Toot Toot,1951
Fred,Quimby,Johann Mouse,1952
Stephen,Bosustow,Madeline,1952
Tom,Daly,Romance of Transportation,1952
Walt,Disney,"Toot, Whistle, Plunk and Boom",1953
Stephen,Bosustow,Christopher Crumpet,1953
Edward,Selzer,From A to Z-Z-Z-Z,1953
Stephen,Bosustow,When Magoo Flew,1954
Walter,Lantz,Crazy Mixed Up Pup,1954
Walt,Disney,Pigs Is Pigs,1954
Edward,Selzer,Sandy Claws,1954
Fred,Quimby,"Touché, Pussy Cat!",1954
Edward,Selzer,Speedy Gonzales,1955
Fred,Quimby,Good Will to Men,1955
William,Hanna,Good Will to Men,1955
Joseph,Barbera,Good Will to Men,1955
Walter,Lantz,The Legend of Rockabye Point,1955
Walt,Disney,No Hunting,1955
Stephen,Bosustow,Magoo's Puddle Jumper,1956
Edward,Selzer,Birds Anonymous,1957
William,Hanna,One Droopy Knight,1957
Joseph,Barbera,One Droopy Knight,1957
Stephen,Bosustow,Trees and Jamaica Daddy,1957
Walt,Disney,The Truth About Mother Goose,1957
John,W. Burton,Knighty Knight Bugs,1958
Walt,Disney,Paul Bunyan,1958
John,Hubley,Moonbird,1959
John,W. Burton,Mexicali Shmoes,1959
Walt,Disney,Noah's Ark,1959
Ernest,Pintoff,The Violinist,1959
William,L. Snyder,Munro,1960
Walt,Disney,Goliath II,1960
Warner,Bros.,High Note,1960
Zagreb,Film,Ersatz,1961
Walt,Disney,Aquamania,1961
Chuck,Jones,Beep Prepared,1961
Friz,Freleng,The Pied Piper of Guadalupe,1961
Faith,,The Hole,1962
John,Hubley,The Hole,1962
Jules,Engel,Icarus Montgolfier Wright,1962
Warner,Bros.,Now Hear This,1962
William,L. Snyder,Self Defense—For Cowards,1962
Walt,Disney,A Symposium on Popular Songs,1962
Ernest,Pintoff,The Critic,1963
John,Halas,Automania 2000,1963
Dušan,Vukotić,The Game (Igra),1963
Tom,Daly,My Financial Career,1963
Colin,Low,My Financial Career,1963
Carmen,D'Avino,Pianissimo,1963
David,H. DePatie,The Pink Phink,1964
Friz,Freleng,The Pink Phink,1964
National,Film Board of Canada,Christmas Cracker,1964
William,L. Snyder,Here's Nudnik,1964
Chuck,Jones,The Dot and the Line,1965
Eli,Noyes,Clay or The Origin of Species,1965
Emanuele,Luzzati,The Thieving Magpie,1965
Faith,,A Herb Alpert and the Tijuana Brass Double Feature,1966
John,Hubley,A Herb Alpert and the Tijuana Brass Double Feature,1966
Wolf,Koenig,The Drag,1966
Robert,Verrall,The Drag,1966
David,H. DePatie,The Pink Blueprint,1966
Friz,Freleng,The Pink Blueprint,1966
Fred,Wolf,The Box,1967
Robert,Verrall,What on Earth!,1967
Wolf,Koenig,What on Earth!,1967
Walt,Disney,Winnie the Pooh and the Blustery Day,1968
p.n.,,Winnie the Pooh and the Blustery Day,1968
Wolf,Koenig,The House That Jack Built,1968
Jimmy,Murakami,The Magic Pear Tree,1968
Faith,,Windy Day,1968
John,Hubley,Windy Day,1968
Ward,Kimball,It's Tough to Be a Bird,1969
Faith,,Of Men and Demons,1969
John,Hubley,Of Men and Demons,1969
Ryan,Larkin,Walking,1969
Dale,Case,The Further Adventures of Uncle Sam,1970
Ted,Petok,The Crunch Bird,1971
Michael,Mills,Evolution,1971
Gerald,Potterton,The Selfish Giant,1971
Richard,Williams,A Christmas Carol,1972
Bob,Godfrey,Kama Sutra Rides Again,1972
Nedeljko,Dragić,Tup Tup,1972
Frank,Mouris,Frank Film,1973
Emanuele,Luzzati,Pulcinella,1973
Bob,Gardiner,Closed Mondays,1974
Will,Vinton,Closed Mondays,1974
Robert,Verrall,The Family That Dwelt Apart,1974
Peter,Foldes,Hunger,1974
René,Jodoin,Hunger,1974
Faith,,Voyage to Next,1974
John,Hubley,Voyage to Next,1974
Wolfgang,Reitherman,Winnie the Pooh and Tigger Too,1974
Bob,Godfrey,Great,1975
Robert,Swarthe,Kick Me,1975
René,Jodoin,Monsieur Pointu,1975
Bernard,Longpré,Monsieur Pointu,1975
Marcell,Jankovics,Sisyphus,1975
Suzanne,Baker,Leisure,1976
Caroline,Leaf,The Street,1976
Co,Hoedeman,The Sand Castle,1977
Ishu,Patel,The Bead Game,1977
Faith,,A Doonesbury Special,1977
John,Hubley,A Doonesbury Special,1977
p.n.,,A Doonesbury Special,1977
Garry,Trudeau,A Doonesbury Special,1977
Robert,Grossman,Jimmy the C,1977
Eunice,Macaulay,Special Delivery,1978
John,Weldon,Special Delivery,1978
Will,Vinton,Rip Van Winkle,1978
Derek,Lamb,Every Child,1979
Bob,Godfrey,Dream Doll,1979
Zlatko,Grgić,Dream Doll,1979
Paul,Fierlinger,It's So Nice to Have a Wolf Around the House,1979
Ferenc,Rofusz,The Fly,1980
Frédéric,Back,All Nothing,1980
Michael,Mills,History of the World in Three Minutes Flat,1980
Frédéric,Back,Crac,1981
Will,Vinton,The Creation,1981
Janet,Perlman,The Tender Tale of Cinderella Penguin,1981
Zbigniew,Rybczyński,Tango,1982
Will,Vinton,The Great Cognito,1982
John,Coates,The Snowman,1982
Dianne,Jackson,The Snowman,1982
Burny,Mattinson,Mickey's Christmas Carol,1983
Jon,Minnis,Charade,1984
Morton,Schindel,Doctor DeSoto,1984
Michael,Sporn,Doctor DeSoto,1984
Ishu,Patel,Paradise,1984
Cilia,van Dijk,Anna & Bella,1985
Richard,Condie,The Big Snit,1985
Michael,Scott,The Big Snit,1985
Alison,Snowden,Second Class Mail,1985
John,Lasseter,Luxo Jr.,1986
Bill,Reeves,Luxo Jr.,1986
Frédéric,Back,The Man Who Planted Trees,1987
Eunice,Macaulay,George and Rosemary,1987
Bill,Plympton,Your Face,1987
John,Lasseter,Tin Toy,1988
Bill,Reeves,Tin Toy,1988
Cordell,Barker,The Cat Came Back,1988
Bill,Kroyer,Technological Threat,1988
Wolfgang,,Balance,1989
Christoph,Lauenstein,Balance,1989
Aleksandr,Petrov,The Cow,1989
Mark,Baker,The Hill Farm,1989
Nick,Park,Creature Comforts,1990
Bruno,Bozzetto,Grasshoppers,1990
Christopher,Hinton,Blackfly,1991
Wendy,Tilby,Strings,1991
Joan,C. Gratz,Mona Lisa Descending a Staircase,1992
Peter,Lord,Adam,1992
Michaela,Pavlátová,"Reci, Reci, Reci...",1992
Paul,Berry,The Sandman,1992
Barry,Purves,Screen Play,1992
Nick,Park,The Wrong Trousers,1993
Frédéric,Back,The Mighty River,1993
Bob,Godfrey,Small Talk,1993
Mark,Baker,The Village,1993
David,Fine,Bob's Birthday,1994
Alison,Snowden,Bob's Birthday,1994
David,Stoten,The Big Story,1994
Tim,Watts,The Big Story,1994
Michaël,Dudok de Wit,The Monk and the Fish,1994
Erica,Russell,Triangle,1994
Nick,Park,A Close Shave,1995
