firstName,lastName,movieTitle,releaseYear,categoryName,iteration,isWinner
Walt,Disney,Flowers and Trees,1931,Best Animated Short Film,5th,yes
Leon,Schlesinger,It's Got Me Again!,1931,Best Animated Short Film,5th,no
Walt,Disney,Mickey's Orphans,1931,Best Animated Short Film,5th,no
Walt,Disney,Three Little Pigs,1932,Best Animated Short Film,6th,yes
Walt,Disney,Building a Building,1932,Best Animated Short Film,6th,no
Walter,Lantz,The Merry Old Soul,1932,Best Animated Short Film,6th,no
Walt,Disney,The Tortoise and the Hare,1934,Best Animated Short Film,7th,yes
Charles,Mintz,Holiday Land,1934,Best Animated Short Film,7th,no
Walter,Lantz,Jolly Little Elves,1934,Best Animated Short Film,7th,no
Walt,Disney,Three Orphan Kittens,1935,Best Animated Short Film,8th,yes
Harman-Ising,,The Calico Dragon,1935,Best Animated Short Film,8th,no
Walt,Disney,Who Killed Cock Robin?,1935,Best Animated Short Film,8th,no
Walt,Disney,The Country Cousin,1936,Best Animated Short Film,9th,yes
Harman-Ising,,The Old Mill Pond,1936,Best Animated Short Film,9th,no
Max,Fleischer,Popeye the Sailor Meets Sindbad the Sailor,1936,Best Animated Short Film,9th,no
Walt,Disney,The Old Mill,1937,Best Animated Short Film,10th,yes
Max,Fleischer,Educated Fish,1937,Best Animated Short Film,10th,no
Charles,Mintz,Little Match Girl,1937,Best Animated Short Film,10th,no
Walt,Disney,Ferdinand the Bull,1938,Best Animated Short Film,11th,yes
Walt,Disney,Brave Little Tailor,1938,Best Animated Short Film,11th,no
Max,Fleischer,Hunky and Spunky,1938,Best Animated Short Film,11th,no
Walt,Disney,Mother Goose Goes Hollywood,1938,Best Animated Short Film,11th,no
Walt,Disney,The Ugly Duckling,1939,Best Animated Short Film,12th,yes
Leon,Schlesinger,Detouring America,1939,Best Animated Short Film,12th,no
Harman-Ising,,Peace on Earth,1939,Best Animated Short Film,12th,no
Walt,Disney,The Pointer,1939,Best Animated Short Film,12th,no
Fred,Quimby,The Milky Way,1940,Best Animated Short Film,13th,yes
Fred,Quimby,Puss Gets the Boot,1940,Best Animated Short Film,13th,no
Leon,Schlesinger,A Wild Hare,1940,Best Animated Short Film,13th,no
Walt,Disney,Lend a Paw,1941,Best Animated Short Film,14th,yes
Walter,Lantz,"Boogie Woogie Bugle Boy of Company ""B""",1941,Best Animated Short Film,14th,no
Leon,Schlesinger,Hiawatha's Rabbit Hunt,1941,Best Animated Short Film,14th,no
Fred,Quimby,The Night Before Christmas,1941,Best Animated Short Film,14th,no
Leon,Schlesinger,Rhapsody in Rivets,1941,Best Animated Short Film,14th,no
George,Pal,Rhythm in the Ranks,1941,Best Animated Short Film,14th,no
Fred,Quimby,The Rookie Bear,1941,Best Animated Short Film,14th,no
