firstName,lastName,movieTitle,releaseYear,categoryName,iteration,isWinner
Charles,Rosher,Sunrise: A Song of Two Humans,1927,Best Cinematography,1st,yes
Karl,Struss,Sunrise: A Song of Two Humans,1927,Best Cinematography,1st,yes
George,Barnes,The Devil Dancer,1927,Best Cinematography,1st,no
Clyde,De Vinna,White Shadows in the South Seas,1928,Best Cinematography,2nd,yes
John,F. Seitz,The Divine Lady,1928,Best Cinematography,2nd,no
Ernest,Palmer,4 Devils,1928,Best Cinematography,2nd,no
Arthur,Edeson,In Old Arizona,1928,Best Cinematography,2nd,no
George,Barnes,Our Dancing Daughters,1928,Best Cinematography,2nd,no
Ernest,Palmer,Street Angel,1928,Best Cinematography,2nd,no
Joseph,T. Rucker,With Byrd at the South Pole,1929,Best Cinematography,3rd,yes
Willard,Van der Veer,With Byrd at the South Pole,1929,Best Cinematography,3rd,yes
Arthur,Edeson,All Quiet on the Western Front,1929,Best Cinematography,3rd,no
William,H. Daniels,Anna Christie,1929,Best Cinematography,3rd,no
Tony,Gaudio,Hell's Angels,1929,Best Cinematography,3rd,no
Harry,Perry,Hell's Angels,1929,Best Cinematography,3rd,no
Victor,Milner,The Love Parade,1929,Best Cinematography,3rd,no
Floyd,Crosby,Tabu: A Story of the South Seas,1930,Best Cinematography,4th,yes
Edward,Cronjager,Cimarron,1930,Best Cinematography,4th,no
Lee,Garmes,Morocco,1930,Best Cinematography,4th,no
Charles,Lang,The Right to Love,1930,Best Cinematography,4th,no
Barney,McGill,Svengali,1930,Best Cinematography,4th,no
Lee,Garmes,Shanghai Express,1931,Best Cinematography,5th,yes
Ray,June,Arrowsmith,1931,Best Cinematography,5th,no
Karl,Struss,Dr. Jekyll and Mr. Hyde,1931,Best Cinematography,5th,no
Charles,Lang,A Farewell to Arms,1932,Best Cinematography,6th,yes
George,Folsey,Reunion in Vienna,1932,Best Cinematography,6th,no
Karl,Struss,The Sign of the Cross,1932,Best Cinematography,6th,no
Victor,Milner,Cleopatra,1934,Best Cinematography,7th,yes
Charles,Rosher,The Affairs of Cellini,1934,Best Cinematography,7th,no
George,Folsey,Operator 13,1934,Best Cinematography,7th,no
Hal,Mohr,A Midsummer Night's Dream,1935,Best Cinematography,8th,yes
[note,2],A Midsummer Night's Dream,1935,Best Cinematography,8th,yes
Ray,June,Barbary Coast,1935,Best Cinematography,8th,no
Victor,Milner,The Crusades,1935,Best Cinematography,8th,no
Gregg,Toland,Les Misérables,1935,Best Cinematography,8th,no
Tony,Gaudio,Anthony Adverse,1936,Best Cinematography,9th,yes
Victor,Milner,The General Died at Dawn,1936,Best Cinematography,9th,no
George,Folsey,The Gorgeous Hussy,1936,Best Cinematography,9th,no
W.,Howard Greene,The Garden of Allah,1936,Best Cinematography,9th,yes
Harold,Rosson,The Garden of Allah,1936,Best Cinematography,9th,yes
Karl,Freund,The Good Earth,1937,Best Cinematography,10th,yes
