firstName,lastName,movieTitle,releaseYear
Frank,Borzage,7th Heaven,1927
Herbert,Brenon,Sorrell and Son,1927
King,Vidor,The Crowd,1927
Lewis,Milestone,Two Arabian Knights,1927
Ted,Wilde,Speedy,1927
Charlie,Chaplin,The Circus,1927
Frank,Lloyd,The Divine Lady,1928
Lionel,Barrymore,Madame X,1928
Harry,Beaumont,The Broadway Melody,1928
Irving,Cummings,In Old Arizona,1928
Ernst,Lubitsch,The Patriot,1928
Lewis,Milestone,All Quiet on the Western Front,1929
Clarence,Brown,Anna Christie,1929
Robert,Z. Leonard,The Divorcee,1929
Ernst,Lubitsch,The Love Parade,1929
King,Vidor,Hallelujah!,1929
Norman,Taurog,Skippy,1930
Clarence,Brown,A Free Soul,1930
Lewis,Milestone,The Front Page,1930
Wesley,Ruggles,Cimarron,1930
Josef,von Sternberg,Morocco,1930
Frank,Borzage,Bad Girl,1931
King,Vidor,The Champ,1931
Josef,von Sternberg,Shanghai Express,1931
Frank,Lloyd,Cavalcade,1932
Frank,Capra,Lady for a Day,1932
George,Cukor,Little Women,1932
Frank,Capra,It Happened One Night,1934
Victor,Schertzinger,One Night of Love,1934
W.,S. Van Dyke,The Thin Man,1934
John,Ford,The Informer,1935
Henry,Hathaway,The Lives of a Bengal Lancer,1935
Frank,Lloyd,Mutiny on the Bounty,1935
Michael,Curtiz,Captain Blood,1935
Frank,Capra,Mr. Deeds Goes to Town,1936
Gregory,La Cava,My Man Godfrey,1936
Robert,Z. Leonard,The Great Ziegfeld,1936
W.,S. Van Dyke,San Francisco,1936
William,Wyler,Dodsworth,1936
Leo,McCarey,The Awful Truth,1937
William,Dieterle,The Life of Emile Zola,1937
Sidney,Franklin,The Good Earth,1937
Gregory,La Cava,Stage Door,1937
William,A. Wellman,A Star Is Born,1937
Frank,Capra,You Can't Take It with You,1938
Michael,Curtiz,Angels with Dirty Faces,1938
Norman,Taurog,Boys Town,1938
King,Vidor,The Citadel,1938
Victor,Fleming,Gone with the Wind,1939
Frank,Capra,Mr. Smith Goes to Washington,1939
John,Ford,Stagecoach,1939
Sam,Wood,"Goodbye, Mr. Chips",1939
William,Wyler,Wuthering Heights,1939
John,Ford,The Grapes of Wrath,1940
George,Cukor,The Philadelphia Story,1940
Alfred,Hitchcock,Rebecca,1940
Sam,Wood,Kitty Foyle,1940
William,Wyler,The Letter,1940
John,Ford,How Green Was My Valley,1941
Alexander,Hall,Here Comes Mr. Jordan,1941
Howard,Hawks,Sergeant York,1941
Orson,Welles,Citizen Kane,1941
William,Wyler,The Little Foxes,1941
William,Wyler,Mrs. Miniver,1942
Michael,Curtiz,Yankee Doodle Dandy,1942
John,Farrow,Wake Island,1942
Mervyn,LeRoy,Random Harvest,1942
Sam,Wood,Kings Row,1942
Michael,Curtiz,Casablanca,1943
Clarence,Brown,The Human Comedy,1943
Henry,King,The Song of Bernadette,1943
Ernst,Lubitsch,Heaven Can Wait,1943
George,Stevens,The More the Merrier,1943
Leo,McCarey,Going My Way,1944
Alfred,Hitchcock,Lifeboat,1944
Henry,King,Wilson,1944
Otto,Preminger,Laura,1944
Billy,Wilder,Double Indemnity,1944
Billy,Wilder,The Lost Weekend,1945
Clarence,Brown,National Velvet,1945
Alfred,Hitchcock,Spellbound,1945
Leo,McCarey,The Bells of St. Mary's,1945
Jean,Renoir,The Southerner,1945
William,Wyler,The Best Years of Our Lives,1946
Clarence,Brown,The Yearling,1946
Frank,Capra,It's a Wonderful Life,1946
David,Lean,Brief Encounter,1946
Robert,Siodmak,The Killers,1946
Elia,Kazan,Gentleman's Agreement,1947
