firstName,lastName,movieTitle,releaseYear,categoryName,iteration,isWinner
Frank,Borzage,7th Heaven,1927,Best Directing,1st,yes
Herbert,Brenon,Sorrell and Son,1927,Best Directing,1st,no
King,Vidor,The Crowd,1927,Best Directing,1st,no
Lewis,Milestone,Two Arabian Knights,1927,Best Directing,1st,yes
Ted,Wilde,Speedy,1927,Best Directing,1st,no
Charlie,Chaplin,The Circus,1927,Best Directing,1st,no
Frank,Lloyd,The Divine Lady,1928,Best Directing,2nd,yes
Lionel,Barrymore,Madame X,1928,Best Directing,2nd,no
Harry,Beaumont,The Broadway Melody,1928,Best Directing,2nd,no
Irving,Cummings,In Old Arizona,1928,Best Directing,2nd,no
Ernst,Lubitsch,The Patriot,1928,Best Directing,2nd,no
Lewis,Milestone,All Quiet on the Western Front,1929,Best Directing,3rd,yes
Clarence,Brown,Anna Christie,1929,Best Directing,3rd,no
Robert,Z. Leonard,The Divorcee,1929,Best Directing,3rd,no
Ernst,Lubitsch,The Love Parade,1929,Best Directing,3rd,no
King,Vidor,Hallelujah!,1929,Best Directing,3rd,no
Norman,Taurog,Skippy,1930,Best Directing,4th,yes
Clarence,Brown,A Free Soul,1930,Best Directing,4th,no
Lewis,Milestone,The Front Page,1930,Best Directing,4th,no
Wesley,Ruggles,Cimarron,1930,Best Directing,4th,no
Josef,von Sternberg,Morocco,1930,Best Directing,4th,no
Frank,Borzage,Bad Girl,1931,Best Directing,5th,yes
King,Vidor,The Champ,1931,Best Directing,5th,no
Josef,von Sternberg,Shanghai Express,1931,Best Directing,5th,no
Frank,Lloyd,Cavalcade,1932,Best Directing,6th,yes
Frank,Capra,Lady for a Day,1932,Best Directing,6th,no
George,Cukor,Little Women,1932,Best Directing,6th,no
Frank,Capra,It Happened One Night,1934,Best Directing,7th,yes
Victor,Schertzinger,One Night of Love,1934,Best Directing,7th,no
W.,S. Van Dyke,The Thin Man,1934,Best Directing,7th,no
John,Ford,The Informer,1935,Best Directing,8th,yes
Henry,Hathaway,The Lives of a Bengal Lancer,1935,Best Directing,8th,no
Frank,Lloyd,Mutiny on the Bounty,1935,Best Directing,8th,no
Michael,Curtiz,Captain Blood,1935,Best Directing,8th,no
Frank,Capra,Mr. Deeds Goes to Town,1936,Best Directing,9th,yes
Gregory,La Cava,My Man Godfrey,1936,Best Directing,9th,no
Robert,Z. Leonard,The Great Ziegfeld,1936,Best Directing,9th,no
W.,S. Van Dyke,San Francisco,1936,Best Directing,9th,no
William,Wyler,Dodsworth,1936,Best Directing,9th,no
Leo,McCarey,The Awful Truth,1937,Best Directing,10th,yes
William,Dieterle,The Life of Emile Zola,1937,Best Directing,10th,no
Sidney,Franklin,The Good Earth,1937,Best Directing,10th,no
Gregory,La Cava,Stage Door,1937,Best Directing,10th,no
William,A. Wellman,A Star Is Born,1937,Best Directing,10th,no
