firstName,lastName,movieTitle,releaseYear
John,Ford,The Battle of Midway,1942
Ken,G. Hall,Kokoda Front Line!,1942
Nicola,Napoli,Moscow Strikes Back,1942
Frank,Capra,Prelude to War,1942
Frederic,Ullman Jr.,Conquer by the Clock,1942
Slavko,Vorkapich,Conquer by the Clock,1942
Walt,Disney,The Grain That Built a Hemisphere,1942
Victor,Stoloff,Little Isles of Freedom,1942
Walt,Disney,The New Spirit,1942
William,H. Pine,The Price of Victory,1942
William,C. Thomas,We Refuse to Die,1942
Edward,Steichen,The Fighting Lady,1944
Sid,Rogell,Design for Death,1947
Richard,Fleischer,Design for Death,1947
Paul,Rotha,The World Is Rich,1947
Orville,O. Dull,The Secret Land,1948
Janice,Loeb,The Quiet One,1948
Paul,F. Heard,Kenji Comes Home,1949
Robert,Snyder,The Titan: Story of Michelangelo,1950
Jack,Arnold,With These Hands,1950
Lee,Goodman,With These Hands,1950
Olle,Nordemar,Kon-Tiki,1951
Bryan,Foy,I Was a Communist for the F.B.I.,1951
Irwin,Allen,The Sea Around Us,1952
Dore,Schary,The Hoaxters,1952
Hall,Bartlett,Navajo,1952
Walt,Disney,The Living Desert,1953
John,Taylor,The Conquest of Everest,1953
Leon,Clore,The Conquest of Everest,1953
Grahame,Tharp,The Conquest of Everest,1953
Castleton,Knight,A Queen Is Crowned,1953
Walt,Disney,The Vanishing Prairie,1954
Guy,Glover,The Stratford Adventure,1954
Nancy,Hamilton,Helen Keller in Her Story,1955
René,Risacher,Heartbreak Ridge,1955
Jacques-Yves,Cousteau,The Silent World,1956
Louis,Clyde Stoumen,The Naked Eye,1956
Jerome,Hill,Albert Schweitzer,1957
Lionel,Rogosin,On the Bowery,1957
Manuel,Barbachano Ponce,Torero!,1957
Ben,Sharpsteen,White Wilderness,1958
James,Carr,Antarctic Crossing,1958
Robert,Snyder,The Hidden World,1958
Nathan,Zucker,Psychiatric Nursing,1958
Bernhard,Grzimek,Serengeti Shall Not Die,1959
David,L. Wolper,The Race for Space,1959
Larry,Lansburgh,The Horse with the Flying Tail,1960
Arthur,Cohn,Le Ciel et la Boue (Sky Above and Mud Beneath),1961
René,Lafuite,Le Ciel et la Boue (Sky Above and Mud Beneath),1961
Louis,Clyde Stoumen,Black Fox,1962
