firstName,lastName,movieTitle,releaseYear,categoryName,iteration,isWinner
John,Ford,The Battle of Midway,1942,Best Documentary Feature Film,15th,yes
Ken,G. Hall,Kokoda Front Line!,1942,Best Documentary Feature Film,15th,yes
Nicola,Napoli,Moscow Strikes Back,1942,Best Documentary Feature Film,15th,yes
Frank,Capra,Prelude to War,1942,Best Documentary Feature Film,15th,yes
Frederic,Ullman Jr.,Conquer by the Clock,1942,Best Documentary Feature Film,15th,no
Slavko,Vorkapich,Conquer by the Clock,1942,Best Documentary Feature Film,15th,no
Walt,Disney,The Grain That Built a Hemisphere,1942,Best Documentary Feature Film,15th,no
Victor,Stoloff,Little Isles of Freedom,1942,Best Documentary Feature Film,15th,no
Walt,Disney,The New Spirit,1942,Best Documentary Feature Film,15th,no
William,H. Pine,The Price of Victory,1942,Best Documentary Feature Film,15th,no
William,C. Thomas,We Refuse to Die,1942,Best Documentary Feature Film,15th,no
Edward,Steichen,The Fighting Lady,1944,Best Documentary Feature Film,17th,yes
Sid,Rogell,Design for Death,1947,Best Documentary Feature Film,20th,yes
Richard,Fleischer,Design for Death,1947,Best Documentary Feature Film,20th,yes
Paul,Rotha,The World Is Rich,1947,Best Documentary Feature Film,20th,no
Orville,O. Dull,The Secret Land,1948,Best Documentary Feature Film,21st,yes
Janice,Loeb,The Quiet One,1948,Best Documentary Feature Film,21st,no
Paul,F. Heard,Kenji Comes Home,1949,Best Documentary Feature Film,22nd,no
Robert,Snyder,The Titan: Story of Michelangelo,1950,Best Documentary Feature Film,23rd,yes
Jack,Arnold,With These Hands,1950,Best Documentary Feature Film,23rd,no
Lee,Goodman,With These Hands,1950,Best Documentary Feature Film,23rd,no
Olle,Nordemar,Kon-Tiki,1951,Best Documentary Feature Film,24th,yes
Bryan,Foy,I Was a Communist for the F.B.I.,1951,Best Documentary Feature Film,24th,no
Irwin,Allen,The Sea Around Us,1952,Best Documentary Feature Film,25th,yes
Dore,Schary,The Hoaxters,1952,Best Documentary Feature Film,25th,no
Hall,Bartlett,Navajo,1952,Best Documentary Feature Film,25th,no
Walt,Disney,The Living Desert,1953,Best Documentary Feature Film,26th,yes
John,Taylor,The Conquest of Everest,1953,Best Documentary Feature Film,26th,no
Leon,Clore,The Conquest of Everest,1953,Best Documentary Feature Film,26th,no
Grahame,Tharp,The Conquest of Everest,1953,Best Documentary Feature Film,26th,no
Castleton,Knight,A Queen Is Crowned,1953,Best Documentary Feature Film,26th,no
Walt,Disney,The Vanishing Prairie,1954,Best Documentary Feature Film,27th,yes
Guy,Glover,The Stratford Adventure,1954,Best Documentary Feature Film,27th,no
Nancy,Hamilton,Helen Keller in Her Story,1955,Best Documentary Feature Film,28th,yes
René,Risacher,Heartbreak Ridge,1955,Best Documentary Feature Film,28th,no
Jacques-Yves,Cousteau,The Silent World,1956,Best Documentary Feature Film,29th,yes
Louis,Clyde Stoumen,The Naked Eye,1956,Best Documentary Feature Film,29th,no
Jerome,Hill,Albert Schweitzer,1957,Best Documentary Feature Film,30th,yes
Lionel,Rogosin,On the Bowery,1957,Best Documentary Feature Film,30th,no
Manuel,Barbachano Ponce,Torero!,1957,Best Documentary Feature Film,30th,no
Ben,Sharpsteen,White Wilderness,1958,Best Documentary Feature Film,31st,yes
James,Carr,Antarctic Crossing,1958,Best Documentary Feature Film,31st,no
Robert,Snyder,The Hidden World,1958,Best Documentary Feature Film,31st,no
Nathan,Zucker,Psychiatric Nursing,1958,Best Documentary Feature Film,31st,no
Bernhard,Grzimek,Serengeti Shall Not Die,1959,Best Documentary Feature Film,32nd,yes
David,L. Wolper,The Race for Space,1959,Best Documentary Feature Film,32nd,no
Larry,Lansburgh,The Horse with the Flying Tail,1960,Best Documentary Feature Film,33rd,yes
Arthur,Cohn,Le Ciel et la Boue (Sky Above and Mud Beneath),1961,Best Documentary Feature Film,34th,yes
René,Lafuite,Le Ciel et la Boue (Sky Above and Mud Beneath),1961,Best Documentary Feature Film,34th,yes
Louis,Clyde Stoumen,Black Fox,1962,Best Documentary Feature Film,35th,yes
Hugo,Niebeling,Alvorada (Brazil's Changing Face),1962,Best Documentary Feature Film,35th,no
Paul,de Roubaix,Le Maillon et la Chaine (The Link and the Chain),1963,Best Documentary Feature Film,36th,no
Marshall,Flaum,The Yanks Are Coming,1963,Best Documentary Feature Film,36th,no
Jacques-Yves,Cousteau,Jacques-Yves Cousteau's World without Sun,1964,Best Documentary Feature Film,37th,yes
Jack,Le Vien,The Finest Hours,1964,Best Documentary Feature Film,37th,no
Mel,Stuart,Four Days in November,1964,Best Documentary Feature Film,37th,no
Bert,Haanstra,The Human Dutch,1964,Best Documentary Feature Film,37th,no
Jean,Aurel,"Over There, 1914–18",1964,Best Documentary Feature Film,37th,no
Sidney,Glazier,The Eleanor Roosevelt Story,1965,Best Documentary Feature Film,38th,yes
Laurence,E. Mascott,The Battle of the Bulge... The Brave Rifles,1965,Best Documentary Feature Film,38th,no
Marshall,Flaum,Let My People Go,1965,Best Documentary Feature Film,38th,no
Frédéric,Rossif,To Die in Madrid,1965,Best Documentary Feature Film,38th,no
Peter,Watkins,The War Game,1966,Best Documentary Feature Film,39th,yes
Alfred,R. Kelman,The Face of a Genius,1966,Best Documentary Feature Film,39th,no
Tom,Daly,Helicopter Canada,1966,Best Documentary Feature Film,39th,no
Alex,Grasshoff,The Really Big Family,1966,Best Documentary Feature Film,39th,no
Haroun,Tazieff,Le Volcan Interdit (The Forbidden Volcano),1966,Best Documentary Feature Film,39th,no
Pierre,Schoendoerffer,The Anderson Platoon,1967,Best Documentary Feature Film,40th,yes
