firstName,lastName,movieTitle,releaseYear
Nicola,Napoli,Russian Soil,1941
Walter,Wanger,To the People of the United States,1943
Gordon,Hollingshead,Hitler Lives?,1945
Nicola,Napoli,Life at the Zoo,1946
Richard,de Rochemont,A Chance to Live,1949
Edward,Selzer,So Much for So Little,1949
Edmund,Reek,Why Korea?,1950
Guy,Glover,The Fight: Science Against Cancer,1950
Fred,Zinnemann,Benjy,1951
Gordon,Hollingshead,The Seeing Eye,1951
Norman,McLaren,Neighbours,1952
Stephen,Bosustow,Man Alive!,1952
Walt,Disney,The Alaskan Eskimo,1953
Otto,Lang,Jet Carrier,1954
Walt,Disney,Men Against the Arctic,1955
Dore,Schary,The Battle of Gettysburg,1955
Louis,Clyde Stoumen,The True Story of the Civil War,1956
Valentine,Davies,The House Without a Name,1956
Ward,Kimball,Man in Space,1956
Ben,Sharpsteen,Ama Girls,1958
Tom,Daly,The Living Stone,1958
Thorold,Dickinson,Overture,1958
Bert,Haanstra,Glass,1959
Walt,Disney,Donald in Mathmagic Land,1959
James,Hill,Giuseppina,1960
Altina,Carey,George Grosz' Interregnum,1960
Colin,Low,Universe,1960
Jack,Howells,Dylan Thomas,1962
William,L. Hendricks,The John Glenn Story,1962
Robert,Saudek,The Road to the Wall,1962
George,Stevens Jr.,The Five Cities of June,1963
Edgar,Anstey,Thirty Million Letters,1963
Charles,Guggenheim,Nine from Little Rock,1964
Henry,Jacobs,Breaking the Habit,1964
John,Korty,Breaking the Habit,1964
Charles,Guggenheim,Children Without,1964
Francis,Thompson,To Be Alive!,1965
Mafilm,Productions,Overture,1965
Patrick,Carey,Yeats Country,1965
Marin,Karmitz,Adolescence,1966
Gary,Schlosser,Cowboy,1966
Lee,R. Bobker,The Odds Against,1966
Mafilm,Studio,Saint Matthew Passion,1966
Mark,Jonathan Harris,The Redwoods,1967
Charles,Guggenheim,Monument to the Dream,1967
Christopher,Chapman,A Place to Stand,1967
Saul,Bass,Why Man Creates,1968
Lee,R. Bobker,The Revolving Door,1968
Denis,Sanders,Czechoslovakia 1968,1969
Robert,M. Fresco,Czechoslovakia 1968,1969
Donald,Wrye,An Impression of John Steinbeck: Writer,1969
Joan,Keller Stern,The Magic Machines,1969
Joseph,Strick,Interviews with My Lai Veterans,1970
Patrick,Carey,Oisin,1970
Julian,Krainin,Art Is...,1971
Donald,Wrye,The Numbers Start with the River,1971
Hal,Riney,Somebody Waiting,1971
Dick,Snider,Somebody Waiting,1971
Peter,Schamoni,Hundertwasser's Rainy Day,1972
Julian,Krainin,Princeton: A Search for Answers,1973
Carmen,D'Avino,Background,1973
Louis,Marcus,Children at Work (Paisti Ag Obair),1973
Terry,Sanders,Four Stones for Kanemitsu,1973
June,Wayne,Four Stones for Kanemitsu,1973
Robin,Lehman,Don't,1974
Francis,Thompson,City Out of Wilderness,1974
Dewitt,Jones,John Muir's High Sierra,1974
Ronald,S. Kass,Naked Yoga,1974
Claire,Wilbur,The End of the Game,1975
Robin,Lehman,The End of the Game,1975
Jon,Else,Arthur and Lillie,1975
Kristine,Samuelson,Arthur and Lillie,1975
Michael,Scott,Whistling Smith,1975
Lynne,Littman,Number Our Days,1976
Barbara,Myerhoff,Number Our Days,1976
Tony,Ianzelo,Blackwood,1976
Lester,Novros,Universe,1976
Jan,Stussy,Gravity Is My Enemy,1977
Moctesuma,Esparza,"Agueda Martinez: Our People, Our Country",1977
Helen,Whitney,First Edition,1977
Ben,Shedd,The Flight of the Gossamer Condor,1978
Saul,J. Turell,Paul Robeson: Tribute to an Artist,1979
Phillip,Borsos,Nails,1979
Peter,Ladue,Karl Hess: Toward Liberty,1980
Pen,Densham,Don't Mess with Bill,1980
Jorge,Preloran,Luther Metke at 94,1980
Nigel,Noble,Close Harmony,1981
Terre,Nash,If You Love This Planet,1982
Robert,Richter,Gods of Metal,1982
Charles,Guggenheim,The Klan: A Legacy of Hate in America,1982
Freida,Lee Mock,To Live or Let Die,1982
John,G. Avildsen,Traveling Hopefully,1982
Cynthia,Scott,Flamenco at 5:15,1983
Arthur,Dong,Sewing Woman,1983
Paul,T.K. Lin,The Children of Soong Ching Ling,1984
Roger,M. Sherman,The Garden of Eden,1984
Robert,Gardner,The Courage to Care,1985
Sonya,Friedman,The Masters of Disaster,1986
