firstName,lastName,movieTitle,releaseYear,categoryName,iteration,isWinner
Nicola,Napoli,Russian Soil,1941,Best Documentary Short Film,14th,no
Walter,Wanger,To the People of the United States,1943,Best Documentary Short Film,16th,no
Gordon,Hollingshead,Hitler Lives?,1945,Best Documentary Short Film,18th,yes
Nicola,Napoli,Life at the Zoo,1946,Best Documentary Short Film,19th,no
Richard,de Rochemont,A Chance to Live,1949,Best Documentary Short Film,22nd,yes
Edward,Selzer,So Much for So Little,1949,Best Documentary Short Film,22nd,yes
Edmund,Reek,Why Korea?,1950,Best Documentary Short Film,23rd,yes
Guy,Glover,The Fight: Science Against Cancer,1950,Best Documentary Short Film,23rd,no
Fred,Zinnemann,Benjy,1951,Best Documentary Short Film,24th,yes
Gordon,Hollingshead,The Seeing Eye,1951,Best Documentary Short Film,24th,no
Norman,McLaren,Neighbours,1952,Best Documentary Short Film,25th,yes
Stephen,Bosustow,Man Alive!,1952,Best Documentary Short Film,25th,no
Walt,Disney,The Alaskan Eskimo,1953,Best Documentary Short Film,26th,yes
Otto,Lang,Jet Carrier,1954,Best Documentary Short Film,27th,no
Walt,Disney,Men Against the Arctic,1955,Best Documentary Short Film,28th,yes
Dore,Schary,The Battle of Gettysburg,1955,Best Documentary Short Film,28th,no
Louis,Clyde Stoumen,The True Story of the Civil War,1956,Best Documentary Short Film,29th,yes
Valentine,Davies,The House Without a Name,1956,Best Documentary Short Film,29th,no
Ward,Kimball,Man in Space,1956,Best Documentary Short Film,29th,no
Ben,Sharpsteen,Ama Girls,1958,Best Documentary Short Film,31st,yes
Tom,Daly,The Living Stone,1958,Best Documentary Short Film,31st,no
Thorold,Dickinson,Overture,1958,Best Documentary Short Film,31st,no
Bert,Haanstra,Glass,1959,Best Documentary Short Film,32nd,yes
Walt,Disney,Donald in Mathmagic Land,1959,Best Documentary Short Film,32nd,no
James,Hill,Giuseppina,1960,Best Documentary Short Film,33rd,yes
Altina,Carey,George Grosz' Interregnum,1960,Best Documentary Short Film,33rd,no
Colin,Low,Universe,1960,Best Documentary Short Film,33rd,no
Jack,Howells,Dylan Thomas,1962,Best Documentary Short Film,35th,yes
William,L. Hendricks,The John Glenn Story,1962,Best Documentary Short Film,35th,no
Robert,Saudek,The Road to the Wall,1962,Best Documentary Short Film,35th,no
George,Stevens Jr.,The Five Cities of June,1963,Best Documentary Short Film,36th,no
Edgar,Anstey,Thirty Million Letters,1963,Best Documentary Short Film,36th,no
Charles,Guggenheim,Nine from Little Rock,1964,Best Documentary Short Film,37th,yes
Henry,Jacobs,Breaking the Habit,1964,Best Documentary Short Film,37th,no
John,Korty,Breaking the Habit,1964,Best Documentary Short Film,37th,no
Charles,Guggenheim,Children Without,1964,Best Documentary Short Film,37th,no
Francis,Thompson,To Be Alive!,1965,Best Documentary Short Film,38th,yes
Mafilm,Productions,Overture,1965,Best Documentary Short Film,38th,no
Patrick,Carey,Yeats Country,1965,Best Documentary Short Film,38th,no
Marin,Karmitz,Adolescence,1966,Best Documentary Short Film,39th,no
Gary,Schlosser,Cowboy,1966,Best Documentary Short Film,39th,no
Lee,R. Bobker,The Odds Against,1966,Best Documentary Short Film,39th,no
Mafilm,Studio,Saint Matthew Passion,1966,Best Documentary Short Film,39th,no
Mark,Jonathan Harris,The Redwoods,1967,Best Documentary Short Film,40th,yes
Charles,Guggenheim,Monument to the Dream,1967,Best Documentary Short Film,40th,no
Christopher,Chapman,A Place to Stand,1967,Best Documentary Short Film,40th,no
Saul,Bass,Why Man Creates,1968,Best Documentary Short Film,41st,yes
Lee,R. Bobker,The Revolving Door,1968,Best Documentary Short Film,41st,no
Denis,Sanders,Czechoslovakia 1968,1969,Best Documentary Short Film,42nd,yes
