firstName,lastName,movieTitle,releaseYear
Conrad,A. Nervig,Eskimo,1934
Anne,Bauchens,Cleopatra,1934
Gene,Milford,One Night of Love,1934
Ralph,Dawson,A Midsummer Night's Dream,1935
Robert,J. Kern,David Copperfield,1935
George,Hively,The Informer,1935
Barbara,McLean,Les Misérables,1935
Ellsworth,Hoagland,The Lives of a Bengal Lancer,1935
Margaret,Booth,Mutiny on the Bounty,1935
Ralph,Dawson,Anthony Adverse,1936
Edward,Curtiss,Come and Get It,1936
William,S. Gray,The Great Ziegfeld,1936
Barbara,McLean,Lloyd's of London,1936
Conrad,A. Nervig,A Tale of Two Cities,1936
Otto,Meyer,Theodora Goes Wild,1936
Gene,Havlick,Lost Horizon,1937
Gene,Milford,Lost Horizon,1937
Al,Clark,The Awful Truth,1937
Elmo,Veron,Captains Courageous,1937
Basil,Wrangell,The Good Earth,1937
Bernard,W. Burton,One Hundred Men and a Girl,1937
Ralph,Dawson,The Adventures of Robin Hood,1938
Barbara,McLean,Alexander's Ragtime Band,1938
Tom,Held,The Great Waltz,1938
Gene,Havlick,You Can't Take It with You,1938
Hal,C. Kern,Gone with the Wind,1939
James,E. Newcom,Gone with the Wind,1939
Charles,Frend,"Goodbye, Mr. Chips",1939
Gene,Havlick,Mr. Smith Goes to Washington,1939
Al,Clark,Mr. Smith Goes to Washington,1939
Barbara,McLean,The Rains Came,1939
Otho,Lovering,Stagecoach,1939
Dorothy,Spencer,Stagecoach,1939
Anne,Bauchens,North West Mounted Police,1940
Robert,L. Simpson,The Grapes of Wrath,1940
Warren,Low,The Letter,1940
Sherman,Todd,The Long Voyage Home,1940
Hal,C. Kern,Rebecca,1940
William,Holmes,Sergeant York,1941
Robert,Wise,Citizen Kane,1941
Harold,F. Kress,Dr. Jekyll and Mr. Hyde,1941
James,B. Clark,How Green Was My Valley,1941
Daniel,Mandell,The Little Foxes,1941
Daniel,Mandell,The Pride of the Yankees,1942
Harold,F. Kress,Mrs. Miniver,1942
Otto,Meyer,The Talk of the Town,1942
Walter,Thompson,This Above All,1942
George,Amy,Yankee Doodle Dandy,1942
George,Amy,Air Force,1943
Owen,Marks,Casablanca,1943
Doane,Harrison,Five Graves to Cairo,1943
Sherman,Todd,For Whom the Bell Tolls,1943
John,F. Link Sr.,For Whom the Bell Tolls,1943
Barbara,McLean,The Song of Bernadette,1943
Barbara,McLean,Wilson,1944
LeRoy,Stone,Going My Way,1944
Owen,Marks,Janie,1944
Roland,Gross,None but the Lonely Heart,1944
Hal,C. Kern,Since You Went Away,1944
James,E. Newcom,Since You Went Away,1944
Robert,J. Kern,National Velvet,1945
Harry,Marker,The Bells of St. Mary's,1945
Doane,Harrison,The Lost Weekend,1945
George,Amy,"Objective, Burma!",1945
Charles,Nelson,A Song to Remember,1945
Daniel,Mandell,The Best Years of Our Lives,1946
William,Hornbeck,It's a Wonderful Life,1946
William,A. Lyon,The Jolson Story,1946
Arthur,Hilton,The Killers,1946
Harold,F. Kress,The Yearling,1946
Francis,Lyon,Body and Soul,1947
Robert,Parrish,Body and Soul,1947
Monica,Collingwood,The Bishop's Wife,1947
Harmon,Jones,Gentleman's Agreement,1947
George,White,Green Dolphin Street,1947
Fergus,McDonell,Odd Man Out,1947
Paul,Weatherwax,The Naked City,1948
Frank,Sullivan,Joan of Arc,1948
David,Weisbart,Johnny Belinda,1948
Christian,Nyby,Red River,1948
Reginald,Mills,The Red Shoes,1948
Harry,W. Gerstad,Champion,1949
Robert,Parrish,All the King's Men,1949
Al,Clark,All the King's Men,1949
John,Dunning,Battleground,1949
Richard,L. Van Enger,Sands of Iwo Jima,1949
Frederic,Knudtson,The Window,1949
Ralph,E. Winters,King Solomon's Mines,1950
Conrad,A. Nervig,King Solomon's Mines,1950
Barbara,McLean,All About Eve,1950
James,E. Newcom,Annie Get Your Gun,1950
Arthur,P. Schmidt,Sunset Boulevard,1950
Doane,Harrison,Sunset Boulevard,1950
Oswald,Hafenrichter,The Third Man,1950
William,Hornbeck,A Place in the Sun,1951
Adrienne,Fazan,An American in Paris,1951
Dorothy,Spencer,Decision Before Dawn,1951
Ralph,E. Winters,Quo Vadis,1951
Chester,Schaeffer,The Well,1951
Elmo,Williams,High Noon,1952
Harry,W. Gerstad,High Noon,1952
