firstName,lastName,movieTitle,releaseYear,categoryName,iteration,isWinner
Conrad,A. Nervig,Eskimo,1934,Best Film Editing,7th,yes
Anne,Bauchens,Cleopatra,1934,Best Film Editing,7th,no
Gene,Milford,One Night of Love,1934,Best Film Editing,7th,no
Ralph,Dawson,A Midsummer Night's Dream,1935,Best Film Editing,8th,yes
Robert,J. Kern,David Copperfield,1935,Best Film Editing,8th,no
George,Hively,The Informer,1935,Best Film Editing,8th,no
Barbara,McLean,Les Misérables,1935,Best Film Editing,8th,no
Ellsworth,Hoagland,The Lives of a Bengal Lancer,1935,Best Film Editing,8th,no
Margaret,Booth,Mutiny on the Bounty,1935,Best Film Editing,8th,no
Ralph,Dawson,Anthony Adverse,1936,Best Film Editing,9th,yes
Edward,Curtiss,Come and Get It,1936,Best Film Editing,9th,no
William,S. Gray,The Great Ziegfeld,1936,Best Film Editing,9th,no
Barbara,McLean,Lloyd's of London,1936,Best Film Editing,9th,no
Conrad,A. Nervig,A Tale of Two Cities,1936,Best Film Editing,9th,no
Otto,Meyer,Theodora Goes Wild,1936,Best Film Editing,9th,no
Gene,Havlick,Lost Horizon,1937,Best Film Editing,10th,yes
Gene,Milford,Lost Horizon,1937,Best Film Editing,10th,yes
Al,Clark,The Awful Truth,1937,Best Film Editing,10th,no
Elmo,Veron,Captains Courageous,1937,Best Film Editing,10th,no
Basil,Wrangell,The Good Earth,1937,Best Film Editing,10th,no
Bernard,W. Burton,One Hundred Men and a Girl,1937,Best Film Editing,10th,no
Ralph,Dawson,The Adventures of Robin Hood,1938,Best Film Editing,11th,yes
Barbara,McLean,Alexander's Ragtime Band,1938,Best Film Editing,11th,no
Tom,Held,The Great Waltz,1938,Best Film Editing,11th,no
Gene,Havlick,You Can't Take It with You,1938,Best Film Editing,11th,no
Hal,C. Kern,Gone with the Wind,1939,Best Film Editing,12th,yes
James,E. Newcom,Gone with the Wind,1939,Best Film Editing,12th,yes
Charles,Frend,"Goodbye, Mr. Chips",1939,Best Film Editing,12th,no
Gene,Havlick,Mr. Smith Goes to Washington,1939,Best Film Editing,12th,no
Al,Clark,Mr. Smith Goes to Washington,1939,Best Film Editing,12th,no
Barbara,McLean,The Rains Came,1939,Best Film Editing,12th,no
Otho,Lovering,Stagecoach,1939,Best Film Editing,12th,no
Dorothy,Spencer,Stagecoach,1939,Best Film Editing,12th,no
Anne,Bauchens,North West Mounted Police,1940,Best Film Editing,13th,yes
Robert,L. Simpson,The Grapes of Wrath,1940,Best Film Editing,13th,no
Warren,Low,The Letter,1940,Best Film Editing,13th,no
Sherman,Todd,The Long Voyage Home,1940,Best Film Editing,13th,no
Hal,C. Kern,Rebecca,1940,Best Film Editing,13th,no
William,Holmes,Sergeant York,1941,Best Film Editing,14th,yes
Robert,Wise,Citizen Kane,1941,Best Film Editing,14th,no
Harold,F. Kress,Dr. Jekyll and Mr. Hyde,1941,Best Film Editing,14th,no
James,B. Clark,How Green Was My Valley,1941,Best Film Editing,14th,no
Daniel,Mandell,The Little Foxes,1941,Best Film Editing,14th,no
Daniel,Mandell,The Pride of the Yankees,1942,Best Film Editing,15th,yes
Harold,F. Kress,Mrs. Miniver,1942,Best Film Editing,15th,no
Otto,Meyer,The Talk of the Town,1942,Best Film Editing,15th,no
Walter,Thompson,This Above All,1942,Best Film Editing,15th,no
George,Amy,Yankee Doodle Dandy,1942,Best Film Editing,15th,no
George,Amy,Air Force,1943,Best Film Editing,16th,yes
Owen,Marks,Casablanca,1943,Best Film Editing,16th,no
Doane,Harrison,Five Graves to Cairo,1943,Best Film Editing,16th,no
Sherman,Todd,For Whom the Bell Tolls,1943,Best Film Editing,16th,no
John,F. Link Sr.,For Whom the Bell Tolls,1943,Best Film Editing,16th,no
Barbara,McLean,The Song of Bernadette,1943,Best Film Editing,16th,no
Barbara,McLean,Wilson,1944,Best Film Editing,17th,yes
LeRoy,Stone,Going My Way,1944,Best Film Editing,17th,no
Owen,Marks,Janie,1944,Best Film Editing,17th,no
Roland,Gross,None but the Lonely Heart,1944,Best Film Editing,17th,no
Hal,C. Kern,Since You Went Away,1944,Best Film Editing,17th,no
James,E. Newcom,Since You Went Away,1944,Best Film Editing,17th,no
Robert,J. Kern,National Velvet,1945,Best Film Editing,18th,yes
Harry,Marker,The Bells of St. Mary's,1945,Best Film Editing,18th,no
Doane,Harrison,The Lost Weekend,1945,Best Film Editing,18th,no
George,Amy,"Objective, Burma!",1945,Best Film Editing,18th,no
Charles,Nelson,A Song to Remember,1945,Best Film Editing,18th,no
Daniel,Mandell,The Best Years of Our Lives,1946,Best Film Editing,19th,yes
