firstName,lastName,movieTitle,releaseYear,categoryName,iteration,winner
Vittorio,De Sica,Shoe-Shine,1947,Best International Feature Film,20th,yes
Maurice,Cloche,Monsieur Vincent,1948,Best International Feature Film,21st,yes
Vittorio,De Sica,Bicycle Thieves,1949,Best International Feature Film,22nd,yes
René,Clément,The Walls of Malapaga,1950,Best International Feature Film,23rd,yes
Akira,Kurosawa,Rashomon,1951,Best International Feature Film,24th,yes
René,Clément,Forbidden Games,1952,Best International Feature Film,25th,yes
Teinosuke,Kinugasa,Gate of Hell,1954,Best International Feature Film,27th,yes
Hiroshi,Inagaki,"Samurai, The Legend of Musashi",1955,Best International Feature Film,28th,yes
Federico,Fellini,La Strada,1956,Best International Feature Film,29th,yes
Helmut,Käutner,The Captain of Köpenick,1956,Best International Feature Film,29th,no
René,Clément,Gervaise,1956,Best International Feature Film,29th,no
Kon,Ichikawa,Harp of Burma,1956,Best International Feature Film,29th,no
Erik,Balling,Qivitoq,1956,Best International Feature Film,29th,no
Federico,Fellini,Nights of Cabiria,1957,Best International Feature Film,30th,yes
Robert,Siodmak,The Devil Strikes at Night,1957,Best International Feature Film,30th,no
René,Clair,Gates of Paris,1957,Best International Feature Film,30th,no
Mehboob,Khan,Mother India,1957,Best International Feature Film,30th,no
Arne,Skouen,Nine Lives,1957,Best International Feature Film,30th,no
Jacques,Tati,Mon Oncle,1958,Best International Feature Film,31st,yes
Franz,Peter Wirth,Arms and the Man,1958,Best International Feature Film,31st,no
Juan,Antonio Bardem,La Venganza,1958,Best International Feature Film,31st,no
Giuseppe,De Santis,The Road a Year Long,1958,Best International Feature Film,31st,no
Mario,Monicelli,The Usual Unidentified Thieves,1958,Best International Feature Film,31st,no
Marcel,Camus,Black Orpheus,1959,Best International Feature Film,32nd,yes
Bernhard,Wicki,The Bridge,1959,Best International Feature Film,32nd,no
Mario,Monicelli,The Great War,1959,Best International Feature Film,32nd,no
Astrid,Henning-Jensen,Paw,1959,Best International Feature Film,32nd,no
Fons,Rademakers,The Village on the River,1959,Best International Feature Film,32nd,no
Ingmar,Bergman,The Virgin Spring,1960,Best International Feature Film,33rd,yes
Gillo,Pontecorvo,Kapo,1960,Best International Feature Film,33rd,no
Henri-Georges,Clouzot,La Vérité,1960,Best International Feature Film,33rd,no
Roberto,Gavaldón,Macario,1960,Best International Feature Film,33rd,no
France,Štiglic,The Ninth Circle,1960,Best International Feature Film,33rd,no
Ingmar,Bergman,Through a Glass Darkly,1961,Best International Feature Film,34th,yes
