firstName,lastName,movieTitle,releaseYear
William,J. Tuttle,7 Faces of Dr. Lao,1964
John,Chambers,Planet of the Apes,1968
Rick,Baker,An American Werewolf in London,1981
Stan,Winston,Heartbeeps,1981
Sarah,Monzani,Quest for Fire,1982
Michèle,Burke,Quest for Fire,1982
Tom,Smith,Gandhi,1982
Paul,LeBlanc,Amadeus,1984
Dick,Smith,Amadeus,1984
Michael,Westmore,2010: The Year We Make Contact,1984
Rick,Baker,"Greystoke: The Legend of Tarzan, Lord of the Apes",1984
Paul,Engelen,"Greystoke: The Legend of Tarzan, Lord of the Apes",1984
Michael,Westmore,Mask,1985
Zoltan,Elek,Mask,1985
Ken,Chase,The Color Purple,1985
Carl,Fullerton,Remo Williams: The Adventure Begins,1985
Chris,Walas,The Fly,1986
Stephan,Dupuis,The Fly,1986
Michael,Westmore,The Clan of the Cave Bear,1986
Michèle,Burke,The Clan of the Cave Bear,1986
Rob,Bottin,Legend,1986
Peter,Robb-King,Legend,1986
Rick,Baker,Harry and the Hendersons,1987
Bob,Laden,Happy New Year,1987
Ve,Neill,Beetlejuice,1988
Steve,La Porte,Beetlejuice,1988
Robert,Short,Beetlejuice,1988
Rick,Baker,Coming to America,1988
Thomas,R. Burman,Scrooged,1988
Bari,Dreiband-Burman,Scrooged,1988
Manlio,Rocchetti,Driving Miss Daisy,1989
Lynn,Barber,Driving Miss Daisy,1989
Kevin,Haney,Driving Miss Daisy,1989
Maggie,Weston,The Adventures of Baron Munchausen,1989
Fabrizio,Sforza,The Adventures of Baron Munchausen,1989
Dick,Smith,Dad,1989
Ken,Diaz,Dad,1989
Greg,Nelson,Dad,1989
John,Caglione Jr.,Dick Tracy,1990
Doug,Drexler,Dick Tracy,1990
Michèle,Burke,Cyrano de Bergerac,1990
Jean-Pierre,Eychenne,Cyrano de Bergerac,1990
Ve,Neill,Edward Scissorhands,1990
Stan,Winston,Edward Scissorhands,1990
Stan,Winston,Terminator 2: Judgment Day,1991
Jeff,Dawn,Terminator 2: Judgment Day,1991
Christina,Smith,Hook,1991
Monty,Westmore,Hook,1991
Greg,Cannom,Hook,1991
Michael,Mills,Star Trek VI: The Undiscovered Country,1991
Edward,French,Star Trek VI: The Undiscovered Country,1991
Richard,Snell,Star Trek VI: The Undiscovered Country,1991
Greg,Cannom,Bram Stoker's Dracula,1992
Michèle,Burke,Bram Stoker's Dracula,1992
Matthew,W. Mungle,Bram Stoker's Dracula,1992
Ve,Neill,Batman Returns,1992
Ronnie,Specter,Batman Returns,1992
Stan,Winston,Batman Returns,1992
Ve,Neill,Hoffa,1992
Greg,Cannom,Hoffa,1992
John,Blake,Hoffa,1992
Greg,Cannom,Mrs. Doubtfire,1993
Ve,Neill,Mrs. Doubtfire,1993
Yolanda,Toussieng,Mrs. Doubtfire,1993
Carl,Fullerton,Philadelphia,1993
Alan,D'Angerio,Philadelphia,1993
Christina,Smith,Schindler's List,1993
Matthew,W. Mungle,Schindler's List,1993
Judith,A. Cory,Schindler's List,1993
Rick,Baker,Ed Wood,1994
Ve,Neill,Ed Wood,1994
Yolanda,Toussieng,Ed Wood,1994
Daniel,C. Striepeke,Forrest Gump,1994
Hallie,D'Amore,Forrest Gump,1994
Judith,A. Cory,Forrest Gump,1994
Daniel,Parker,Mary Shelley's Frankenstein,1994
Paul,Engelen,Mary Shelley's Frankenstein,1994
Carol,Hemming,Mary Shelley's Frankenstein,1994
Peter,Frampton,Braveheart,1995
Paul,Pattison,Braveheart,1995
Lois,Burwell,Braveheart,1995
Ken,Diaz,My Family,1995
Mark,Sanchez,My Family,1995
Greg,Cannom,Roommates,1995
Bob,Laden,Roommates,1995
Colleen,Callaghan,Roommates,1995
Rick,Baker,The Nutty Professor,1996
David,LeRoy Anderson,The Nutty Professor,1996
Matthew,W. Mungle,Ghosts of Mississippi,1996
Deborah,La Mia Denaver,Ghosts of Mississippi,1996
Michael,Westmore,Star Trek: First Contact,1996
Scott,Wheeler,Star Trek: First Contact,1996
Jake,Garber,Star Trek: First Contact,1996
Rick,Baker,Men in Black,1997
David,LeRoy Anderson,Men in Black,1997
Lisa,Westcott,Mrs Brown,1997
Veronica,Brebner,Mrs Brown,1997
Beverley,Binda,Mrs Brown,1997
Tina,Earnshaw,Titanic,1997
Greg,Cannom,Titanic,1997
Simon,Thompson,Titanic,1997
Jenny,Shircore,Elizabeth,1998
Lois,Burwell,Saving Private Ryan,1998
Conor,O'Sullivan,Saving Private Ryan,1998
Daniel,C. Striepeke,Saving Private Ryan,1998
Lisa,Westcott,Shakespeare in Love,1998
Veronica,Brebner,Shakespeare in Love,1998
Christine,Blundell,Topsy-Turvy,1999
Trefor,Proud,Topsy-Turvy,1999
Michèle,Burke,Austin Powers: The Spy Who Shagged Me,1999
Mike,Smithson,Austin Powers: The Spy Who Shagged Me,1999
Greg,Cannom,Bicentennial Man,1999
Rick,Baker,Life,1999
Rick,Baker,How the Grinch Stole Christmas,2000
Gail,Ryan,How the Grinch Stole Christmas,2000
Michèle,Burke,The Cell,2000
Edouard,F. Henriques,The Cell,2000
Ann,Buchanan,Shadow of the Vampire,2000
Amber,Sibley,Shadow of the Vampire,2000
Peter,Owen,The Lord of the Rings: The Fellowship of the Ring,2001
Richard,Taylor,The Lord of the Rings: The Fellowship of the Ring,2001
Greg,Cannom,A Beautiful Mind,2001
Colleen,Callaghan,A Beautiful Mind,2001
Maurizio,Silvi,Moulin Rouge!,2001
Aldo,Signoretti,Moulin Rouge!,2001
John,E. Jackson,Frida,2002
Beatrice,De Alba,Frida,2002
John,M. Elliott Jr.,The Time Machine,2002
Barbara,Lorenz,The Time Machine,2002
Richard,Taylor,The Lord of the Rings: The Return of the King,2003
Peter,King,The Lord of the Rings: The Return of the King,2003
Edouard,F. Henriques,Master and Commander: The Far Side of the World,2003
Yolanda,Toussieng,Master and Commander: The Far Side of the World,2003
Ve,Neill,Pirates of the Caribbean: The Curse of the Black Pearl,2003
Martin,Samuel,Pirates of the Caribbean: The Curse of the Black Pearl,2003
Valli,O'Reilly,Lemony Snicket's A Series of Unfortunate Events,2004
Bill,Corso,Lemony Snicket's A Series of Unfortunate Events,2004
Keith,VanderLaan,The Passion of the Christ,2004
Christien,Tinsley,The Passion of the Christ,2004
Jo,Allen,The Sea Inside,2004
Manuel,García,The Sea Inside,2004
Howard,Berger,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005
Tami,Lane,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005
David,LeRoy Anderson,Cinderella Man,2005
Lance,Anderson,Cinderella Man,2005
Dave,Elsey,Star Wars: Episode III – Revenge of the Sith,2005
Nikki,Gooley,Star Wars: Episode III – Revenge of the Sith,2005
David,Martí,Pan's Labyrinth,2006
Montse,Ribé,Pan's Labyrinth,2006
Aldo,Signoretti,Apocalypto,2006
Vittorio,Sodano,Apocalypto,2006
Kazuhiro,Tsuji,Click,2006
Bill,Corso,Click,2006
Didier,Lavergne,La Vie en Rose,2007
Jan,Archibald,La Vie en Rose,2007
Rick,Baker,Norbit,2007
Kazuhiro,Tsuji,Norbit,2007
Ve,Neill,Pirates of the Caribbean: At World's End,2007
Martin,Samuel,Pirates of the Caribbean: At World's End,2007
Greg,Cannom,The Curious Case of Benjamin Button,2008
John,Caglione Jr.,The Dark Knight,2008
Conor,O'Sullivan,The Dark Knight,2008
Mike,Elizalde,Hellboy II: The Golden Army,2008
Thomas,Floutz,Hellboy II: The Golden Army,2008
Barney,Burman,Star Trek,2009
Mindy,Hall,Star Trek,2009
Joel,Harlow,Star Trek,2009
Aldo,Signoretti,Il divo,2009
Vittorio,Sodano,Il divo,2009
Jon,Henry Gordon,The Young Victoria,2009
Jenny,Shircore,The Young Victoria,2009
Rick,Baker,The Wolfman,2010
Dave,Elsey,The Wolfman,2010
Adrien,Morot,Barney's Version,2010
Edouard,F. Henriques,The Way Back,2010
Gregory,Funk,The Way Back,2010
Yolanda,Toussieng,The Way Back,2010
Mark,Coulier,The Iron Lady,2011
J.,Roy Helland,The Iron Lady,2011
Martial,Corneville,Albert Nobbs,2011
Lynn,Johnston,Albert Nobbs,2011
Matthew,W. Mungle,Albert Nobbs,2011
Nick,Dudman,Harry Potter and the Deathly Hallows – Part 2,2011
Amanda,Knight,Harry Potter and the Deathly Hallows – Part 2,2011
Lisa,Tomblin,Harry Potter and the Deathly Hallows – Part 2,2011
Lisa,Westcott,Les Misérables,2012
Julie,Dartnell,Les Misérables,2012
Howard,Berger,Hitchcock,2012
Peter,Montagna,Hitchcock,2012
Martin,Samuel,Hitchcock,2012
Peter,Swords King,The Hobbit: An Unexpected Journey,2012
Rick,Findlater,The Hobbit: An Unexpected Journey,2012
Tami,Lane,The Hobbit: An Unexpected Journey,2012
Adruitha,Lee,Dallas Buyers Club,2013
Robin,Mathews,Dallas Buyers Club,2013
Stephen,Prouty,Jackass Presents: Bad Grandpa,2013
Joel,Harlow,The Lone Ranger,2013
Gloria,Pasqua-Casny,The Lone Ranger,2013
Frances,Hannon,The Grand Budapest Hotel,2014
Mark,Coulier,The Grand Budapest Hotel,2014
Bill,Corso,Foxcatcher,2014
Dennis,Liddiard,Foxcatcher,2014
Elizabeth,Yianni-Georgiou,Guardians of the Galaxy,2014
David,White,Guardians of the Galaxy,2014
Lesley,Vanderwalt,Mad Max: Fury Road,2015
Elka,Wardega,Mad Max: Fury Road,2015
Damian,Martin,Mad Max: Fury Road,2015
Love,Larson,The 100-Year-Old Man Who Climbed Out of the Window and Disappeared,2015
Eva,von Bahr,The 100-Year-Old Man Who Climbed Out of the Window and Disappeared,2015
Siân,Grigg,The Revenant,2015
Duncan,Jarman,The Revenant,2015
Robert,Pandini,The Revenant,2015
Alessandro,Bertolazzi,Suicide Squad,2016
Giorgio,Gregorini,Suicide Squad,2016
Christopher,Nelson,Suicide Squad,2016
Eva,von Bahr,A Man Called Ove,2016
Love,Larson,A Man Called Ove,2016
Joel,Harlow,Star Trek Beyond,2016
Richard,Alonzo,Star Trek Beyond,2016
Kazuhiro,Tsuji,Darkest Hour,2017
David,Malinowski,Darkest Hour,2017
Lucy,Sibbick,Darkest Hour,2017
Daniel,Phillips,Victoria & Abdul,2017
Lou,Sheppard,Victoria & Abdul,2017
Arjen,Tuiten,Wonder,2017
Greg,Cannom,Vice,2018
Kate,Biscoe,Vice,2018
Patricia,Dehaney,Vice,2018
Göran,Lundström,Border,2018
Pamela,Goldammer,Border,2018
Jenny,Shircore,Mary Queen of Scots,2018
Marc,Pilcher,Mary Queen of Scots,2018
Jessica,Brooks,Mary Queen of Scots,2018
Kazu,Hiro,Bombshell,2019
Anne,Morgan,Bombshell,2019
Vivian,Baker,Bombshell,2019
Nicki,Ledermann,Joker,2019
Kay,Georgiou,Joker,2019
Jeremy,Woodhead,Judy,2019
Paul,Gooch,Maleficent: Mistress of Evil,2019
Arjen,Tuiten,Maleficent: Mistress of Evil,2019
David,White,Maleficent: Mistress of Evil,2019
Naomi,Donne,1917,2019
Tristan,Versluis,1917,2019
Rebecca,Cole,1917,2019
Sergio,López-Rivera,Ma Rainey's Black Bottom,2020
Mia,Neal,Ma Rainey's Black Bottom,2020
Jamika,Wilson,Ma Rainey's Black Bottom,2020
Marese,Langan,Emma,2020
Laura,Allen,Emma,2020
Claudia,Stolze,Emma,2020
Eryn,Krueger Mekash,Hillbilly Elegy,2020
Matthew,Mungle,Hillbilly Elegy,2020
Patricia,Dehaney,Hillbilly Elegy,2020
Gigi,Williams,Mank,2020
Kimberley,Spiteri,Mank,2020
Colleen,LaBaff,Mank,2020
Mark,Coulier,Pinocchio,2020
Dalia,Colli,Pinocchio,2020
Francesco,Pegoretti,Pinocchio,2020
Linda,Dowds,The Eyes of Tammy Faye,2021
Stephanie,Ingram,The Eyes of Tammy Faye,2021
Justin,Raleigh,The Eyes of Tammy Faye,2021
Mike,Marino,Coming 2 America,2021
Stacey,Morris,Coming 2 America,2021
Carla,Farmer,Coming 2 America,2021
Nadia,Stacey,Cruella,2021
Naomi,Donne,Cruella,2021
Julia,Vernon,Cruella,2021
Donald,Mowat,Dune,2021
Love,Larson,Dune,2021
Eva,von Bahr,Dune,2021
Göran,Lundström,House of Gucci,2021
Anna,Carin Lock,House of Gucci,2021
Frederic,Aspiras,House of Gucci,2021
Adrien,Morot,The Whale,2022
Judy,Chin,The Whale,2022
Annemarie,Bradley,The Whale,2022
Heike,Merker,All Quiet on the Western Front,2022
Linda,Eisenhamerová,All Quiet on the Western Front,2022
Naomi,Donne,The Batman,2022
Mike,Marino,The Batman,2022
Mike,Fontaine,The Batman,2022
Camille,Friend,Black Panther: Wakanda Forever,2022
Joel,Harlow,Black Panther: Wakanda Forever,2022
Mark,Coulier,Elvis,2022
Jason,Baird,Elvis,2022
Aldo,Signoretti,Elvis,2022
Nadia,Stacey,Poor Things,2023
Mark,Coulier,Poor Things,2023
Josh,Weston,Poor Things,2023
Karen,Hartley Thomas,Golda,2023
Suzi,Battersby,Golda,2023
Ashra,Kelly-Blue,Golda,2023
Kazu,Hiro,Maestro,2023
Kay,Georgiou,Maestro,2023
Lori,McCoy-Bell,Maestro,2023
Luisa,Abel,Oppenheimer,2023
Ana,López-Puigcerver,Society of the Snow,2023
David,Martí,Society of the Snow,2023
Montse,Ribé,Society of the Snow,2023
Pierre-Olivier,Persin,The Substance,2024
Stéphanie,Guillon,The Substance,2024
Marilyne,Scarselli,The Substance,2024
Mike,Marino,A Different Man,2024
David,Presto,A Different Man,2024
Crystal,Jurado,A Different Man,2024
Julia,Floch Carbonel,Emilia Pérez,2024
Emmanuel,Janvier,Emilia Pérez,2024
Jean-Christophe,Spadaccini,Emilia Pérez,2024
David,White,Nosferatu,2024
Traci,Loader,Nosferatu,2024
Suzanne,Stokes-Munton,Nosferatu,2024
Frances,Hannon,Wicked,2024
Laura,Blount,Wicked,2024
Sarah,Nuth,Wicked,2024
