firstName,lastName,movieTitle,releaseYear,categoryName,iteration,isWinner
William,J. Tuttle,7 Faces of Dr. Lao,1964,Best Makeup and Hairstyling,37th,no
John,Chambers,Planet of the Apes,1968,Best Makeup and Hairstyling,41st,no
Rick,Baker,An American Werewolf in London,1981,Best Makeup and Hairstyling,54th,yes
Stan,Winston,Heartbeeps,1981,Best Makeup and Hairstyling,54th,no
Sarah,Monzani,Quest for Fire,1982,Best Makeup and Hairstyling,55th,yes
Michèle,Burke,Quest for Fire,1982,Best Makeup and Hairstyling,55th,yes
Tom,Smith,Gandhi,1982,Best Makeup and Hairstyling,55th,no
Paul,LeBlanc,Amadeus,1984,Best Makeup and Hairstyling,57th,yes
Dick,Smith,Amadeus,1984,Best Makeup and Hairstyling,57th,yes
Michael,Westmore,2010: The Year We Make Contact,1984,Best Makeup and Hairstyling,57th,no
Rick,Baker,"Greystoke: The Legend of Tarzan, Lord of the Apes",1984,Best Makeup and Hairstyling,57th,no
Paul,Engelen,"Greystoke: The Legend of Tarzan, Lord of the Apes",1984,Best Makeup and Hairstyling,57th,no
Michael,Westmore,Mask,1985,Best Makeup and Hairstyling,58th,yes
Zoltan,Elek,Mask,1985,Best Makeup and Hairstyling,58th,yes
Ken,Chase,The Color Purple,1985,Best Makeup and Hairstyling,58th,no
Carl,Fullerton,Remo Williams: The Adventure Begins,1985,Best Makeup and Hairstyling,58th,no
Chris,Walas,The Fly,1986,Best Makeup and Hairstyling,59th,yes
Stephan,Dupuis,The Fly,1986,Best Makeup and Hairstyling,59th,yes
Michael,Westmore,The Clan of the Cave Bear,1986,Best Makeup and Hairstyling,59th,no
Michèle,Burke,The Clan of the Cave Bear,1986,Best Makeup and Hairstyling,59th,no
Rob,Bottin,Legend,1986,Best Makeup and Hairstyling,59th,no
Peter,Robb-King,Legend,1986,Best Makeup and Hairstyling,59th,no
Rick,Baker,Harry and the Hendersons,1987,Best Makeup and Hairstyling,60th,yes
Bob,Laden,Happy New Year,1987,Best Makeup and Hairstyling,60th,no
Ve,Neill,Beetlejuice,1988,Best Makeup and Hairstyling,61st,yes
Steve,La Porte,Beetlejuice,1988,Best Makeup and Hairstyling,61st,yes
Robert,Short,Beetlejuice,1988,Best Makeup and Hairstyling,61st,yes
Rick,Baker,Coming to America,1988,Best Makeup and Hairstyling,61st,no
Thomas,R. Burman,Scrooged,1988,Best Makeup and Hairstyling,61st,no
Bari,Dreiband-Burman,Scrooged,1988,Best Makeup and Hairstyling,61st,no
