firstName,lastName,movieTitle,releaseYear,categoryName,iteration,isWinner
Louis,Silvers,One Night of Love,1934,Best Original Score,7th,yes
Victor,Schertzinger,One Night of Love,1934,Best Original Score,7th,yes
Gus,Kahn,One Night of Love,1934,Best Original Score,7th,yes
Max,Steiner,The Gay Divorcee,1934,Best Original Score,7th,no
Kenneth,Webb,The Gay Divorcee,1934,Best Original Score,7th,no
Sam,Hoffenstein,The Gay Divorcee,1934,Best Original Score,7th,no
Max,Steiner,The Informer,1935,Best Original Score,8th,yes
Leo,F. Forbstein,Captain Blood,1935,Best Original Score,8th,no
Erich,Wolfgang Korngold,Captain Blood,1935,Best Original Score,8th,no
Herbert,Stothart,Mutiny on the Bounty,1935,Best Original Score,8th,no
Ernst,Toch,Peter Ibbetson,1935,Best Original Score,8th,no
Leo,F. Forbstein,Anthony Adverse,1936,Best Original Score,9th,yes
Erich,Wolfgang Korngold,Anthony Adverse,1936,Best Original Score,9th,yes
Max,Steiner,The Charge of the Light Brigade,1936,Best Original Score,9th,no
Boris,Morros,The General Died at Dawn,1936,Best Original Score,9th,no
Werner,Janssen,The General Died at Dawn,1936,Best Original Score,9th,no
Nathaniel,Shilkret,Winterset,1936,Best Original Score,9th,no
Charles,Previn,One Hundred Men and a Girl,1937,Best Original Score,10th,yes
Alfred,Newman,The Hurricane,1937,Best Original Score,10th,no
Louis,Silvers,In Old Chicago,1937,Best Original Score,10th,no
Leo,F. Forbstein,The Life of Emile Zola,1937,Best Original Score,10th,no
Max,Steiner,The Life of Emile Zola,1937,Best Original Score,10th,no
Morris,Stoloff,Lost Horizon,1937,Best Original Score,10th,no
Dimitri,Tiomkin,Lost Horizon,1937,Best Original Score,10th,no
Hugo,Riesenfeld,Make a Wish,1937,Best Original Score,10th,no
Herbert,Stothart,Maytime,1937,Best Original Score,10th,no
Alberto,Colombo,Portia on Trial,1937,Best Original Score,10th,no
Alfred,Newman,The Prisoner of Zenda,1937,Best Original Score,10th,no
Roy,Webb,Quality Street,1937,Best Original Score,10th,no
Leigh,Harline,Snow White and the Seven Dwarfs,1937,Best Original Score,10th,no
Frank,Churchill,Snow White and the Seven Dwarfs,1937,Best Original Score,10th,no
Paul,Smith,Snow White and the Seven Dwarfs,1937,Best Original Score,10th,no
Constantin,Bakaleinikoff,Something to Sing About,1937,Best Original Score,10th,no
Victor,Schertzinger,Something to Sing About,1937,Best Original Score,10th,no
Boris,Morros,Souls at Sea,1937,Best Original Score,10th,no
W.,Franke Harling,Souls at Sea,1937,Best Original Score,10th,no
Marvin,Hatley,Way Out West,1937,Best Original Score,10th,no
Erich,Wolfgang Korngold,The Adventures of Robin Hood,1938,Best Original Score,11th,yes
Victor,Young,Army Girl,1938,Best Original Score,11th,no
Marvin,Hatley,Block-Heads,1938,Best Original Score,11th,no
Werner,Janssen,Blockade,1938,Best Original Score,11th,no
Alfred,Newman,The Cowboy and the Lady,1938,Best Original Score,11th,no
Richard,Hageman,If I Were King,1938,Best Original Score,11th,no
Herbert,Stothart,Marie Antoinette,1938,Best Original Score,11th,no
Russell,Bennett,Pacific Liner,1938,Best Original Score,11th,no
Louis,Silvers,Suez,1938,Best Original Score,11th,no
Franz,Waxman,The Young in Heart,1938,Best Original Score,11th,no
Alfred,Newman,Alexander's Ragtime Band,1938,Best Original Score,11th,yes
Victor,Baravalle,Carefree,1938,Best Original Score,11th,no
Morris,Stoloff,Girls' School,1938,Best Original Score,11th,no
Max,Steiner,Jezebel,1938,Best Original Score,11th,no
Charles,Previn,Mad About Music,1938,Best Original Score,11th,no
Frank,Skinner,Mad About Music,1938,Best Original Score,11th,no
Cy,Feuer,Storm Over Bengal,1938,Best Original Score,11th,no
Herbert,Stothart,Sweethearts,1938,Best Original Score,11th,no
Marvin,Hatley,There Goes My Heart,1938,Best Original Score,11th,no
Boris,Morros,Tropic Holiday,1938,Best Original Score,11th,no
Franz,Waxman,The Young in Heart,1938,Best Original Score,11th,no
Herbert,Stothart,The Wizard of Oz,1939,Best Original Score,12th,yes
Max,Steiner,Dark Victory,1939,Best Original Score,12th,no
Werner,Janssen,Eternally Yours,1939,Best Original Score,12th,no
Victor,Young,Golden Boy,1939,Best Original Score,12th,no
Max,Steiner,Gone with the Wind,1939,Best Original Score,12th,no
Victor,Young,Gulliver's Travels,1939,Best Original Score,12th,no
Lud,Gluskin,The Man in the Iron Mask,1939,Best Original Score,12th,no
Lucien,Moraweck,The Man in the Iron Mask,1939,Best Original Score,12th,no
Victor,Young,Man of Conquest,1939,Best Original Score,12th,no
Anthony,Collins,Nurse Edith Cavell,1939,Best Original Score,12th,no
Aaron,Copland,Of Mice and Men,1939,Best Original Score,12th,no
Alfred,Newman,The Rains Came,1939,Best Original Score,12th,no
Alfred,Newman,Wuthering Heights,1939,Best Original Score,12th,no
Richard,Hageman,Stagecoach,1939,Best Original Score,12th,yes
W.,Franke Harling,Stagecoach,1939,Best Original Score,12th,yes
John,Leipold,Stagecoach,1939,Best Original Score,12th,yes
Leo,Shuken,Stagecoach,1939,Best Original Score,12th,yes
Roger,Edens,Babes in Arms,1939,Best Original Score,12th,no
Georgie,Stoll,Babes in Arms,1939,Best Original Score,12th,no
Charles,Previn,First Love,1939,Best Original Score,12th,no
Phil,Boutelje,The Great Victor Herbert,1939,Best Original Score,12th,no
Arthur,Lange,The Great Victor Herbert,1939,Best Original Score,12th,no
Louis,Forbes,Intermezzo,1939,Best Original Score,12th,no
Dimitri,Tiomkin,Mr. Smith Goes to Washington,1939,Best Original Score,12th,no
Aaron,Copland,Of Mice and Men,1939,Best Original Score,12th,no
Erich,Wolfgang Korngold,The Private Lives of Elizabeth and Essex,1939,Best Original Score,12th,no
Cy,Feuer,She Married a Cop,1939,Best Original Score,12th,no
Louis,Silvers,Swanee River,1939,Best Original Score,12th,no
Victor,Young,Way Down South,1939,Best Original Score,12th,no
Leigh,Harline,Pinocchio,1940,Best Original Score,13th,yes
Paul,Smith,Pinocchio,1940,Best Original Score,13th,yes
Ned,Washington,Pinocchio,1940,Best Original Score,13th,yes
Victor,Young,Arizona,1940,Best Original Score,13th,no
Victor,Young,Dark Command,1940,Best Original Score,13th,no
Louis,Gruenberg,The Fight for Life,1940,Best Original Score,13th,no
Meredith,Willson,The Great Dictator,1940,Best Original Score,13th,no
Frank,Skinner,The House of the Seven Gables,1940,Best Original Score,13th,no
Richard,Hageman,The Howards of Virginia,1940,Best Original Score,13th,no
Max,Steiner,The Letter,1940,Best Original Score,13th,no
Alfred,Newman,The Mark of Zorro,1940,Best Original Score,13th,no
Roy,Webb,My Favorite Wife,1940,Best Original Score,13th,no
Werner,Heymann,One Million B.C.,1940,Best Original Score,13th,no
Aaron,Copland,Our Town,1940,Best Original Score,13th,no
Franz,Waxman,Rebecca,1940,Best Original Score,13th,no
Miklós,Rózsa,The Thief of Bagdad,1940,Best Original Score,13th,no
Herbert,Stothart,Waterloo Bridge,1940,Best Original Score,13th,no
Alfred,Newman,Tin Pan Alley,1940,Best Original Score,13th,yes
Cy,Feuer,Hit Parade of 1941,1940,Best Original Score,13th,no
Anthony,Collins,Irene,1940,Best Original Score,13th,no
Erich,Wolfgang Korngold,The Sea Hawk,1940,Best Original Score,13th,no
