firstName,lastName,movieTitle,releaseYear
Preston,Sturges,The Great McGinty,1940
Ben,Hecht,Angels Over Broadway,1940
John,Huston,Dr. Ehrlich's Magic Bullet,1940
Charles,Bennett,Foreign Correspondent,1940
Joan,Harrison,Foreign Correspondent,1940
Charlie,Chaplin,The Great Dictator,1940
Herman,J. Mankiewicz,Citizen Kane,1941
Orson,Welles,Citizen Kane,1941
Norman,Krasna,The Devil and Miss Jones,1941
Harry,Chandlee,Sergeant York,1941
John,Huston,Sergeant York,1941
Howard,Koch,Sergeant York,1941
Karl,Tunberg,"Tall, Dark and Handsome",1941
Darrell,Ware,"Tall, Dark and Handsome",1941
Paul,Jarrico,"Tom, Dick and Harry",1941
Ring,Lardner Jr.,Woman of the Year,1942
Michael,Kanin,Woman of the Year,1942
Michael,Powell,One of Our Aircraft Is Missing,1942
Emeric,Pressburger,One of Our Aircraft Is Missing,1942
Frank,Butler,Road to Morocco,1942
Don,Hartman,Road to Morocco,1942
W.,R. Burnett,Wake Island,1942
Frank,Butler,Wake Island,1942
George,Oppenheimer,The War Against Mrs. Hadley,1942
Norman,Krasna,Princess O'Rourke,1943
Dudley,Nichols,Air Force,1943
Noël,Coward,In Which We Serve,1943
Lillian,Hellman,The North Star,1943
Allan,Scott,So Proudly We Hail!,1943
Lamar,Trotti,Wilson,1944
Preston,Sturges,Hail the Conquering Hero,1944
Richard,Connell,Two Girls and a Sailor,1944
Gladys,Lehman,Two Girls and a Sailor,1944
Jerome,Cady,Wing and a Prayer,1944
Richard,Schweizer,Marie-Louise,1945
Philip,Yordan,Dillinger,1945
Myles,Connolly,Music for Millions,1945
Harry,Kurnitz,"What Next, Corporal Hargrove?",1945
Muriel,,The Seventh Veil,1946
Sydney,Box,The Seventh Veil,1946
Raymond,Chandler,The Blue Dahlia,1946
Jacques,Prévert,Children of Paradise,1946
Ben,Hecht,Notorious,1946
Melvin,Frank,Road to Utopia,1946
Norman,Panama,Road to Utopia,1946
Sidney,Sheldon,The Bachelor and the Bobby-Soxer,1947
Abraham,Polonsky,Body and Soul,1947
Ruth,Gordon,A Double Life,1947
Garson,Kanin,A Double Life,1947
Charlie,Chaplin,Monsieur Verdoux,1947
Sergio,Amidei,Shoeshine,1947
Adolfo,Franci,Shoeshine,1947
Cesare,Giulio Viola,Shoeshine,1947
Cesare,Zavattini,Shoeshine,1947
Robert,Pirosh,Battleground,1949
Sidney,Buchman,Jolson Sings Again,1949
Sergio,Amidei,Paisan,1949
Federico,Fellini,Paisan,1949
Alfred,Hayes,Paisan,1949
Marcello,Pagliero,Paisan,1949
Roberto,Rossellini,Paisan,1949
T.,E. B. Clarke,Passport to Pimlico,1949
Helen,Levitt,The Quiet One,1949
Janice,Loeb,The Quiet One,1949
Sidney,Meyers,The Quiet One,1949
Charles,Brackett,Sunset Boulevard,1950
D.,M. Marshman Jr.,Sunset Boulevard,1950
Billy,Wilder,Sunset Boulevard,1950
Ruth,Gordon,Adam's Rib,1950
Garson,Kanin,Adam's Rib,1950
Virginia,Kellogg,Caged,1950
Bernard,C. Schoenfeld,Caged,1950
Carl,Foreman,The Men,1950
Joseph,L. Mankiewicz,No Way Out,1950
Lesser,Samuels,No Way Out,1950
Alan,Jay Lerner,An American in Paris,1951
Walter,Newman,Ace in the Hole,1951
Lesser,Samuels,Ace in the Hole,1951
Billy,Wilder,Ace in the Hole,1951
Philip,Dunne,David and Bathsheba,1951
Robert,Pirosh,Go for Broke!,1951
Clarence,Greene,The Well,1951
Russell,Rouse,The Well,1951
T.,E. B. Clarke,The Lavender Hill Mob,1952
Sydney,Boehm,The Atomic City,1952
Terence,Rattigan,Breaking the Sound Barrier,1952
Ruth,Gordon,Pat and Mike,1952
Garson,Kanin,Pat and Mike,1952
John,Steinbeck,Viva Zapata!,1952
Charles,Brackett,Titanic,1953
Richard,L. Breen,Titanic,1953
Walter,Reisch,Titanic,1953
Betty,Comden,The Band Wagon,1953
Adolph,Green,The Band Wagon,1953
Richard,Murphy,The Desert Rats,1953
Harold,Jack Bloom,The Naked Spur,1953
Sam,Rolfe,The Naked Spur,1953
Millard,Kaufman,Take the High Ground!,1953
Budd,Schulberg,On the Waterfront,1954
Joseph,L. Mankiewicz,The Barefoot Contessa,1954
William,Rose,Genevieve,1954
Oscar,Brodney,The Glenn Miller Story,1954
Valentine,Davies,The Glenn Miller Story,1954
Melvin,Frank,Knock on Wood,1954
Norman,Panama,Knock on Wood,1954
Sonya,Levien,Interrupted Melody,1955
William,Ludwig,Interrupted Melody,1955
Emmet,Lavery,The Court-Martial of Billy Mitchell,1955
Milton,Sperling,The Court-Martial of Billy Mitchell,1955
Betty,Comden,It's Always Fair Weather,1955
Adolph,Green,It's Always Fair Weather,1955
Henri,Marquet,Mr. Hulot's Holiday,1955
Jacques,Tati,Mr. Hulot's Holiday,1955
Melville,Shavelson,The Seven Little Foys,1955
Jack,Rose,The Seven Little Foys,1955
Albert,Lamorisse,The Red Balloon,1956
Robert,Lewin,The Bold and the Brave,1956
Andrew,L. Stone,Julie,1956
Federico,Fellini,La Strada,1956
Tullio,Pinelli,La Strada,1956
William,Rose,The Ladykillers,1956
George,Wells,Designing Woman,1957
Leonard,Gershe,Funny Face,1957
Robert,Campbell,Man of a Thousand Faces,1957
Ivan,Goff,Man of a Thousand Faces,1957
Ben,Roberts,Man of a Thousand Faces,1957
Ralph,Wheelwright,Man of a Thousand Faces,1957
Dudley,Nichols,The Tin Star,1957
Federico,Fellini,I Vitelloni,1957
Ennio,Flaiano,I Vitelloni,1957
Tullio,Pinelli,I Vitelloni,1957
Nedrick,Young,The Defiant Ones,1958
Harold,Jacob Smith,The Defiant Ones,1958
[note,2],The Defiant Ones,1958
Paddy,Chayefsky,The Goddess,1958
Melville,Shavelson,Houseboat,1958
Jack,Rose,Houseboat,1958
William,Bowers,The Sheepman,1958
James,Edward Grant,The Sheepman,1958
Fay,Kanin,Teacher's Pet,1958
Michael,Kanin,Teacher's Pet,1958
Stanley,Shapiro,Pillow Talk,1959
Maurice,Richlin,Pillow Talk,1959
Clarence,Greene,Pillow Talk,1959
Russell,Rouse,Pillow Talk,1959
Marcel,Moussy,The 400 Blows,1959
François,Truffaut,The 400 Blows,1959
Ernest,Lehman,North by Northwest,1959
Paul,King,Operation Petticoat,1959
Ingmar,Bergman,Wild Strawberries,1959
I.,A. L. Diamond,The Apartment,1960
Billy,Wilder,The Apartment,1960
Bryan,Forbes,The Angry Silence,1960
Michael,Craig,The Angry Silence,1960
Richard,Gregson,The Angry Silence,1960
Melvin,Frank,The Facts of Life,1960
Norman,Panama,The Facts of Life,1960
Marguerite,Duras,"Hiroshima, Mon Amour",1960
Jules,Dassin,Never on Sunday,1960
William,Inge,Splendor in the Grass,1961
Grigory,Chukhray,Ballad of a Soldier,1961
Valentin,Yezhov,Ballad of a Soldier,1961
Sergio,Amidei,General Della Rovere,1961
Indro,Montanelli,General Della Rovere,1961
Federico,Fellini,La Dolce Vita,1961
Ennio,Flaiano,La Dolce Vita,1961
Tullio,Pinelli,La Dolce Vita,1961
Brunello,Rondi,La Dolce Vita,1961
Paul,Henning,Lover Come Back,1961
Stanley,Shapiro,Lover Come Back,1961
Ennio,De Concini,Divorce Italian Style,1962
Pietro,Germi,Divorce Italian Style,1962
Alfredo,Giannetti,Divorce Italian Style,1962
Charles,Kaufman,Freud,1962
Wolfgang,Reinhardt,Freud,1962
Alain,Robbe-Grillet,Last Year at Marienbad,1962
Nate,Monaster,That Touch of Mink,1962
Stanley,Shapiro,That Touch of Mink,1962
Ingmar,Bergman,Through a Glass Darkly,1962
James,R. Webb,How the West Was Won,1963
Elia,Kazan,America America,1963
Federico,Fellini,8½,1963
Ennio,Flaiano,8½,1963
Tullio,Pinelli,8½,1963
Brunello,Rondi,8½,1963
Carlo,Bernari,The Four Days of Naples,1963
Pasquale,Festa Campanile,The Four Days of Naples,1963
Massimo,Franciosa,The Four Days of Naples,1963
Nanni,Loy,The Four Days of Naples,1963
Vasco,Pratolini,The Four Days of Naples,1963
Arnold,Schulman,Love with the Proper Stranger,1963
Peter,Stone,Father Goose,1964
Frank,Tarloff,Father Goose,1964
S.,H. Barnett,Father Goose,1964
Alun,Owen,A Hard Day's Night,1964
Orville,H. Hampton,"One Potato, Two Potato",1964
Age,,The Organizer,1964
Mario,Monicelli,The Organizer,1964
Furio,Scarpelli,The Organizer,1964
Daniel,Boulanger,That Man from Rio,1964
Philippe,de Broca,That Man from Rio,1964
Ariane,Mnouchkine,That Man from Rio,1964
Jean-Paul,Rappeneau,That Man from Rio,1964
Frederic,Raphael,Darling,1965
Age,,Casanova 70,1965
Suso,Cecchi d'Amico,Casanova 70,1965
Tonino,Guerra,Casanova 70,1965
Mario,Monicelli,Casanova 70,1965
Furio,Scarpelli,Casanova 70,1965
Ken,Annakin,Those Magnificent Men in Their Flying Machines,1965
Jack,Davies,Those Magnificent Men in Their Flying Machines,1965
Jacques,Demy,The Umbrellas of Cherbourg,1965
Claude,Lelouch,A Man and a Woman,1966
Pierre,Uytterhoeven,A Man and a Woman,1966
Michelangelo,Antonioni,Blowup,1966
Edward,Bond,Blowup,1966
Tonino,Guerra,Blowup,1966
I.,A. L. Diamond,The Fortune Cookie,1966
Billy,Wilder,The Fortune Cookie,1966
Robert,Ardrey,Khartoum,1966
William,Rose,Guess Who's Coming to Dinner,1967
Robert,Benton,Bonnie and Clyde,1967
David,Newman,Bonnie and Clyde,1967
Norman,Lear,Divorce American Style,1967
Robert,Kaufman,Divorce American Style,1967
Jorge,Semprún,La Guerre Est Finie,1967
Frederic,Raphael,Two for the Road,1967
Mel,Brooks,The Producers,1968
Gillo,Pontecorvo,The Battle of Algiers,1968
Franco,Solinas,The Battle of Algiers,1968
John,Cassavetes,Faces,1968
Peter,Ustinov,Hot Millions,1968
Ira,Wallach,Hot Millions,1968
Arthur,C. Clarke,2001: A Space Odyssey,1968
Stanley,Kubrick,2001: A Space Odyssey,1968
William,Goldman,Butch Cassidy and the Sundance Kid,1969
Paul,Mazursky,Bob & Carol & Ted & Alice,1969
Larry,Tucker,Bob & Carol & Ted & Alice,1969
