firstName,lastName,movieTitle,releaseYear,categoryName,iteration,isWinner
Preston,Sturges,The Great McGinty,1940,Best Original Screenplay,13th,yes
Ben,Hecht,Angels Over Broadway,1940,Best Original Screenplay,13th,no
John,Huston,Dr. Ehrlich's Magic Bullet,1940,Best Original Screenplay,13th,no
Charles,Bennett,Foreign Correspondent,1940,Best Original Screenplay,13th,no
Joan,Harrison,Foreign Correspondent,1940,Best Original Screenplay,13th,no
Charlie,Chaplin,The Great Dictator,1940,Best Original Screenplay,13th,no
Herman,J. Mankiewicz,Citizen Kane,1941,Best Original Screenplay,14th,yes
Orson,Welles,Citizen Kane,1941,Best Original Screenplay,14th,yes
Norman,Krasna,The Devil and Miss Jones,1941,Best Original Screenplay,14th,no
Harry,Chandlee,Sergeant York,1941,Best Original Screenplay,14th,no
John,Huston,Sergeant York,1941,Best Original Screenplay,14th,no
Howard,Koch,Sergeant York,1941,Best Original Screenplay,14th,no
Karl,Tunberg,"Tall, Dark and Handsome",1941,Best Original Screenplay,14th,no
Darrell,Ware,"Tall, Dark and Handsome",1941,Best Original Screenplay,14th,no
Paul,Jarrico,"Tom, Dick and Harry",1941,Best Original Screenplay,14th,no
Ring,Lardner Jr.,Woman of the Year,1942,Best Original Screenplay,15th,yes
Michael,Kanin,Woman of the Year,1942,Best Original Screenplay,15th,yes
Michael,Powell,One of Our Aircraft Is Missing,1942,Best Original Screenplay,15th,no
Emeric,Pressburger,One of Our Aircraft Is Missing,1942,Best Original Screenplay,15th,no
Frank,Butler,Road to Morocco,1942,Best Original Screenplay,15th,no
Don,Hartman,Road to Morocco,1942,Best Original Screenplay,15th,no
W.,R. Burnett,Wake Island,1942,Best Original Screenplay,15th,no
Frank,Butler,Wake Island,1942,Best Original Screenplay,15th,no
George,Oppenheimer,The War Against Mrs. Hadley,1942,Best Original Screenplay,15th,no
Norman,Krasna,Princess O'Rourke,1943,Best Original Screenplay,16th,yes
Dudley,Nichols,Air Force,1943,Best Original Screenplay,16th,no
Noël,Coward,In Which We Serve,1943,Best Original Screenplay,16th,no
Lillian,Hellman,The North Star,1943,Best Original Screenplay,16th,no
Allan,Scott,So Proudly We Hail!,1943,Best Original Screenplay,16th,no
Lamar,Trotti,Wilson,1944,Best Original Screenplay,17th,yes
Preston,Sturges,Hail the Conquering Hero,1944,Best Original Screenplay,17th,no
Richard,Connell,Two Girls and a Sailor,1944,Best Original Screenplay,17th,no
Gladys,Lehman,Two Girls and a Sailor,1944,Best Original Screenplay,17th,no
Jerome,Cady,Wing and a Prayer,1944,Best Original Screenplay,17th,no
Richard,Schweizer,Marie-Louise,1945,Best Original Screenplay,18th,yes
