firstName,lastName,movieTitle,releaseYear,categoryName,iteration,isWinner
Con,Conrad,The Gay Divorcee,1934,Best Original Song,7th,yes
Herb,Magidson,The Gay Divorcee,1934,Best Original Song,7th,yes
Vincent,Youmans,Flying Down to Rio,1934,Best Original Song,7th,no
Edward,Eliscu,Flying Down to Rio,1934,Best Original Song,7th,no
Gus,Kahn,Flying Down to Rio,1934,Best Original Song,7th,no
Ralph,Rainger,She Loves Me Not,1934,Best Original Song,7th,no
Leo,Robin,She Loves Me Not,1934,Best Original Song,7th,no
Harry,Warren,Gold Diggers of 1935,1935,Best Original Song,8th,yes
Al,Dubin,Gold Diggers of 1935,1935,Best Original Song,8th,yes
Jerome,Kern,Roberta,1935,Best Original Song,8th,no
Dorothy,Fields,Roberta,1935,Best Original Song,8th,no
Jimmy,McHugh,Roberta,1935,Best Original Song,8th,no
Irving,Berlin,Top Hat,1935,Best Original Song,8th,no
Jerome,Kern,Swing Time,1936,Best Original Song,9th,yes
Dorothy,Fields,Swing Time,1936,Best Original Song,9th,yes
Cole,Porter,Born to Dance,1936,Best Original Song,9th,no
Arthur,Johnston,Pennies from Heaven,1936,Best Original Song,9th,no
Johnny,Burke,Pennies from Heaven,1936,Best Original Song,9th,no
Richard,A. Whiting,"Sing, Baby, Sing",1936,Best Original Song,9th,no
Walter,Bullock,"Sing, Baby, Sing",1936,Best Original Song,9th,no
Walter,Donaldson,Suzy,1936,Best Original Song,9th,no
Harold,Adamson,Suzy,1936,Best Original Song,9th,no
Louis,Alter,The Trail of the Lonesome Pine,1936,Best Original Song,9th,no
Sidney,D. Mitchell,The Trail of the Lonesome Pine,1936,Best Original Song,9th,no
Harry,Owens,Waikiki Wedding,1937,Best Original Song,10th,yes
Friedrich,Hollaender,Artists and Models,1937,Best Original Song,10th,no
Leo,Robin,Artists and Models,1937,Best Original Song,10th,no
Harry,Warren,Mr. Dodd Takes the Air,1937,Best Original Song,10th,no
Al,Dubin,Mr. Dodd Takes the Air,1937,Best Original Song,10th,no
George,Gershwin,Shall We Dance,1937,Best Original Song,10th,no
Ira,Gershwin,Shall We Dance,1937,Best Original Song,10th,no
Sammy,Fain,Walter Wanger's Vogues of 1938,1937,Best Original Song,10th,no
Lew,Brown,Walter Wanger's Vogues of 1938,1937,Best Original Song,10th,no
Ralph,Rainger,The Big Broadcast of 1938,1938,Best Original Song,11th,yes
Leo,Robin,The Big Broadcast of 1938,1938,Best Original Song,11th,yes
Irving,Berlin,Alexander's Ragtime Band,1938,Best Original Song,11th,no
Lionel,Newman,The Cowboy and the Lady,1938,Best Original Song,11th,no
Harry,Warren,Going Places,1938,Best Original Song,11th,no
Johnny,Mercer,Going Places,1938,Best Original Song,11th,no
Ben,Oakland,The Lady Objects,1938,Best Original Song,11th,no
Oscar,Hammerstein II,The Lady Objects,1938,Best Original Song,11th,no
Edward,Ward,Mannequin,1938,Best Original Song,11th,no
Chet,Forrest,Mannequin,1938,Best Original Song,11th,no
Bob,Wright,Mannequin,1938,Best Original Song,11th,no
Phil,Charig,Merrily We Live,1938,Best Original Song,11th,no
Jimmy,McHugh,That Certain Age,1938,Best Original Song,11th,no
Harold,Adamson,That Certain Age,1938,Best Original Song,11th,no
Johnny,Marvin,Under Western Stars,1938,Best Original Song,11th,no
Harold,Arlen,The Wizard of Oz,1939,Best Original Song,12th,yes
Yip,Harburg,The Wizard of Oz,1939,Best Original Song,12th,yes
Ralph,Rainger,Gulliver's Travels,1939,Best Original Song,12th,no
Leo,Robin,Gulliver's Travels,1939,Best Original Song,12th,no
Buddy,DeSylva,Love Affair,1939,Best Original Song,12th,no
Irving,Berlin,Second Fiddle,1939,Best Original Song,12th,no
Leigh,Harline,Pinocchio,1940,Best Original Song,13th,yes
Ned,Washington,Pinocchio,1940,Best Original Song,13th,yes
Harry,Warren,Down Argentine Way,1940,Best Original Song,13th,no
Mack,Gordon,Down Argentine Way,1940,Best Original Song,13th,no
Jule,Styne,Hit Parade of 1941,1940,Best Original Song,13th,no
Walter,Bullock,Hit Parade of 1941,1940,Best Original Song,13th,no
Chet,Forrest,Music in My Heart,1940,Best Original Song,13th,no
Bob,Wright,Music in My Heart,1940,Best Original Song,13th,no
James,V. Monaco,Rhythm on the River,1940,Best Original Song,13th,no
John,Burke,Rhythm on the River,1940,Best Original Song,13th,no
Artie,Shaw,Second Chorus,1940,Best Original Song,13th,no
Johnny,Mercer,Second Chorus,1940,Best Original Song,13th,no
Robert,Stolz,Spring Parade,1940,Best Original Song,13th,no
