firstName,lastName,movieTitle,releaseYear,categoryName,iteration,isWinner
William,Menzies,The Dove,1927,Best Production Design,1st,yes
William,Menzies,Tempest,1928,Best Production Design,1st,yes
Harry,Oliver,7th Heaven,1927,Best Production Design,1st,no
Rochus,Gliese,Sunrise: A Song of Two Humans,1927,Best Production Design,1st,no
Cedric,Gibbons,The Bridge of San Luis Rey,1928,Best Production Design,2nd,yes
William,Cameron Menzies,Alibi,1928,Best Production Design,2nd,no
Mitchell,Leisen,Dynamite,1928,Best Production Design,2nd,no
Hans,Dreier,The Patriot,1928,Best Production Design,2nd,no
Harry,Oliver,Street Angel,1928,Best Production Design,2nd,no
William,Cameron Menzies,Bulldog Drummond,1929,Best Production Design,3rd,no
Hans,Dreier,The Love Parade,1929,Best Production Design,3rd,no
Jack,Okey,Sally,1929,Best Production Design,3rd,no
Hans,Dreier,The Vagabond King,1929,Best Production Design,3rd,no
Max,Rée,Cimarron,1930,Best Production Design,4th,yes
Stephen,Goosson,Just Imagine,1930,Best Production Design,4th,no
Ralph,Hammeras,Just Imagine,1930,Best Production Design,4th,no
Hans,Dreier,Morocco,1930,Best Production Design,4th,no
Anton,Grot,Svengali,1930,Best Production Design,4th,no
Richard,Day,Whoopee!,1930,Best Production Design,4th,no
Gordon,Wiles,Transatlantic,1931,Best Production Design,5th,yes
Richard,Day,Arrowsmith,1931,Best Production Design,5th,no
Lazare,Meerson,À Nous la Liberté,1931,Best Production Design,5th,no
William,S. Darling,Cavalcade,1932,Best Production Design,6th,yes
Hans,Dreier,A Farewell to Arms,1932,Best Production Design,6th,no
Roland,Anderson,A Farewell to Arms,1932,Best Production Design,6th,no
Cedric,Gibbons,When Ladies Meet,1932,Best Production Design,6th,no
Cedric,Gibbons,The Merry Widow,1934,Best Production Design,7th,yes
Fredric,Hope,The Merry Widow,1934,Best Production Design,7th,yes
Richard,Day,The Affairs of Cellini,1934,Best Production Design,7th,no
Van,Nest Polglase,The Gay Divorcee,1934,Best Production Design,7th,no
Carroll,Clark,The Gay Divorcee,1934,Best Production Design,7th,no
Richard,Day,The Dark Angel,1935,Best Production Design,8th,yes
Hans,Dreier,The Lives of a Bengal Lancer,1935,Best Production Design,8th,no
Roland,Anderson,The Lives of a Bengal Lancer,1935,Best Production Design,8th,no
Carroll,Clark,Top Hat,1935,Best Production Design,8th,no
Van,Nest Polglase,Top Hat,1935,Best Production Design,8th,no
Richard,Day,Dodsworth,1936,Best Production Design,9th,yes
Anton,Grot,Anthony Adverse,1936,Best Production Design,9th,no
Cedric,Gibbons,The Great Ziegfeld,1936,Best Production Design,9th,no
Eddie,Imazu,The Great Ziegfeld,1936,Best Production Design,9th,no
Edwin,B. Willis,The Great Ziegfeld,1936,Best Production Design,9th,no
William,S. Darling,Lloyd's of London,1936,Best Production Design,9th,no
Albert,S. D'Agostino,The Magnificent Brute,1936,Best Production Design,9th,no
Jack,Otterson,The Magnificent Brute,1936,Best Production Design,9th,no
Cedric,Gibbons,Romeo and Juliet,1936,Best Production Design,9th,no
Fredric,Hope,Romeo and Juliet,1936,Best Production Design,9th,no
Edwin,B. Willis,Romeo and Juliet,1936,Best Production Design,9th,no
Perry,Ferguson,Winterset,1936,Best Production Design,9th,no
Stephen,Goosson,Lost Horizon,1937,Best Production Design,10th,yes
Cedric,Gibbons,Conquest,1937,Best Production Design,10th,no
William,A. Horning,Conquest,1937,Best Production Design,10th,no
Carroll,Clark,A Damsel in Distress,1937,Best Production Design,10th,no
Richard,Day,Dead End,1937,Best Production Design,10th,no
Wiard,Ihnen,Every Day's a Holiday,1937,Best Production Design,10th,no
Anton,Grot,The Life of Emile Zola,1937,Best Production Design,10th,no
John,Victor Mackay,Manhattan Merry-Go-Round,1937,Best Production Design,10th,no
Lyle,R. Wheeler,The Prisoner of Zenda,1937,Best Production Design,10th,no
Hans,Dreier,Souls at Sea,1937,Best Production Design,10th,no
Roland,Anderson,Souls at Sea,1937,Best Production Design,10th,no
Alexander,Toluboff,Walter Wanger's Vogues of 1938,1937,Best Production Design,10th,no
William,S. Darling,Wee Willie Winkie,1937,Best Production Design,10th,no
David,S. Hall,Wee Willie Winkie,1937,Best Production Design,10th,no
Jack,Otterson,You're a Sweetheart,1937,Best Production Design,10th,no
Carl,Jules Weyl,The Adventures of Robin Hood,1938,Best Production Design,11th,yes
Lyle,R. Wheeler,The Adventures of Tom Sawyer,1938,Best Production Design,11th,no
Bernard,Herzbrun,Alexander's Ragtime Band,1938,Best Production Design,11th,no
Boris,Leven,Alexander's Ragtime Band,1938,Best Production Design,11th,no
Alexander,Toluboff,Algiers,1938,Best Production Design,11th,no
Van,Nest Polglase,Carefree,1938,Best Production Design,11th,no
Richard,Day,The Goldwyn Follies,1938,Best Production Design,11th,no
Stephen,Goosson,Holiday,1938,Best Production Design,11th,no
Lionel,Banks,Holiday,1938,Best Production Design,11th,no
Hans,Dreier,If I Were King,1938,Best Production Design,11th,no
John,B. Goodman,If I Were King,1938,Best Production Design,11th,no
Jack,Otterson,Mad About Music,1938,Best Production Design,11th,no
Cedric,Gibbons,Marie Antoinette,1938,Best Production Design,11th,no
Charles,D. Hall,Merrily We Live,1938,Best Production Design,11th,no
Lyle,R. Wheeler,Gone with the Wind,1939,Best Production Design,12th,yes
Hans,Dreier,Beau Geste,1939,Best Production Design,12th,no
Robert,Odell,Beau Geste,1939,Best Production Design,12th,no
Charles,D. Hall,Captain Fury,1939,Best Production Design,12th,no
Jack,Otterson,First Love,1939,Best Production Design,12th,no
Martin,Obzina,First Love,1939,Best Production Design,12th,no
Van,Nest Polglase,Love Affair,1939,Best Production Design,12th,no
Alfred,Herman,Love Affair,1939,Best Production Design,12th,no
John,Victor Mackay,Man of Conquest,1939,Best Production Design,12th,no
Lionel,Banks,Mr. Smith Goes to Washington,1939,Best Production Design,12th,no
Anton,Grot,The Private Lives of Elizabeth and Essex,1939,Best Production Design,12th,no
William,S. Darling,The Rains Came,1939,Best Production Design,12th,no
George,Dudley,The Rains Came,1939,Best Production Design,12th,no
Alexander,Toluboff,Stagecoach,1939,Best Production Design,12th,no
Cedric,Gibbons,The Wizard of Oz,1939,Best Production Design,12th,no
William,A. Horning,The Wizard of Oz,1939,Best Production Design,12th,no
James,Basevi,Wuthering Heights,1939,Best Production Design,12th,no
Cedric,Gibbons,Pride and Prejudice,1940,Best Production Design,13th,yes
Paul,Groesse,Pride and Prejudice,1940,Best Production Design,13th,yes
Hans,Dreier,"Arise, My Love",1940,Best Production Design,13th,no
Robert,Usher,"Arise, My Love",1940,Best Production Design,13th,no
Lionel,Banks,Arizona,1940,Best Production Design,13th,no
Robert,Peterson,Arizona,1940,Best Production Design,13th,no
Jack,Otterson,The Boys from Syracuse,1940,Best Production Design,13th,no
John,Victor Mackay,Dark Command,1940,Best Production Design,13th,no
Alexander,Golitzen,Foreign Correspondent,1940,Best Production Design,13th,no
Richard,Day,Lillian Russell,1940,Best Production Design,13th,no
Joseph,C. Wright,Lillian Russell,1940,Best Production Design,13th,no
Van,Nest Polglase,My Favorite Wife,1940,Best Production Design,13th,no
Mark-Lee,Kirk,My Favorite Wife,1940,Best Production Design,13th,no
John,DuCasse Schulze,"My Son, My Son!",1940,Best Production Design,13th,no
Lewis,J. Rachmil,Our Town,1940,Best Production Design,13th,no
Lyle,R. Wheeler,Rebecca,1940,Best Production Design,13th,no
Anton,Grot,The Sea Hawk,1940,Best Production Design,13th,no
James,Basevi,The Westerner,1940,Best Production Design,13th,no
Vincent,Korda,The Thief of Bagdad,1940,Best Production Design,13th,yes
Cedric,Gibbons,Bitter Sweet,1940,Best Production Design,13th,no
John,S. Detlie,Bitter Sweet,1940,Best Production Design,13th,no
Richard,Day,Down Argentine Way,1940,Best Production Design,13th,no
Joseph,C. Wright,Down Argentine Way,1940,Best Production Design,13th,no
Hans,Dreier,North West Mounted Police,1940,Best Production Design,13th,no
Roland,Anderson,North West Mounted Police,1940,Best Production Design,13th,no
Richard,Day,How Green Was My Valley,1941,Best Production Design,14th,yes
Nathan,Juran,How Green Was My Valley,1941,Best Production Design,14th,yes
Thomas,Little,How Green Was My Valley,1941,Best Production Design,14th,yes
Perry,Ferguson,Citizen Kane,1941,Best Production Design,14th,no
Van,Nest Polglase,Citizen Kane,1941,Best Production Design,14th,no
A.,Roland Fields,Citizen Kane,1941,Best Production Design,14th,no
Darrell,Silvera,Citizen Kane,1941,Best Production Design,14th,no
Martin,Obzina,The Flame of New Orleans,1941,Best Production Design,14th,no
