firstName,lastName,movieTitle,releaseYear,iteration,categoryName,isWinner
Metro-Goldwyn-Mayer,Studio Sound Department,The Big House,1929,3rd,Best Sound,yes
Douglas,Shearer,The Big House,1929,3rd,Best Sound,yes
RKO,Radio Studio Sound Department,The Case of Sergeant Grischa,1929,3rd,Best Sound,no
John,Tribby,The Case of Sergeant Grischa,1929,3rd,Best Sound,no
Paramount,Famous Lasky Studio Sound Department,The Love Parade,1929,3rd,Best Sound,no
Franklin,B. Hansen,The Love Parade,1929,3rd,Best Sound,no
United,Artists Studio Sound Department,Raffles,1929,3rd,Best Sound,no
Oscar,Lagerstrom,Raffles,1929,3rd,Best Sound,no
First,National Studio Sound Department,Song of the Flame,1929,3rd,Best Sound,no
George,Groves,Song of the Flame,1929,3rd,Best Sound,no
Paramount,Studio Sound Department,A Farewell to Arms,1932,6th,Best Sound,yes
Franklin,B. Hansen,A Farewell to Arms,1932,6th,Best Sound,yes
Warner,Bros. Studio Sound Department,42nd Street,1932,6th,Best Sound,no
Nathan,Levinson,42nd Street,1932,6th,Best Sound,no
Warner,Bros. Studio Sound Department,Gold Diggers of 1933,1932,6th,Best Sound,no
Nathan,Levinson,Gold Diggers of 1933,1932,6th,Best Sound,no
Warner,Bros. Studio Sound Department,I Am a Fugitive from a Chain Gang,1932,6th,Best Sound,no
Nathan,Levinson,I Am a Fugitive from a Chain Gang,1932,6th,Best Sound,no
Columbia,Studio Sound Department,One Night of Love,1934,7th,Best Sound,yes
John,P. Livadary,One Night of Love,1934,7th,Best Sound,yes
United,Artists Studio Sound Department,The Affairs of Cellini,1934,7th,Best Sound,no
Thomas,T. Moulton,The Affairs of Cellini,1934,7th,Best Sound,no
Paramount,Studio Sound Department,Cleopatra,1934,7th,Best Sound,no
Franklin,B. Hansen,Cleopatra,1934,7th,Best Sound,no
Warner,Bros.,Flirtation Walk,1934,7th,Best Sound,no
First,National Studio Sound Department,Flirtation Walk,1934,7th,Best Sound,no
Nathan,Levinson,Flirtation Walk,1934,7th,Best Sound,no
RKO,Radio Studio Sound Department,The Gay Divorcee,1934,7th,Best Sound,no
Carl,Dreher,The Gay Divorcee,1934,7th,Best Sound,no
Universal,Studio Sound Department,Imitation of Life,1934,7th,Best Sound,no
Theodore,Soderberg,Imitation of Life,1934,7th,Best Sound,no
Metro-Goldwyn-Mayer,Studio Sound Department,Viva Villa!,1934,7th,Best Sound,no
Douglas,Shearer,Viva Villa!,1934,7th,Best Sound,no
20th,Century-Fox Studio Sound Department,The White Parade,1934,7th,Best Sound,no
Edmund,H. Hansen,The White Parade,1934,7th,Best Sound,no
Metro-Goldwyn-Mayer,Studio Sound Department,Naughty Marietta,1935,8th,Best Sound,yes
Douglas,Shearer,Naughty Marietta,1935,8th,Best Sound,yes
Republic,Studio Sound Department,"$1,000 a Minute",1935,8th,Best Sound,no
Universal,Studio Sound Department,Bride of Frankenstein,1935,8th,Best Sound,no
Gilbert,Kurland,Bride of Frankenstein,1935,8th,Best Sound,no
Warner,Bros.,Captain Blood,1935,8th,Best Sound,no
First,National Studio Sound Department,Captain Blood,1935,8th,Best Sound,no
Nathan,Levinson,Captain Blood,1935,8th,Best Sound,no
United,Artists Studio Sound Department,The Dark Angel,1935,8th,Best Sound,no
Thomas,T. Moulton,The Dark Angel,1935,8th,Best Sound,no
RKO,Radio Studio Sound Department,I Dream Too Much,1935,8th,Best Sound,no
Carl,Dreher,I Dream Too Much,1935,8th,Best Sound,no
Paramount,Studio Sound Department,The Lives of a Bengal Lancer,1935,8th,Best Sound,no
Franklin,B. Hansen,The Lives of a Bengal Lancer,1935,8th,Best Sound,no
Columbia,Studio Sound Department,Love Me Forever,1935,8th,Best Sound,no
John,P. Livadary,Love Me Forever,1935,8th,Best Sound,no
20th,Century-Fox Studio Sound Department,Thanks a Million,1935,8th,Best Sound,no
Edmund,H. Hansen,Thanks a Million,1935,8th,Best Sound,no
Metro-Goldwyn-Mayer,Studio Sound Department,San Francisco,1936,9th,Best Sound,yes
Douglas,Shearer,San Francisco,1936,9th,Best Sound,yes
20th,Century-Fox Studio Sound Department,Banjo on My Knee,1936,9th,Best Sound,no
Edmund,H. Hansen,Banjo on My Knee,1936,9th,Best Sound,no
Warner,Bros. Studio Sound Department,The Charge of the Light Brigade,1936,9th,Best Sound,no
Nathan,Levinson,The Charge of the Light Brigade,1936,9th,Best Sound,no
United,Artists Studio Sound Department,Dodsworth,1936,9th,Best Sound,no
Thomas,T. Moulton,Dodsworth,1936,9th,Best Sound,no
Hal,Roach Studio Sound Department,General Spanky,1936,9th,Best Sound,no
Elmer,A. Raguse,General Spanky,1936,9th,Best Sound,no
Columbia,Studio Sound Department,Mr. Deeds Goes to Town,1936,9th,Best Sound,no
John,P. Livadary,Mr. Deeds Goes to Town,1936,9th,Best Sound,no
Paramount,Studio Sound Department,The Texas Rangers,1936,9th,Best Sound,no
Franklin,B. Hansen,The Texas Rangers,1936,9th,Best Sound,no
RKO,Radio Studio Sound Department,That Girl from Paris,1936,9th,Best Sound,no
John,Aalberg,That Girl from Paris,1936,9th,Best Sound,no
Universal,Studio Sound Department,Three Smart Girls,1936,9th,Best Sound,no
Homer,G. Tasker,Three Smart Girls,1936,9th,Best Sound,no
United,Artists Studio Sound Department,The Hurricane,1937,10th,Best Sound,yes
Thomas,T. Moulton,The Hurricane,1937,10th,Best Sound,yes
Grand,National Studio Sound Department,The Girl Said No,1937,10th,Best Sound,no
A.,E. Kaye,The Girl Said No,1937,10th,Best Sound,no
RKO,Radio Studio Sound Department,Hitting a New High,1937,10th,Best Sound,no
John,O. Aalberg,Hitting a New High,1937,10th,Best Sound,no
20th,Century-Fox Studio Sound Department,In Old Chicago,1937,10th,Best Sound,no
Edmund,H. Hansen,In Old Chicago,1937,10th,Best Sound,no
Warner,Bros. Studio Sound Department,The Life of Emile Zola,1937,10th,Best Sound,no
Nathan,Levinson,The Life of Emile Zola,1937,10th,Best Sound,no
Columbia,Studio Sound Department,Lost Horizon,1937,10th,Best Sound,no
John,P. Livadary,Lost Horizon,1937,10th,Best Sound,no
Metro-Goldwyn-Mayer,Studio Sound Department,Maytime,1937,10th,Best Sound,no
Douglas,Shearer,Maytime,1937,10th,Best Sound,no
Universal,Studio Sound Department,One Hundred Men and a Girl,1937,10th,Best Sound,no
Homer,G. Tasker,One Hundred Men and a Girl,1937,10th,Best Sound,no
Hal,Roach Studio Sound Department,Topper,1937,10th,Best Sound,no
Elmer,A. Raguse,Topper,1937,10th,Best Sound,no
Paramount,Studio Sound Department,Wells Fargo,1937,10th,Best Sound,no
Loren,L. Ryder,Wells Fargo,1937,10th,Best Sound,no
United,Artists Studio Sound Department,The Cowboy and the Lady,1938,11th,Best Sound,yes
Thomas,T. Moulton,The Cowboy and the Lady,1938,11th,Best Sound,yes
Republic,Studio Sound Department,Army Girl,1938,11th,Best Sound,no
Charles,L. Lootens,Army Girl,1938,11th,Best Sound,no
Warner,Bros. Studio Sound Department,Four Daughters,1938,11th,Best Sound,no
Nathan,Levinson,Four Daughters,1938,11th,Best Sound,no
Paramount,Studio Sound Department,If I Were King,1938,11th,Best Sound,no
Loren,L. Ryder,If I Were King,1938,11th,Best Sound,no
Hal,Roach Studio Sound Department,Merrily We Live,1938,11th,Best Sound,no
Elmer,A. Raguse,Merrily We Live,1938,11th,Best Sound,no
20th,Century-Fox Studio Sound Department,Suez,1938,11th,Best Sound,no
Edmund,H. Hansen,Suez,1938,11th,Best Sound,no
Metro-Goldwyn-Mayer,Studio Sound Department,Sweethearts,1938,11th,Best Sound,no
Douglas,Shearer,Sweethearts,1938,11th,Best Sound,no
Universal,Studio Sound Department,That Certain Age,1938,11th,Best Sound,no
Bernard,B. Brown,That Certain Age,1938,11th,Best Sound,no
RKO,Radio Studio Sound Department,Vivacious Lady,1938,11th,Best Sound,no
John,O. Aalberg,Vivacious Lady,1938,11th,Best Sound,no
Columbia,Studio Sound Department,You Can't Take It with You,1938,11th,Best Sound,no
John,P. Livadary,You Can't Take It with You,1938,11th,Best Sound,no
Universal,Studio Sound Department,When Tomorrow Comes,1939,12th,Best Sound,yes
Bernard,B. Brown,When Tomorrow Comes,1939,12th,Best Sound,yes
Metro-Goldwyn-Mayer,Studio Sound Department,Balalaika,1939,12th,Best Sound,no
Douglas,Shearer,Balalaika,1939,12th,Best Sound,no
Samuel,Goldwyn Studio Sound Department,Gone with the Wind,1939,12th,Best Sound,no
Thomas,T. Moulton,Gone with the Wind,1939,12th,Best Sound,no
Denham,Studio Sound Department,"Goodbye, Mr. Chips",1939,12th,Best Sound,no
A.,W. Watkins,"Goodbye, Mr. Chips",1939,12th,Best Sound,no
Paramount,Studio Sound Department,The Great Victor Herbert,1939,12th,Best Sound,no
Loren,L. Ryder,The Great Victor Herbert,1939,12th,Best Sound,no
RKO,Radio Studio Sound Department,The Hunchback of Notre Dame,1939,12th,Best Sound,no
John,O. Aalberg,The Hunchback of Notre Dame,1939,12th,Best Sound,no
Republic,Studio Sound Department,Man of Conquest,1939,12th,Best Sound,no
Charles,L. Lootens,Man of Conquest,1939,12th,Best Sound,no
Columbia,Studio Sound Department,Mr. Smith Goes to Washington,1939,12th,Best Sound,no
John,P. Livadary,Mr. Smith Goes to Washington,1939,12th,Best Sound,no
Hal,Roach Studio Sound Department,Of Mice and Men,1939,12th,Best Sound,no
Elmer,A. Raguse,Of Mice and Men,1939,12th,Best Sound,no
Warner,Bros. Studio Sound Department,The Private Lives of Elizabeth and Essex,1939,12th,Best Sound,no
Nathan,Levinson,The Private Lives of Elizabeth and Essex,1939,12th,Best Sound,no
20th,Century-Fox Studio Sound Department,The Rains Came,1939,12th,Best Sound,no
Edmund,H. Hansen,The Rains Came,1939,12th,Best Sound,no
Metro-Goldwyn-Mayer,Studio Sound Department,Strike Up the Band,1940,13th,Best Sound,yes
Douglas,Shearer,Strike Up the Band,1940,13th,Best Sound,yes
Republic,Studio Sound Department,Behind the News,1940,13th,Best Sound,no
Charles,L. Lootens,Behind the News,1940,13th,Best Sound,no
Hal,Roach Studio Sound Department,Captain Caution,1940,13th,Best Sound,no
Elmer,A. Raguse,Captain Caution,1940,13th,Best Sound,no
20th,Century-Fox Studio Sound Department,The Grapes of Wrath,1940,13th,Best Sound,no
Edmund,H. Hansen,The Grapes of Wrath,1940,13th,Best Sound,no
General,Service Sound Department,The Howards of Virginia,1940,13th,Best Sound,no
Jack,Whitney,The Howards of Virginia,1940,13th,Best Sound,no
RKO,Radio Studio Sound Department,Kitty Foyle,1940,13th,Best Sound,no
John,Aalberg,Kitty Foyle,1940,13th,Best Sound,no
Paramount,Studio Sound Department,North West Mounted Police,1940,13th,Best Sound,no
Loren,L. Ryder,North West Mounted Police,1940,13th,Best Sound,no
Samuel,Goldwyn Studio Sound Department,Our Town,1940,13th,Best Sound,no
Thomas,T. Moulton,Our Town,1940,13th,Best Sound,no
Warner,Bros. Studio Sound Department,The Sea Hawk,1940,13th,Best Sound,no
Nathan,Levinson,The Sea Hawk,1940,13th,Best Sound,no
Universal,Studio Sound Department,Spring Parade,1940,13th,Best Sound,no
Bernard,B. Brown,Spring Parade,1940,13th,Best Sound,no
Columbia,Studio Sound Department,Too Many Husbands,1940,13th,Best Sound,no
John,P. Livadary,Too Many Husbands,1940,13th,Best Sound,no
General,Service Sound Department,That Hamilton Woman,1941,14th,Best Sound,yes
Jack,Whitney,That Hamilton Woman,1941,14th,Best Sound,yes
Universal,Studio Sound Department,Appointment for Love,1941,14th,Best Sound,no
Bernard,B. Brown,Appointment for Love,1941,14th,Best Sound,no
Samuel,Goldwyn Studio Sound Department,Ball of Fire,1941,14th,Best Sound,no
Thomas,T. Moulton,Ball of Fire,1941,14th,Best Sound,no
Metro-Goldwyn-Mayer,Studio Sound Department,The Chocolate Soldier,1941,14th,Best Sound,no
Douglas,Shearer,The Chocolate Soldier,1941,14th,Best Sound,no
RKO,Radio Studio Sound Department,Citizen Kane,1941,14th,Best Sound,no
John,O. Aalberg,Citizen Kane,1941,14th,Best Sound,no
Republic,Studio Sound Department,The Devil Pays Off,1941,14th,Best Sound,no
Charles,L. Lootens,The Devil Pays Off,1941,14th,Best Sound,no
20th,Century-Fox Studio Sound Department,How Green Was My Valley,1941,14th,Best Sound,no
Edmund,H. Hansen,How Green Was My Valley,1941,14th,Best Sound,no
Columbia,Studio Sound Department,The Men in Her Life,1941,14th,Best Sound,no
John,P. Livadary,The Men in Her Life,1941,14th,Best Sound,no
Warner,Bros. Studio Sound Department,Sergeant York,1941,14th,Best Sound,no
Nathan,Levinson,Sergeant York,1941,14th,Best Sound,no
Paramount,Studio Sound Department,Skylark,1941,14th,Best Sound,no
Loren,L. Ryder,Skylark,1941,14th,Best Sound,no
Hal,Roach Studio Sound Department,Topper Returns,1941,14th,Best Sound,no
Elmer,A. Raguse,Topper Returns,1941,14th,Best Sound,no
Warner,Bros. Studio Sound Department,Yankee Doodle Dandy,1942,15th,Best Sound,yes
Nathan,Levinson,Yankee Doodle Dandy,1942,15th,Best Sound,yes
Universal,Studio Sound Department,Arabian Nights,1942,15th,Best Sound,no
Bernard,B. Brown,Arabian Nights,1942,15th,Best Sound,no
Walt,Disney Studio Sound Department,Bambi,1942,15th,Best Sound,no
Sam,Slyfield,Bambi,1942,15th,Best Sound,no
Republic,Studio Sound Department,Flying Tigers,1942,15th,Best Sound,no
Daniel,J. Bloomberg,Flying Tigers,1942,15th,Best Sound,no
Sound,"Service, Inc.",Friendly Enemies,1942,15th,Best Sound,no
Jack,Whitney,Friendly Enemies,1942,15th,Best Sound,no
RCA,Sound,The Gold Rush,1942,15th,Best Sound,no
James,L. Fields,The Gold Rush,1942,15th,Best Sound,no
Metro-Goldwyn-Mayer,Studio Sound Department,Mrs. Miniver,1942,15th,Best Sound,no
Douglas,Shearer,Mrs. Miniver,1942,15th,Best Sound,no
RKO,Radio Studio Sound Department,Once Upon a Honeymoon,1942,15th,Best Sound,no
Steve,Dunn,Once Upon a Honeymoon,1942,15th,Best Sound,no
Samuel,Goldwyn Studio Sound Department,The Pride of the Yankees,1942,15th,Best Sound,no
Thomas,T. Moulton,The Pride of the Yankees,1942,15th,Best Sound,no
Paramount,Studio Sound Department,Road to Morocco,1942,15th,Best Sound,no
Loren,L. Ryder,Road to Morocco,1942,15th,Best Sound,no
20th,Century-Fox Studio Sound Department,This Above All,1942,15th,Best Sound,no
Edmund,H. Hansen,This Above All,1942,15th,Best Sound,no
Columbia,Studio Sound Department,You Were Never Lovelier,1942,15th,Best Sound,no
John,P. Livadary,You Were Never Lovelier,1942,15th,Best Sound,no
RKO,Radio Studio Sound Department,This Land Is Mine,1943,16th,Best Sound,yes
Steve,Dunn,This Land Is Mine,1943,16th,Best Sound,yes
Sound,"Service, Inc.",Hangmen Also Die!,1943,16th,Best Sound,no
Jack,Whitney,Hangmen Also Die!,1943,16th,Best Sound,no
Republic,Studio Sound Department,In Old Oklahoma,1943,16th,Best Sound,no
Daniel,J. Bloomberg,In Old Oklahoma,1943,16th,Best Sound,no
Metro-Goldwyn-Mayer,Studio Sound Department,Madame Curie,1943,16th,Best Sound,no
Douglas,Shearer,Madame Curie,1943,16th,Best Sound,no
Samuel,Goldwyn Studio Sound Department,The North Star,1943,16th,Best Sound,no
Thomas,T. Moulton,The North Star,1943,16th,Best Sound,no
Universal,Studio Sound Department,Phantom of the Opera,1943,16th,Best Sound,no
Bernard,B. Brown,Phantom of the Opera,1943,16th,Best Sound,no
Paramount,Studio Sound Department,Riding High,1943,16th,Best Sound,no
Loren,L. Ryder,Riding High,1943,16th,Best Sound,no
Columbia,Studio Sound Department,Sahara,1943,16th,Best Sound,no
John,P. Livadary,Sahara,1943,16th,Best Sound,no
Walt,Disney Studio Sound Department,Saludos Amigos,1943,16th,Best Sound,no
Sam,Slyfield,Saludos Amigos,1943,16th,Best Sound,no
RCA,Sound,So This Is Washington,1943,16th,Best Sound,no
James,L. Fields,So This Is Washington,1943,16th,Best Sound,no
20th,Century-Fox Studio Sound Department,The Song of Bernadette,1943,16th,Best Sound,no
Edmund,H. Hansen,The Song of Bernadette,1943,16th,Best Sound,no
Warner,Bros. Studio Sound Department,This Is the Army,1943,16th,Best Sound,no
Nathan,Levinson,This Is the Army,1943,16th,Best Sound,no
20th,Century-Fox Studio Sound Department,Wilson,1944,17th,Best Sound,yes
Edmund,H. Hansen,Wilson,1944,17th,Best Sound,yes
Republic,Studio Sound Department,Brazil,1944,17th,Best Sound,no
Daniel,J. Bloomberg,Brazil,1944,17th,Best Sound,no
Samuel,Goldwyn Studio Sound Department,Casanova Brown,1944,17th,Best Sound,no
Thomas,T. Moulton,Casanova Brown,1944,17th,Best Sound,no
Columbia,Studio Sound Department,Cover Girl,1944,17th,Best Sound,no
John,P. Livadary,Cover Girl,1944,17th,Best Sound,no
Paramount,Studio Sound Department,Double Indemnity,1944,17th,Best Sound,no
Loren,L. Ryder,Double Indemnity,1944,17th,Best Sound,no
Universal,Studio Sound Department,His Butler's Sister,1944,17th,Best Sound,no
Bernard,B. Brown,His Butler's Sister,1944,17th,Best Sound,no
Warner,Bros. Studio Sound Department,Hollywood Canteen,1944,17th,Best Sound,no
Nathan,Levinson,Hollywood Canteen,1944,17th,Best Sound,no
Sound,"Service, Inc.",It Happened Tomorrow,1944,17th,Best Sound,no
Jack,Whitney,It Happened Tomorrow,1944,17th,Best Sound,no
Metro-Goldwyn-Mayer,Studio Sound Department,Kismet,1944,17th,Best Sound,no
Douglas,Shearer,Kismet,1944,17th,Best Sound,no
RKO,Radio Studio Sound Department,Music in Manhattan,1944,17th,Best Sound,no
Steve,Dunn,Music in Manhattan,1944,17th,Best Sound,no
RCA,Sound,Voice in the Wind,1944,17th,Best Sound,no
Mac,Dalgleish,Voice in the Wind,1944,17th,Best Sound,no
RKO,Radio Studio Sound Department,The Bells of St. Mary's,1945,18th,Best Sound,yes
Steve,Dunn,The Bells of St. Mary's,1945,18th,Best Sound,yes
Republic,Studio Sound Department,Flame of Barbary Coast,1945,18th,Best Sound,no
Daniel,J. Bloomberg,Flame of Barbary Coast,1945,18th,Best Sound,no
Universal,Studio Sound Department,Lady on a Train,1945,18th,Best Sound,no
Bernard,B. Brown,Lady on a Train,1945,18th,Best Sound,no
20th,Century-Fox Studio Sound Department,Leave Her to Heaven,1945,18th,Best Sound,no
Thomas,T. Moulton,Leave Her to Heaven,1945,18th,Best Sound,no
Warner,Bros. Studio Sound Department,Rhapsody in Blue,1945,18th,Best Sound,no
Nathan,Levinson,Rhapsody in Blue,1945,18th,Best Sound,no
Columbia,Studio Sound Department,A Song to Remember,1945,18th,Best Sound,no
John,P. Livadary,A Song to Remember,1945,18th,Best Sound,no
General,Service Studios,The Southerner,1945,18th,Best Sound,no
Jack,Whitney,The Southerner,1945,18th,Best Sound,no
Metro-Goldwyn-Mayer,Studio Sound Department,They Were Expendable,1945,18th,Best Sound,no
Douglas,Shearer,They Were Expendable,1945,18th,Best Sound,no
Walt,Disney Studio Sound Department,The Three Caballeros,1945,18th,Best Sound,no
Sam,Slyfield,The Three Caballeros,1945,18th,Best Sound,no
RCA,Sound,Three Is a Family,1945,18th,Best Sound,no
W.,V. Wolfe,Three Is a Family,1945,18th,Best Sound,no
Paramount,Studio Sound Department,The Unseen,1945,18th,Best Sound,no
Loren,L. Ryder,The Unseen,1945,18th,Best Sound,no
Samuel,Goldwyn Studio Sound Department,Wonder Man,1945,18th,Best Sound,no
Gordon,E. Sawyer,Wonder Man,1945,18th,Best Sound,no
Columbia,Studio Sound Department,The Jolson Story,1946,19th,Best Sound,yes
John,P. Livadary,The Jolson Story,1946,19th,Best Sound,yes
Samuel,Goldwyn Studio Sound Department,The Best Years of Our Lives,1946,19th,Best Sound,no
Gordon,E. Sawyer,The Best Years of Our Lives,1946,19th,Best Sound,no
RKO,Radio Studio Sound Department,It's a Wonderful Life,1946,19th,Best Sound,no
