firstName,lastName,movieTitle,releaseYear
Walter,Brennan,Come and Get It,1936
Mischa,Auer,My Man Godfrey,1936
Stuart,Erwin,Pigskin Parade,1936
Basil,Rathbone,Romeo and Juliet,1936
Akim,Tamiroff,The General Died at Dawn,1936
Joseph,Schildkraut,The Life of Emile Zola,1937
Ralph,Bellamy,The Awful Truth,1937
Thomas,Mitchell,The Hurricane,1937
H.,B. Warner,Lost Horizon,1937
Roland,Young,Topper,1937
Walter,Brennan,Kentucky,1938
John,Garfield,Four Daughters,1938
Gene,Lockhart,Algiers,1938
Robert,Morley,Marie Antoinette,1938
Basil,Rathbone,If I Were King,1938
Thomas,Mitchell,Stagecoach,1939
Brian,Aherne,Juarez,1939
Harry,Carey Sr.,Mr. Smith Goes to Washington,1939
Brian,Donlevy,Beau Geste,1939
Claude,Rains,Mr. Smith Goes to Washington,1939
Walter,Brennan,The Westerner,1940
Albert,Bassermann,Foreign Correspondent,1940
William,Gargan,They Knew What They Wanted,1940
Jack,Oakie,The Great Dictator,1940
James,Stephenson,The Letter,1940
Donald,Crisp,How Green Was My Valley,1941
Walter,Brennan,Sergeant York,1941
Charles,Coburn,The Devil and Miss Jones,1941
James,Gleason,Here Comes Mr. Jordan,1941
Sydney,Greenstreet,The Maltese Falcon,1941
Van,Heflin,Johnny Eager,1942
William,Bendix,Wake Island,1942
Walter,Huston,Yankee Doodle Dandy,1942
Frank,Morgan,Tortilla Flat,1942
Henry,Travers,Mrs. Miniver,1942
Charles,Coburn,The More the Merrier,1943
Charles,Bickford,The Song of Bernadette,1943
J.,Carrol Naish,Sahara,1943
Claude,Rains,Casablanca,1943
Akim,Tamiroff,For Whom the Bell Tolls,1943
Barry,Fitzgerald,Going My Way,1944
Hume,Cronyn,The Seventh Cross,1944
Claude,Rains,Mr. Skeffington,1944
Clifton,Webb,Laura,1944
Monty,Woolley,Since You Went Away,1944
James,Dunn,A Tree Grows in Brooklyn,1945
Michael,Chekhov,Spellbound,1945
John,Dall,The Corn Is Green,1945
Robert,Mitchum,The Story of G.I. Joe,1945
J.,Carrol Naish,A Medal for Benny,1945
Harold,Russell,The Best Years of Our Lives,1946
Charles,Coburn,The Green Years,1946
William,Demarest,The Jolson Story,1946
Claude,Rains,Notorious,1946
Clifton,Webb,The Razor's Edge,1946
Edmund,Gwenn,Miracle on 34th Street,1947
Charles,Bickford,The Farmer's Daughter,1947
Thomas,Gomez,Ride the Pink Horse,1947
Robert,Ryan,Crossfire,1947
Richard,Widmark,Kiss of Death,1947
Walter,Huston,The Treasure of the Sierra Madre,1948
Charles,Bickford,Johnny Belinda,1948
José,Ferrer,Joan of Arc,1948
Oskar,Homolka,I Remember Mama,1948
Cecil,Kellaway,The Luck of the Irish,1948
Dean,Jagger,Twelve O'Clock High,1949
John,Ireland,All the King's Men,1949
Arthur,Kennedy,Champion,1949
Ralph,Richardson,The Heiress,1949
James,Whitmore,Battleground,1949
George,Sanders,All About Eve,1950
Jeff,Chandler,Broken Arrow,1950
Edmund,Gwenn,Mister 880,1950
Sam,Jaffe,The Asphalt Jungle,1950
Erich,von Stroheim,Sunset Boulevard,1950
Karl,Malden,A Streetcar Named Desire,1951
Leo,Genn,Quo Vadis,1951
Kevin,McCarthy,Death of a Salesman,1951
Peter,Ustinov,Quo Vadis,1951
Gig,Young,Come Fill the Cup,1951
Anthony,Quinn,Viva Zapata!,1952
Richard,Burton,My Cousin Rachel,1952
Arthur,Hunnicutt,The Big Sky,1952
Victor,McLaglen,The Quiet Man,1952
Jack,Palance,Sudden Fear,1952
Frank,Sinatra,From Here to Eternity,1953
Eddie,Albert,Roman Holiday,1953
Brandon,deWilde,Shane,1953
Robert,Strauss,Stalag 17,1953
Edmond,O'Brien,The Barefoot Contessa,1954
Lee,J. Cobb,On the Waterfront,1954
Tom,Tully,The Caine Mutiny,1954
Jack,Lemmon,Mister Roberts,1955
Arthur,Kennedy,Trial,1955
Joe,Mantell,Marty,1955
Sal,Mineo,Rebel Without a Cause,1955
Arthur,O'Connell,Picnic,1955
Anthony,Quinn,Lust for Life,1956
Don,Murray,Bus Stop,1956
Anthony,Perkins,Friendly Persuasion,1956
Mickey,Rooney,The Bold and the Brave,1956
Robert,Stack,Written on the Wind,1956
Red,Buttons,Sayonara,1957
Vittorio,De Sica,A Farewell to Arms,1957
Sessue,Hayakawa,The Bridge on the River Kwai,1957
Arthur,Kennedy,Peyton Place,1957
Burl,Ives,The Big Country,1958
Theodore,Bikel,The Defiant Ones,1958
Lee,J. Cobb,The Brothers Karamazov,1958
Arthur,Kennedy,Some Came Running,1958
Gig,Young,Teacher's Pet,1958
Hugh,Griffith,Ben-Hur,1959
Arthur,O'Connell,Anatomy of a Murder,1959
Robert,Vaughn,The Young Philadelphians,1959
Ed,Wynn,The Diary of Anne Frank,1959
Peter,Ustinov,Spartacus,1960
Peter,Falk,"Murder, Inc.",1960
Jack,Kruschen,The Apartment,1960
Sal,Mineo,Exodus,1960
Chill,Wills,The Alamo,1960
George,Chakiris,West Side Story,1961
Montgomery,Clift,Judgment at Nuremberg,1961
Peter,Falk,Pocketful of Miracles,1961
Jackie,Gleason,The Hustler,1961
Ed,Begley,Sweet Bird of Youth,1962
Victor,Buono,What Ever Happened to Baby Jane?,1962
Telly,Savalas,Birdman of Alcatraz,1962
Omar,Sharif,Lawrence of Arabia,1962
Terence,Stamp,Billy Budd,1962
Melvyn,Douglas,Hud,1963
Nick,Adams,Twilight of Honor,1963
Bobby,Darin,"Captain Newman, M.D.",1963
Hugh,Griffith,Tom Jones,1963
John,Huston,The Cardinal,1963
Peter,Ustinov,Topkapi,1964
John,Gielgud,Becket,1964
Stanley,Holloway,My Fair Lady,1964
Edmond,O'Brien,Seven Days in May,1964
Lee,Tracy,The Best Man,1964
Martin,Balsam,A Thousand Clowns,1965
Ian,Bannen,The Flight of the Phoenix,1965
Tom,Courtenay,Doctor Zhivago,1965
Michael,Dunn,Ship of Fools,1965
Frank,Finlay,Othello,1965
Walter,Matthau,The Fortune Cookie,1966
Mako,,The Sand Pebbles,1966
James,Mason,Georgy Girl,1966
George,Segal,Who's Afraid of Virginia Woolf?,1966
Robert,Shaw,A Man for All Seasons,1966
George,Kennedy,Cool Hand Luke,1967
John,Cassavetes,The Dirty Dozen,1967
Gene,Hackman,Bonnie and Clyde,1967
Cecil,Kellaway,Guess Who's Coming to Dinner,1967
Michael,J. Pollard,Bonnie and Clyde,1967
Jack,Albertson,The Subject Was Roses,1968
Seymour,Cassel,Faces,1968
Daniel,Massey,Star!,1968
Jack,Wild,Oliver!,1968
Gene,Wilder,The Producers,1968
Gig,Young,"They Shoot Horses, Don't They?",1969
Rupert,Crosse,The Reivers,1969
Elliott,Gould,Bob & Carol & Ted & Alice,1969
Jack,Nicholson,Easy Rider,1969
Anthony,Quayle,Anne of the Thousand Days,1969
John,Mills,Ryan's Daughter,1970
Richard,S. Castellano,Lovers and Other Strangers,1970
Chief,Dan George,Little Big Man,1970
Gene,Hackman,I Never Sang for My Father,1970
John,Marley,Love Story,1970
Ben,Johnson,The Last Picture Show,1971
Jeff,Bridges,The Last Picture Show,1971
Leonard,Frey,Fiddler on the Roof,1971
Richard,Jaeckel,Sometimes a Great Notion,1971
Roy,Scheider,The French Connection,1971
Joel,Grey,Cabaret,1972
Eddie,Albert,The Heartbreak Kid,1972
James,Caan,The Godfather,1972
John,Houseman,The Paper Chase,1973
Vincent,Gardenia,Bang the Drum Slowly,1973
Jack,Gilford,Save the Tiger,1973
Jason,Miller,The Exorcist,1973
Randy,Quaid,The Last Detail,1973
Robert,De Niro,The Godfather Part II,1974
Fred,Astaire,The Towering Inferno,1974
Jeff,Bridges,Thunderbolt and Lightfoot,1974
Michael,V. Gazzo,The Godfather Part II,1974
George,Burns,The Sunshine Boys,1975
Brad,Dourif,One Flew Over the Cuckoo's Nest,1975
Burgess,Meredith,The Day of the Locust,1975
Chris,Sarandon,Dog Day Afternoon,1975
Jack,Warden,Shampoo,1975
Jason,Robards,All the President's Men,1976
Ned,Beatty,Network,1976
Burgess,Meredith,Rocky,1976
Laurence,Olivier,Marathon Man,1976
Burt,Young,Rocky,1976
Jason,Robards,Julia,1977
Mikhail,Baryshnikov,The Turning Point,1977
Peter,Firth,Equus,1977
Alec,Guinness,Star Wars,1977
Maximilian,Schell,Julia,1977
Christopher,Walken,The Deer Hunter,1978
Bruce,Dern,Coming Home,1978
Richard,Farnsworth,Comes a Horseman,1978
John,Hurt,Midnight Express,1978
Jack,Warden,Heaven Can Wait,1978
Melvyn,Douglas,Being There,1979
Robert,Duvall,Apocalypse Now,1979
Frederic,Forrest,The Rose,1979
Justin,Henry,Kramer vs. Kramer,1979
Mickey,Rooney,The Black Stallion,1979
Timothy,Hutton,Ordinary People,1980
Judd,Hirsch,Ordinary People,1980
Michael,O'Keefe,The Great Santini,1980
Joe,Pesci,Raging Bull,1980
Jason,Robards,Melvin and Howard,1980
John,Gielgud,Arthur,1981
James,Coco,Only When I Laugh,1981
Ian,Holm,Chariots of Fire,1981
Jack,Nicholson,Reds,1981
Howard,Rollins,Ragtime,1981
Louis,Gossett Jr.,An Officer and a Gentleman,1982
Charles,Durning,The Best Little Whorehouse in Texas,1982
John,Lithgow,The World According to Garp,1982
James,Mason,The Verdict,1982
Robert,Preston,Victor/Victoria,1982
