firstName,lastName,movieTitle,releaseYear,categoryName,iteration,isWinner
Walter,Brennan,Come and Get It,1936,Best Actor in a Supporting Role,9th,yes
Mischa,Auer,My Man Godfrey,1936,Best Actor in a Supporting Role,9th,no
Stuart,Erwin,Pigskin Parade,1936,Best Actor in a Supporting Role,9th,no
Basil,Rathbone,Romeo and Juliet,1936,Best Actor in a Supporting Role,9th,no
Akim,Tamiroff,The General Died at Dawn,1936,Best Actor in a Supporting Role,9th,no
Joseph,Schildkraut,The Life of Emile Zola,1937,Best Actor in a Supporting Role,10th,yes
Ralph,Bellamy,The Awful Truth,1937,Best Actor in a Supporting Role,10th,no
Thomas,Mitchell,The Hurricane,1937,Best Actor in a Supporting Role,10th,no
H.,B. Warner,Lost Horizon,1937,Best Actor in a Supporting Role,10th,no
Roland,Young,Topper,1937,Best Actor in a Supporting Role,10th,no
Walter,Brennan,Kentucky,1938,Best Actor in a Supporting Role,11th,yes
John,Garfield,Four Daughters,1938,Best Actor in a Supporting Role,11th,no
Gene,Lockhart,Algiers,1938,Best Actor in a Supporting Role,11th,no
Robert,Morley,Marie Antoinette,1938,Best Actor in a Supporting Role,11th,no
Basil,Rathbone,If I Were King,1938,Best Actor in a Supporting Role,11th,no
Thomas,Mitchell,Stagecoach,1939,Best Actor in a Supporting Role,12th,yes
Brian,Aherne,Juarez,1939,Best Actor in a Supporting Role,12th,no
Harry,Carey Sr.,Mr. Smith Goes to Washington,1939,Best Actor in a Supporting Role,12th,no
Brian,Donlevy,Beau Geste,1939,Best Actor in a Supporting Role,12th,no
Claude,Rains,Mr. Smith Goes to Washington,1939,Best Actor in a Supporting Role,12th,no
Walter,Brennan,The Westerner,1940,Best Actor in a Supporting Role,13th,yes
Albert,Bassermann,Foreign Correspondent,1940,Best Actor in a Supporting Role,13th,no
William,Gargan,They Knew What They Wanted,1940,Best Actor in a Supporting Role,13th,no
Jack,Oakie,The Great Dictator,1940,Best Actor in a Supporting Role,13th,no
James,Stephenson,The Letter,1940,Best Actor in a Supporting Role,13th,no
Donald,Crisp,How Green Was My Valley,1941,Best Actor in a Supporting Role,14th,yes
Walter,Brennan,Sergeant York,1941,Best Actor in a Supporting Role,14th,no
Charles,Coburn,The Devil and Miss Jones,1941,Best Actor in a Supporting Role,14th,no
James,Gleason,Here Comes Mr. Jordan,1941,Best Actor in a Supporting Role,14th,no
Sydney,Greenstreet,The Maltese Falcon,1941,Best Actor in a Supporting Role,14th,no
Van,Heflin,Johnny Eager,1942,Best Actor in a Supporting Role,15th,yes
William,Bendix,Wake Island,1942,Best Actor in a Supporting Role,15th,no
Walter,Huston,Yankee Doodle Dandy,1942,Best Actor in a Supporting Role,15th,no
Frank,Morgan,Tortilla Flat,1942,Best Actor in a Supporting Role,15th,no
Henry,Travers,Mrs. Miniver,1942,Best Actor in a Supporting Role,15th,no
Charles,Coburn,The More the Merrier,1943,Best Actor in a Supporting Role,16th,yes
Charles,Bickford,The Song of Bernadette,1943,Best Actor in a Supporting Role,16th,no
J.,Carrol Naish,Sahara,1943,Best Actor in a Supporting Role,16th,no
Claude,Rains,Casablanca,1943,Best Actor in a Supporting Role,16th,no
Akim,Tamiroff,For Whom the Bell Tolls,1943,Best Actor in a Supporting Role,16th,no
Barry,Fitzgerald,Going My Way,1944,Best Actor in a Supporting Role,17th,yes
Hume,Cronyn,The Seventh Cross,1944,Best Actor in a Supporting Role,17th,no
Claude,Rains,Mr. Skeffington,1944,Best Actor in a Supporting Role,17th,no
Clifton,Webb,Laura,1944,Best Actor in a Supporting Role,17th,no
Monty,Woolley,Since You Went Away,1944,Best Actor in a Supporting Role,17th,no
James,Dunn,A Tree Grows in Brooklyn,1945,Best Actor in a Supporting Role,18th,yes
Michael,Chekhov,Spellbound,1945,Best Actor in a Supporting Role,18th,no
John,Dall,The Corn Is Green,1945,Best Actor in a Supporting Role,18th,no
Robert,Mitchum,The Story of G.I. Joe,1945,Best Actor in a Supporting Role,18th,no
J.,Carrol Naish,A Medal for Benny,1945,Best Actor in a Supporting Role,18th,no
Harold,Russell,The Best Years of Our Lives,1946,Best Actor in a Supporting Role,19th,yes
Charles,Coburn,The Green Years,1946,Best Actor in a Supporting Role,19th,no
William,Demarest,The Jolson Story,1946,Best Actor in a Supporting Role,19th,no
Claude,Rains,Notorious,1946,Best Actor in a Supporting Role,19th,no
Clifton,Webb,The Razor's Edge,1946,Best Actor in a Supporting Role,19th,no
Edmund,Gwenn,Miracle on 34th Street,1947,Best Actor in a Supporting Role,20th,yes
Charles,Bickford,The Farmer's Daughter,1947,Best Actor in a Supporting Role,20th,no
Thomas,Gomez,Ride the Pink Horse,1947,Best Actor in a Supporting Role,20th,no
Robert,Ryan,Crossfire,1947,Best Actor in a Supporting Role,20th,no
Richard,Widmark,Kiss of Death,1947,Best Actor in a Supporting Role,20th,no
Walter,Huston,The Treasure of the Sierra Madre,1948,Best Actor in a Supporting Role,21st,yes
Charles,Bickford,Johnny Belinda,1948,Best Actor in a Supporting Role,21st,no
José,Ferrer,Joan of Arc,1948,Best Actor in a Supporting Role,21st,no
Oskar,Homolka,I Remember Mama,1948,Best Actor in a Supporting Role,21st,no
Cecil,Kellaway,The Luck of the Irish,1948,Best Actor in a Supporting Role,21st,no
Dean,Jagger,Twelve O'Clock High,1949,Best Actor in a Supporting Role,22nd,yes
John,Ireland,All the King's Men,1949,Best Actor in a Supporting Role,22nd,no
Arthur,Kennedy,Champion,1949,Best Actor in a Supporting Role,22nd,no
Ralph,Richardson,The Heiress,1949,Best Actor in a Supporting Role,22nd,no
James,Whitmore,Battleground,1949,Best Actor in a Supporting Role,22nd,no
George,Sanders,All About Eve,1950,Best Actor in a Supporting Role,23rd,yes
Jeff,Chandler,Broken Arrow,1950,Best Actor in a Supporting Role,23rd,no
Edmund,Gwenn,Mister 880,1950,Best Actor in a Supporting Role,23rd,no
Sam,Jaffe,The Asphalt Jungle,1950,Best Actor in a Supporting Role,23rd,no
Erich,von Stroheim,Sunset Boulevard,1950,Best Actor in a Supporting Role,23rd,no
Karl,Malden,A Streetcar Named Desire,1951,Best Actor in a Supporting Role,24th,yes
Leo,Genn,Quo Vadis,1951,Best Actor in a Supporting Role,24th,no
Kevin,McCarthy,Death of a Salesman,1951,Best Actor in a Supporting Role,24th,no
Peter,Ustinov,Quo Vadis,1951,Best Actor in a Supporting Role,24th,no
Gig,Young,Come Fill the Cup,1951,Best Actor in a Supporting Role,24th,no
Anthony,Quinn,Viva Zapata!,1952,Best Actor in a Supporting Role,25th,yes
Richard,Burton,My Cousin Rachel,1952,Best Actor in a Supporting Role,25th,no
Arthur,Hunnicutt,The Big Sky,1952,Best Actor in a Supporting Role,25th,no
Victor,McLaglen,The Quiet Man,1952,Best Actor in a Supporting Role,25th,no
Jack,Palance,Sudden Fear,1952,Best Actor in a Supporting Role,25th,no
Frank,Sinatra,From Here to Eternity,1953,Best Actor in a Supporting Role,26th,yes
Eddie,Albert,Roman Holiday,1953,Best Actor in a Supporting Role,26th,no
