firstName,lastName,movieTitle,releaseYear
Gale,Sondergaard,Anthony Adverse,1936
Beulah,Bondi,The Gorgeous Hussy,1936
Alice,Brady,My Man Godfrey,1936
Bonita,Granville,These Three,1936
Maria,Ouspenskaya,Dodsworth,1936
Alice,Brady,In Old Chicago,1937
Andrea,Leeds,Stage Door,1937
Anne,Shirley,Stella Dallas,1937
Claire,Trevor,Dead End,1937
May,Whitty,Night Must Fall,1937
Fay,Bainter,Jezebel,1938
Beulah,Bondi,Of Human Hearts,1938
Billie,Burke,Merrily We Live,1938
Spring,Byington,You Can't Take It with You,1938
Miliza,Korjus,The Great Waltz,1938
Hattie,McDaniel,Gone with the Wind,1939
Olivia,de Havilland,Gone with the Wind,1939
Geraldine,Fitzgerald,Wuthering Heights,1939
Edna,May Oliver,Drums Along the Mohawk,1939
Maria,Ouspenskaya,Love Affair,1939
Jane,Darwell,The Grapes of Wrath,1940
Judith,Anderson,Rebecca,1940
Ruth,Hussey,The Philadelphia Story,1940
Barbara,O'Neil,"All This, and Heaven Too",1940
Marjorie,Rambeau,Primrose Path,1940
Mary,Astor,The Great Lie,1941
Sara,Allgood,How Green Was My Valley,1941
Patricia,Collinge,The Little Foxes,1941
Margaret,Wycherly,Sergeant York,1941
Teresa,Wright,Mrs. Miniver,1942
Gladys,Cooper,"Now, Voyager",1942
Agnes,Moorehead,The Magnificent Ambersons,1942
Susan,Peters,Random Harvest,1942
May,Whitty,Mrs. Miniver,1942
Katina,Paxinou,For Whom the Bell Tolls,1943
Gladys,Cooper,The Song of Bernadette,1943
Paulette,Goddard,So Proudly We Hail!,1943
Anne,Revere,The Song of Bernadette,1943
Lucile,Watson,Watch on the Rhine,1943
Ethel,Barrymore,None but the Lonely Heart,1944
Jennifer,Jones,Since You Went Away,1944
Angela,Lansbury,Gaslight,1944
Aline,MacMahon,Dragon Seed,1944
Agnes,Moorehead,Mrs. Parkington,1944
Anne,Revere,National Velvet,1945
Eve,Arden,Mildred Pierce,1945
Angela,Lansbury,The Picture of Dorian Gray,1945
Joan,Lorring,The Corn Is Green,1945
Anne,Baxter,The Razor's Edge,1946
Ethel,Barrymore,The Spiral Staircase,1946
Lillian,Gish,Duel in the Sun,1946
Flora,Robson,Saratoga Trunk,1946
Gale,Sondergaard,Anna and the King of Siam,1946
Celeste,Holm,Gentleman's Agreement,1947
Ethel,Barrymore,The Paradine Case,1947
Gloria,Grahame,Crossfire,1947
Marjorie,Main,The Egg and I,1947
Anne,Revere,Gentleman's Agreement,1947
Claire,Trevor,Key Largo,1948
Barbara,Bel Geddes,I Remember Mama,1948
Agnes,Moorehead,Johnny Belinda,1948
Jean,Simmons,Hamlet,1948
Mercedes,McCambridge,All the King's Men,1949
Ethel,Barrymore,Pinky,1949
Celeste,Holm,Come to the Stable,1949
Ethel,Waters,Pinky,1949
Josephine,Hull,Harvey,1950
Hope,Emerson,Caged,1950
Celeste,Holm,All About Eve,1950
Nancy,Olson,Sunset Boulevard,1950
Thelma,Ritter,All About Eve,1950
Kim,Hunter,A Streetcar Named Desire,1951
Joan,Blondell,The Blue Veil,1951
Mildred,Dunnock,Death of a Salesman,1951
Lee,Grant,Detective Story,1951
Thelma,Ritter,The Mating Season,1951
Gloria,Grahame,The Bad and the Beautiful,1952
Jean,Hagen,Singin' in the Rain,1952
Colette,Marchand,Moulin Rouge,1952
Terry,Moore,"Come Back, Little Sheba",1952
Thelma,Ritter,With a Song in My Heart,1952
Donna,Reed,From Here to Eternity,1953
Grace,Kelly,Mogambo,1953
Geraldine,Page,Hondo,1953
Marjorie,Rambeau,Torch Song,1953
Thelma,Ritter,Pickup on South Street,1953
