firstName,lastName,movieTitle,releaseYear,categoryName,iteration,isWinner
Gale,Sondergaard,Anthony Adverse,1936,Best Actress in a Supporting Role,9th,yes
Beulah,Bondi,The Gorgeous Hussy,1936,Best Actress in a Supporting Role,9th,no
Alice,Brady,My Man Godfrey,1936,Best Actress in a Supporting Role,9th,no
Bonita,Granville,These Three,1936,Best Actress in a Supporting Role,9th,no
Maria,Ouspenskaya,Dodsworth,1936,Best Actress in a Supporting Role,9th,no
Alice,Brady,In Old Chicago,1937,Best Actress in a Supporting Role,10th,yes
Andrea,Leeds,Stage Door,1937,Best Actress in a Supporting Role,10th,no
Anne,Shirley,Stella Dallas,1937,Best Actress in a Supporting Role,10th,no
Claire,Trevor,Dead End,1937,Best Actress in a Supporting Role,10th,no
May,Whitty,Night Must Fall,1937,Best Actress in a Supporting Role,10th,no
Fay,Bainter,Jezebel,1938,Best Actress in a Supporting Role,11th,yes
Beulah,Bondi,Of Human Hearts,1938,Best Actress in a Supporting Role,11th,no
Billie,Burke,Merrily We Live,1938,Best Actress in a Supporting Role,11th,no
Spring,Byington,You Can't Take It with You,1938,Best Actress in a Supporting Role,11th,no
Miliza,Korjus,The Great Waltz,1938,Best Actress in a Supporting Role,11th,no
Hattie,McDaniel,Gone with the Wind,1939,Best Actress in a Supporting Role,12th,yes
Olivia,de Havilland,Gone with the Wind,1939,Best Actress in a Supporting Role,12th,no
Geraldine,Fitzgerald,Wuthering Heights,1939,Best Actress in a Supporting Role,12th,no
Edna,May Oliver,Drums Along the Mohawk,1939,Best Actress in a Supporting Role,12th,no
Maria,Ouspenskaya,Love Affair,1939,Best Actress in a Supporting Role,12th,no
Jane,Darwell,The Grapes of Wrath,1940,Best Actress in a Supporting Role,13th,yes
Judith,Anderson,Rebecca,1940,Best Actress in a Supporting Role,13th,no
Ruth,Hussey,The Philadelphia Story,1940,Best Actress in a Supporting Role,13th,no
Barbara,O'Neil,"All This, and Heaven Too",1940,Best Actress in a Supporting Role,13th,no
Marjorie,Rambeau,Primrose Path,1940,Best Actress in a Supporting Role,13th,no
Mary,Astor,The Great Lie,1941,Best Actress in a Supporting Role,14th,yes
