firstName,lastName,movieTitle,releaseYear,categoryName,iteration,isWinner
Roy,Pomeroy,Wings,1927,Best Visual Effects,1st,yes
Gordon,Jennings,Spawn of the North,1938,Best Visual Effects,11th,yes
Jan,Domela,Spawn of the North,1938,Best Visual Effects,11th,yes
Farciot,Edouart,Spawn of the North,1938,Best Visual Effects,11th,yes
Loyal,Griggs,Spawn of the North,1938,Best Visual Effects,11th,yes
Loren,Ryder,Spawn of the North,1938,Best Visual Effects,11th,yes
Louis,Mesenkop,Spawn of the North,1938,Best Visual Effects,11th,yes
Fred,Sersen,The Rains Came,1939,Best Visual Effects,12th,yes
E.,H. Hansen,The Rains Came,1939,Best Visual Effects,12th,yes
Jack,Cosgrove,Gone with the Wind,1939,Best Visual Effects,12th,no
Fred,Albin,Gone with the Wind,1939,Best Visual Effects,12th,no
Arthur,Johns,Gone with the Wind,1939,Best Visual Effects,12th,no
Roy,Davidson,Only Angels Have Wings,1939,Best Visual Effects,12th,no
Edwin,C. Hahn,Only Angels Have Wings,1939,Best Visual Effects,12th,no
Byron,Haskin,The Private Lives of Elizabeth and Essex,1939,Best Visual Effects,12th,no
Nathan,Levinson,The Private Lives of Elizabeth and Essex,1939,Best Visual Effects,12th,no
Roy,Seawright,Topper Takes a Trip,1939,Best Visual Effects,12th,no
Farciot,Edouart,Union Pacific,1939,Best Visual Effects,12th,no
Gordon,Jennings,Union Pacific,1939,Best Visual Effects,12th,no
Loren,Ryder,Union Pacific,1939,Best Visual Effects,12th,no
A.,Arnold Gillespie,The Wizard of Oz,1939,Best Visual Effects,12th,no
Douglas,Shearer,The Wizard of Oz,1939,Best Visual Effects,12th,no
Lawrence,Butler,The Thief of Bagdad,1940,Best Visual Effects,13th,yes
Jack,Whitney,The Thief of Bagdad,1940,Best Visual Effects,13th,yes
Fred,Sersen,The Blue Bird,1940,Best Visual Effects,13th,no
E.,H. Hansen,The Blue Bird,1940,Best Visual Effects,13th,no
A.,Arnold Gillespie,Boom Town,1940,Best Visual Effects,13th,no
Douglas,Shearer,Boom Town,1940,Best Visual Effects,13th,no
John,P. Fulton,The Boys from Syracuse,1940,Best Visual Effects,13th,no
Bernard,B. Brown,The Boys from Syracuse,1940,Best Visual Effects,13th,no
Joseph,Lapis,The Boys from Syracuse,1940,Best Visual Effects,13th,no
Gordon,Jennings,Dr. Cyclops,1940,Best Visual Effects,13th,no
Farciot,Edouart,Dr. Cyclops,1940,Best Visual Effects,13th,no
Paul,Eagler,Foreign Correspondent,1940,Best Visual Effects,13th,no
Thomas,T. Moulton,Foreign Correspondent,1940,Best Visual Effects,13th,no
John,P. Fulton,The Invisible Man Returns,1940,Best Visual Effects,13th,no
Bernard,B. Brown,The Invisible Man Returns,1940,Best Visual Effects,13th,no
William,Hedgcock,The Invisible Man Returns,1940,Best Visual Effects,13th,no
R.,T. Layton,The Long Voyage Home,1940,Best Visual Effects,13th,no
R.,O. Binger,The Long Voyage Home,1940,Best Visual Effects,13th,no
Thomas,T. Moulton,The Long Voyage Home,1940,Best Visual Effects,13th,no
Roy,Seawright,One Million B.C.,1940,Best Visual Effects,13th,no
Elmer,Raguse,One Million B.C.,1940,Best Visual Effects,13th,no
Jack,Cosgrove,Rebecca,1940,Best Visual Effects,13th,no
Arthur,Johns,Rebecca,1940,Best Visual Effects,13th,no
Byron,Haskin,The Sea Hawk,1940,Best Visual Effects,13th,no
Nathan,Levinson,The Sea Hawk,1940,Best Visual Effects,13th,no
Vernon,L. Walker,Swiss Family Robinson,1940,Best Visual Effects,13th,no
John,O. Aalberg,Swiss Family Robinson,1940,Best Visual Effects,13th,no
Farciot,Edouart,Typhoon,1940,Best Visual Effects,13th,no
Gordon,Jennings,Typhoon,1940,Best Visual Effects,13th,no
Loren,Ryder,Typhoon,1940,Best Visual Effects,13th,no
Howard,J. Lydecker,Women in War,1940,Best Visual Effects,13th,no
William,Bradford,Women in War,1940,Best Visual Effects,13th,no
