movieTitle,releaseYear,language,runtime,budget,boxOffice
Wings,1927,Silent,144.0,2000000.0,3800000.0
7th Heaven,1927,Silent,110.0,1300000.0,2500000.0
Sunrise: A Song of Two Humans,1927,,95.0,,818000.0
The Last Command,1928,,85.0,,
Street Angel,1928,,102.0,,1700000.0
Tempest,1928,,111.0,1200000.0,
The Dove,1927,Silent,90.0,,
The Way of All Flesh,1927,Silent,9.0,,
Two Arabian Knights,1927,Silent,92.0,,
Underworld,1927,Silent,80.0,,
Sadie Thompson,1928,,91.0,650000.0,1000000.0
The Crowd,1928,Silent,98.0,,
A Ship Comes In,1928,,70.0,,
Chang: A Drama of the Wilderness,1927,,64.0,,
Glorious Betsy,1928,,80.0,198000.0,965000.0
Sorrell and Son,1927,Silent,10.0,,
Speedy,1928,,86.0,,
The Devil Dancer,1927,Silent,73.0,,
The Jazz Singer,1927,Silent,89.0,422000.0,2600000.0
The Magic Flame,1927,Silent,9.0,,
The Noose,1928,Silent,8.0,,
The Patent Leather Kid,1927,Silent,130.0,850000.0,1200000.0
The Private Life of Helen of Troy,1927,Silent,87.0,,
The Racket,1928,Silent,84.0,,
The Circus,1928,,70.0,,3800000.0
The Broadway Melody,1929,Silent,100.0,379000.0,4400000.0
In Old Arizona,1928,Silent,95.0,,1300000.0
The Patriot,1928,,113.0,1000000.0,
The Divine Lady,1929,,99.0,,
Coquette,1929,Silent,76.0,,1500000.0
The Bridge of San Luis Rey,1929,,86.0,,
White Shadows in the South Seas,1928,,89.0,365000.0,1600000.0
Alibi,1929,English,90.0,,
Madame X,1929,English,95.0,,
Our Dancing Daughters,1928,,85.0,178000.0,1099000.0
The Valiant,1929,English,66.0,,
4 Devils,1928,,100.0,,
A Woman of Affairs,1928,,91.0,328687.77,1370000.0
Drag,1929,English,85.0,,
Dynamite,1929,English,129.0,,
Sal of Singapore,1928,,70.0,,
Skyscraper,1928,Silent,68.0,,
The Awakening,1928,,90.0,,
The Barker,1928,,87.0,,
The Cop,1928,Silent,77.0,,
The Hollywood Revue,1929,English,130.0,426000.0,2421000.0
The Last of Mrs. Cheyney,1929,English,94.0,,
The Leatherneck,1929,,65.0,,
The Letter,1929,English,60.0,,8900000.0
Thunderbolt,1929,English,91.0,,
Weary River,1929,,86.0,,
Wonder of Women,1929,,95.0,,
All Quiet on the Western Front,1930,English,152.0,1200000.0,3000000.0
The Big House,1930,English,87.0,414000.0,1715000.0
The Divorcee,1930,English,84.0,,
Disraeli,1929,English,90.0,318000.0,1498000.0
King of Jazz,1930,English,105.0,2000000.0,
With Byrd at the South Pole,1930,,82.0,,
The Love Parade,1929,English,107.0,,
Anna Christie,1930,English,89.0,376000.0,1499000.0
Bulldog Drummond,1929,English,90.0,,
Romance,1930,English,76.0,,
Condemned,1929,English,86.0,600000.0,
Hallelujah,1929,English,109.0,,
Hell's Angels,1930,English,131.0,2800000.0,2500000.0
Raffles,1930,English,72.0,,
Sally,1929,English,103.0,647000.0,2198000.0
Sarah and Son,1930,English,86.0,,
Song of the Flame,1930,English,70.0,,
Street of Chance,1930,English,76.0,,
The Big Pond,1930,,78.0,,
The Case of Sergeant Grischa,1930,English,82.0,467000.0,456000.0
The Devil's Holiday,1930,English,80.0,,
The Green Goddess,1930,English,73.0,,
The Rogue Song,1930,English,103.0,646000.0,1610000.0
The Trespasser,1929,English,90.0,,
The Vagabond King,1930,English,104.0,1250000.0,
Their Own Desire,1929,English,65.0,,
Cimarron,1931,English,124.0,1433000.0,1383000.0
Skippy,1931,English,85.0,,
A Free Soul,1931,English,91.0,529000.0,1400000.0
Min and Bill,1930,English,66.0,,2000000.0
Tabu: A Story of the South Seas,1931,,84.0,150000.0,472000.0
The Dawn Patrol,1930,English,90.0,729000.0,1624000.0
Morocco,1930,,91.0,491299.36,
The Front Page,1931,English,101.0,,700000.0
Holiday,1930,English,98.0,,
Svengali,1931,,81.0,,
East Lynne,1931,English,102.0,,
Just Imagine,1930,English,109.0,1100000.0,
Laughter,1930,English,85.0,,
Little Caesar,1931,English,79.0,281000.0,752000.0
Smart Money,1931,English,81.0,,
The Criminal Code,1931,English,96.0,,
The Doorway to Hell,1930,English,78.0,240000.0,688000.0
The Public Enemy,1931,English,83.0,151000.0,557000.0
The Right to Love,1930,English,79.0,,
The Royal Family of Broadway,1930,English,82.0,,
Trader Horn,1931,English,122.0,1300000.0,4200000.0
Whoopee!,1930,English,101.0,1900000.0,2655000.0
Grand Hotel,1932,English,112.0,750000.0,2594000.0
The Champ,1931,English,87.0,356000.0,1600000.0
Bad Girl,1931,English,90.0,100000.0,1100000.0
Dr. Jekyll and Mr. Hyde,1931,English,96.0,535000.0,1250000.0
Shanghai Express,1932,English,80.0,,1500000.0
Flowers and Trees,1932,English,8.0,,
The Music Box,1932,English,29.0,,
The Sin of Madelon Claudet,1931,English,75.0,,
Transatlantic,1931,English,78.0,,
Wrestling Swordfish,1931,English,8.0,,
Arrowsmith,1931,English,108.0,,1250000.0
The Guardsman,1931,English,89.0,374000.0,
À Nous la Liberté,1931,French,104.0,,
Emma,1932,English,72.0,350000.0,1972000.0
Five Star Final,1931,English,89.0,310000.0,822000.0
It's Got Me Again!,1932,English,7.0,,
Lady and Gent,1932,English,84.0,,
Mickey's Orphans,1931,English,7.0,,
One Hour with You,1932,English,80.0,,
Scratch-As-Catch-Can,1932,English,19.0,,
Screen Souvenirs,1932,English,,,
Swing High,1932,English,10.0,,
The Loud Mouth,1932,English,20.0,,
The Smiling Lieutenant,1931,English,89.0,,
The Star Witness,1931,English,68.0,,
What Price Hollywood?,1932,English,88.0,416000.0,571000.0
Stout Hearts and Willing Hands,1931,English,20.0,,
Cavalcade,1933,English,112.0,1180280.0,1004000.0
A Farewell to Arms,1932,English,88.0,900000.0,1000000.0
