firstName,lastName,movieTitle,releaseYear,iteration,categoryName,isWinner
Emil,Jannings,The Last Command,1928,1st,Best Actor in a Leading Role,yes
Emil,Jannings,The Way of All Flesh,1927,1st,Best Actor in a Leading Role,yes
Richard,Barthelmess,The Noose,1928,1st,Best Actor in a Leading Role,no
Charlie,Chaplin,The Circus,1928,1st,Best Actor in a Leading Role,no
Warner,Baxter,In Old Arizona,1928,2nd,Best Actor in a Leading Role,yes
George,Bancroft,Thunderbolt,1929,2nd,Best Actor in a Leading Role,no
Chester,Morris,Alibi,1929,2nd,Best Actor in a Leading Role,no
Paul,Muni,The Valiant,1929,2nd,Best Actor in a Leading Role,no
Lewis,Stone,The Patriot,1928,2nd,Best Actor in a Leading Role,no
George,Arliss,Disraeli,1929,3rd,Best Actor in a Leading Role,yes
Wallace,Beery,The Big House,1930,3rd,Best Actor in a Leading Role,no
Maurice,Chevalier,The Big Pond,1930,3rd,Best Actor in a Leading Role,no
Ronald,Colman,Bulldog Drummond,1929,3rd,Best Actor in a Leading Role,no
Lawrence,Tibbett,The Rogue Song,1930,3rd,Best Actor in a Leading Role,no
Lionel,Barrymore,A Free Soul,1931,4th,Best Actor in a Leading Role,yes
Jackie,Cooper,Skippy,1931,4th,Best Actor in a Leading Role,no
Richard,Dix,Cimarron,1931,4th,Best Actor in a Leading Role,no
Fredric,March,The Royal Family of Broadway,1930,4th,Best Actor in a Leading Role,no
Adolphe,Menjou,The Front Page,1931,4th,Best Actor in a Leading Role,no
Wallace,Beery,The Champ,1931,5th,Best Actor in a Leading Role,yes
Fredric,March,Dr. Jekyll and Mr. Hyde,1931,5th,Best Actor in a Leading Role,yes
Alfred,Lunt,The Guardsman,1931,5th,Best Actor in a Leading Role,no
Charles,Laughton,The Private Life of Henry VIII,1933,6th,Best Actor in a Leading Role,yes
Leslie,Howard,Berkeley Square,1933,6th,Best Actor in a Leading Role,no
Paul,Muni,I Am a Fugitive from a Chain Gang,1932,6th,Best Actor in a Leading Role,no
Clark,Gable,It Happened One Night,1934,7th,Best Actor in a Leading Role,yes
Frank,Morgan,The Affairs of Cellini,1934,7th,Best Actor in a Leading Role,no
William,Powell,The Thin Man,1934,7th,Best Actor in a Leading Role,no
Victor,McLaglen,The Informer,1935,8th,Best Actor in a Leading Role,yes
Clark,Gable,Mutiny on the Bounty,1935,8th,Best Actor in a Leading Role,no
Paul,Muni,Black Fury,1935,8th,Best Actor in a Leading Role,no
Franchot,Tone,Mutiny on the Bounty,1935,8th,Best Actor in a Leading Role,no
Paul,Muni,The Story of Louis Pasteur,1936,9th,Best Actor in a Leading Role,yes
Gary,Cooper,Mr. Deeds Goes to Town,1936,9th,Best Actor in a Leading Role,no
Walter,Huston,Dodsworth,1936,9th,Best Actor in a Leading Role,no
William,Powell,My Man Godfrey,1936,9th,Best Actor in a Leading Role,no
Spencer,Tracy,San Francisco,1936,9th,Best Actor in a Leading Role,no
Spencer,Tracy,Captains Courageous,1937,10th,Best Actor in a Leading Role,yes
Charles,Boyer,Conquest,1937,10th,Best Actor in a Leading Role,no
Fredric,March,A Star Is Born,1937,10th,Best Actor in a Leading Role,no
Robert,Montgomery,Night Must Fall,1937,10th,Best Actor in a Leading Role,no
Paul,Muni,The Life of Emile Zola,1937,10th,Best Actor in a Leading Role,no
Spencer,Tracy,Boys Town,1938,11th,Best Actor in a Leading Role,yes
Charles,Boyer,Algiers,1938,11th,Best Actor in a Leading Role,no
James,Cagney,Angels with Dirty Faces,1938,11th,Best Actor in a Leading Role,no
Robert,Donat,The Citadel,1938,11th,Best Actor in a Leading Role,no
Leslie,Howard,Pygmalion,1938,11th,Best Actor in a Leading Role,no
Robert,Donat,"Goodbye, Mr. Chips",1939,12th,Best Actor in a Leading Role,yes
Clark,Gable,Gone with the Wind,1939,12th,Best Actor in a Leading Role,no
Laurence,Olivier,Wuthering Heights,1939,12th,Best Actor in a Leading Role,no
Mickey,Rooney,Babes in Arms,1939,12th,Best Actor in a Leading Role,no
James,Stewart,Mr. Smith Goes to Washington,1939,12th,Best Actor in a Leading Role,no
James,Stewart,The Philadelphia Story,1940,13th,Best Actor in a Leading Role,yes
Charlie,Chaplin,The Great Dictator,1940,13th,Best Actor in a Leading Role,no
Henry,Fonda,The Grapes of Wrath,1940,13th,Best Actor in a Leading Role,no
Raymond,Massey,Abe Lincoln in Illinois,1940,13th,Best Actor in a Leading Role,no
Laurence,Olivier,Rebecca,1940,13th,Best Actor in a Leading Role,no
Gary,Cooper,Sergeant York,1941,14th,Best Actor in a Leading Role,yes
Cary,Grant,Penny Serenade,1941,14th,Best Actor in a Leading Role,no
Walter,Huston,The Devil and Daniel Webster,1941,14th,Best Actor in a Leading Role,no
Robert,Montgomery,Here Comes Mr. Jordan,1941,14th,Best Actor in a Leading Role,no
Orson,Welles,Citizen Kane,1941,14th,Best Actor in a Leading Role,no
James,Cagney,Yankee Doodle Dandy,1942,15th,Best Actor in a Leading Role,yes
Ronald,Colman,Random Harvest,1942,15th,Best Actor in a Leading Role,no
Gary,Cooper,The Pride of the Yankees,1942,15th,Best Actor in a Leading Role,no
Walter,Pidgeon,Mrs. Miniver,1942,15th,Best Actor in a Leading Role,no
Monty,Woolley,The Pied Piper,1942,15th,Best Actor in a Leading Role,no
Paul,Lukas,Watch on the Rhine,1943,16th,Best Actor in a Leading Role,yes
Humphrey,Bogart,Casablanca,1942,16th,Best Actor in a Leading Role,no
Gary,Cooper,For Whom the Bell Tolls,1943,16th,Best Actor in a Leading Role,no
Walter,Pidgeon,Madame Curie,1943,16th,Best Actor in a Leading Role,no
Mickey,Rooney,The Human Comedy,1943,16th,Best Actor in a Leading Role,no
Bing,Crosby,Going My Way,1944,17th,Best Actor in a Leading Role,yes
Charles,Boyer,Gaslight,1944,17th,Best Actor in a Leading Role,no
Barry,Fitzgerald,Going My Way,1944,17th,Best Actor in a Leading Role,no
Cary,Grant,None but the Lonely Heart,1944,17th,Best Actor in a Leading Role,no
Alexander,Knox,Wilson,1944,17th,Best Actor in a Leading Role,no
Ray,Milland,The Lost Weekend,1945,18th,Best Actor in a Leading Role,yes
Bing,Crosby,The Bells of St. Mary's,1945,18th,Best Actor in a Leading Role,no
Gene,Kelly,Anchors Aweigh,1945,18th,Best Actor in a Leading Role,no
Gregory,Peck,The Keys of the Kingdom,1944,18th,Best Actor in a Leading Role,no
Cornel,Wilde,A Song to Remember,1945,18th,Best Actor in a Leading Role,no
Fredric,March,The Best Years of Our Lives,1946,19th,Best Actor in a Leading Role,yes
Laurence,Olivier,Henry V,1946,19th,Best Actor in a Leading Role,no
Larry,Parks,The Jolson Story,1946,19th,Best Actor in a Leading Role,no
Gregory,Peck,The Yearling,1946,19th,Best Actor in a Leading Role,no
James,Stewart,It's a Wonderful Life,1946,19th,Best Actor in a Leading Role,no
Ronald,Colman,A Double Life,1947,20th,Best Actor in a Leading Role,yes
John,Garfield,Body and Soul,1947,20th,Best Actor in a Leading Role,no
Gregory,Peck,Gentleman's Agreement,1947,20th,Best Actor in a Leading Role,no
William,Powell,Life with Father,1947,20th,Best Actor in a Leading Role,no
Michael,Redgrave,Mourning Becomes Electra,1947,20th,Best Actor in a Leading Role,no
Laurence,Olivier,Hamlet,1948,21st,Best Actor in a Leading Role,yes
Lew,Ayres,Johnny Belinda,1948,21st,Best Actor in a Leading Role,no
Montgomery,Clift,The Search,1948,21st,Best Actor in a Leading Role,no
Dan,Dailey,When My Baby Smiles at Me,1948,21st,Best Actor in a Leading Role,no
Clifton,Webb,Sitting Pretty,1948,21st,Best Actor in a Leading Role,no
Broderick,Crawford,All the King's Men,1949,22nd,Best Actor in a Leading Role,yes
Kirk,Douglas,Champion,1949,22nd,Best Actor in a Leading Role,no
Gregory,Peck,Twelve O'Clock High,1949,22nd,Best Actor in a Leading Role,no
Richard,Todd,The Hasty Heart,1949,22nd,Best Actor in a Leading Role,no
John,Wayne,Sands of Iwo Jima,1949,22nd,Best Actor in a Leading Role,no
José,Ferrer,Cyrano de Bergerac,1950,23rd,Best Actor in a Leading Role,yes
Louis,Calhern,The Magnificent Yankee,1950,23rd,Best Actor in a Leading Role,no
William,Holden,Sunset Boulevard,1950,23rd,Best Actor in a Leading Role,no
James,Stewart,Harvey,1950,23rd,Best Actor in a Leading Role,no
Spencer,Tracy,Father of the Bride,1950,23rd,Best Actor in a Leading Role,no
Humphrey,Bogart,The African Queen,1951,24th,Best Actor in a Leading Role,yes
Marlon,Brando,A Streetcar Named Desire,1951,24th,Best Actor in a Leading Role,no
Montgomery,Clift,A Place in the Sun,1951,24th,Best Actor in a Leading Role,no
Arthur,Kennedy,Bright Victory,1951,24th,Best Actor in a Leading Role,no
Fredric,March,Death of a Salesman,1951,24th,Best Actor in a Leading Role,no
Gary,Cooper,High Noon,1952,25th,Best Actor in a Leading Role,yes
Marlon,Brando,Viva Zapata!,1952,25th,Best Actor in a Leading Role,no
Kirk,Douglas,The Bad and the Beautiful,1952,25th,Best Actor in a Leading Role,no
José,Ferrer,Moulin Rouge,1952,25th,Best Actor in a Leading Role,no
Alec,Guinness,The Lavender Hill Mob,1951,25th,Best Actor in a Leading Role,no
William,Holden,Stalag 17,1953,26th,Best Actor in a Leading Role,yes
Marlon,Brando,Julius Caesar,1953,26th,Best Actor in a Leading Role,no
Richard,Burton,The Robe,1953,26th,Best Actor in a Leading Role,no
Montgomery,Clift,From Here to Eternity,1953,26th,Best Actor in a Leading Role,no
Marlon,Brando,On the Waterfront,1954,27th,Best Actor in a Leading Role,yes
Humphrey,Bogart,The Caine Mutiny,1954,27th,Best Actor in a Leading Role,no
Bing,Crosby,The Country Girl,1954,27th,Best Actor in a Leading Role,no
James,Mason,A Star Is Born,1954,27th,Best Actor in a Leading Role,no
Dan,O'Herlihy,Robinson Crusoe,1954,27th,Best Actor in a Leading Role,no
Ernest,Borgnine,Marty,1955,28th,Best Actor in a Leading Role,yes
James,Cagney,Love Me or Leave Me,1955,28th,Best Actor in a Leading Role,no
James,Dean,East of Eden,1955,28th,Best Actor in a Leading Role,no
Frank,Sinatra,The Man with the Golden Arm,1955,28th,Best Actor in a Leading Role,no
Spencer,Tracy,Bad Day at Black Rock,1955,28th,Best Actor in a Leading Role,no
Yul,Brynner,The King and I,1956,29th,Best Actor in a Leading Role,yes
James,Dean,Giant,1956,29th,Best Actor in a Leading Role,no
Kirk,Douglas,Lust for Life,1956,29th,Best Actor in a Leading Role,no
Rock,Hudson,Giant,1956,29th,Best Actor in a Leading Role,no
Laurence,Olivier,Richard III,1956,29th,Best Actor in a Leading Role,no
Alec,Guinness,The Bridge on the River Kwai,1957,30th,Best Actor in a Leading Role,yes
Marlon,Brando,Sayonara,1957,30th,Best Actor in a Leading Role,no
Anthony,Franciosa,A Hatful of Rain,1957,30th,Best Actor in a Leading Role,no
Charles,Laughton,Witness for the Prosecution,1957,30th,Best Actor in a Leading Role,no
Anthony,Quinn,Wild Is the Wind,1957,30th,Best Actor in a Leading Role,no
David,Niven,Separate Tables,1958,31st,Best Actor in a Leading Role,yes
Tony,Curtis,The Defiant Ones,1958,31st,Best Actor in a Leading Role,no
Paul,Newman,Cat on a Hot Tin Roof,1958,31st,Best Actor in a Leading Role,no
Sidney,Poitier,The Defiant Ones,1958,31st,Best Actor in a Leading Role,no
Spencer,Tracy,The Old Man and the Sea,1958,31st,Best Actor in a Leading Role,no
Charlton,Heston,Ben-Hur,1959,32nd,Best Actor in a Leading Role,yes
Laurence,Harvey,Room at the Top,1959,32nd,Best Actor in a Leading Role,no
Jack,Lemmon,Some Like It Hot,1959,32nd,Best Actor in a Leading Role,no
Paul,Muni,The Last Angry Man,1959,32nd,Best Actor in a Leading Role,no
James,Stewart,Anatomy of a Murder,1959,32nd,Best Actor in a Leading Role,no
Burt,Lancaster,Elmer Gantry,1960,33rd,Best Actor in a Leading Role,yes
Trevor,Howard,Sons and Lovers,1960,33rd,Best Actor in a Leading Role,no
Jack,Lemmon,The Apartment,1960,33rd,Best Actor in a Leading Role,no
Laurence,Olivier,The Entertainer,1960,33rd,Best Actor in a Leading Role,no
Spencer,Tracy,Inherit the Wind,1960,33rd,Best Actor in a Leading Role,no
Maximilian,Schell,Judgment at Nuremberg,1961,34th,Best Actor in a Leading Role,yes
Charles,Boyer,Fanny,1961,34th,Best Actor in a Leading Role,no
Paul,Newman,The Hustler,1961,34th,Best Actor in a Leading Role,no
Spencer,Tracy,Judgment at Nuremberg,1961,34th,Best Actor in a Leading Role,no
Stuart,Whitman,The Mark,1961,34th,Best Actor in a Leading Role,no
Gregory,Peck,To Kill a Mockingbird,1962,35th,Best Actor in a Leading Role,yes
Burt,Lancaster,Birdman of Alcatraz,1962,35th,Best Actor in a Leading Role,no
Jack,Lemmon,Days of Wine and Roses,1962,35th,Best Actor in a Leading Role,no
