firstName,lastName,DOB,birthCountry,deathDate,careerStart,careerEnd
Paul,Giamatti,1967-06-06,United States,,1989.0,
JoBeth,Williams,1948-12-06,United States,,1974.0,
Jack,Mills,,,1985-10-26,1947.0,1970.0
Harry,Beaumont,1888-02-10,United States,1966-12-22,1911.0,1948.0
Ron,Yerxa,1947-05-18,United States,,,
Tom,Conti,1941-11-22,Scotland,,1963.0,
Pietro,Scalia,1960-03-17,Italy,,,
Chris,Terrio,1976-12-31,United States,,2000.0,
Chris,Lawrence,,,,2002.0,
Emile,Sherman,1972-01-01,,,,
Simon,Thompson,,,,1972.0,2005.0
John,Casali,,,,,
Edward,Boyle,1899-01-30,Canada,1977-02-17,1925.0,1970.0
Michael,Mills,,United Kingdom,,1966.0,1980.0
Arthur,Hiller,1923-11-22,Canada,2016-08-17,1955.0,2006.0
F.,Abraham,1939-10-24,United States,,1959.0,
Irwin,Winkler,1931-05-25,United States,,1967.0,
Charlie,Chaplin,1889-04-16,United Kingdom,1977-12-01,1899.0,1975.0
Herbert,Stothart,1885-09-11,United States,1949-02-01,,
Deepa,Mehta,1950-09-15,India,,1976.0,
Billy,Weber,,United States,,1973.0,
Hy,Zaret,1907-08-21,United States,2007-07-02,,
Christopher,Hampton,1946-01-26,Portugal,,,
Naomi,Watts,1968-09-28,United Kingdom,,1986.0,
Edmund,Gwenn,1877-09-26,United Kingdom,1959-09-01,1895.0,1959.0
Tom,Stoppard,1937-07-03,Czechoslovakia,,,
Uberto,Pasolini,1957-05-01,Italy,,,
Elliot,Tyson,1952-11-20,United States,,1979.0,
John,Kohn,1925-01-01,United States,2002-05-04,,
Harry,Stradling,1901-09-01,United States,1970-02-14,1920.0,1970.0
Walter,Elliott,1903-11-19,United States,1984-08-10,1933.0,1963.0
Ron,Bartlett,,,,1985.0,
Richard,Goodman,,,,1974.0,
Graham,Annable,1970-06-01,Canada,,,
Albert,Finney,1936-05-09,United Kingdom,2019-02-01,1956.0,2012.0
Atticus,Ross,1968-01-16,United Kingdom,,1992.0,
Marjane,Satrapi,1969-11-22,Iran,,,
Gordon,Hollingshead,1892-01-08,United States,1952-07-08,1916.0,1952.0
Joe,Lapis,1899-04-10,Hungary,1991-10-01,1929.0,1964.0
Michael,Corenblith,1951-01-01,United States,,1975.0,
Nino,Rota,1911-12-03,Italy,1979-04-01,,
Ernst,Fegté,1900-09-28,Germany,1976-12-01,1925.0,1975.0
D.J.,Gugenheim,,,,,
Mordecai,Richler,1931-01-27,Canada,2001-07-03,,
George,DeTitta Sr.,1930-11-26,United States,2024-12-23,1965.0,1992.0
George,DeTitta Jr.,1955-02-14,United States,1981.0,
John,Hurt,1940-01-22,United Kingdom,2017-01-01,1961.0,2017.0
Scott,Cutler,,United States,,,
Robert,Clatworthy,1911-12-31,United States,1992-03-02,1943.0,1977.0
Hal,Kern,1894-07-14,United States,1985-02-24,1916.0,1963.0
Kim,Krizan,1961-11-01,United States,,,
Lucy,Alibar,1983-01-01,United States,,,
Addison,Teague,,,,1993.0,
Stanley,Kramer,1913-09-29,United States,2001-02-19,1933.0,1997.0
Laurent,Cantet,1961-04-11,France,2024-04-01,1987.0,2024.0
Michael,Thurmeier,1975-01-01,Canada,,1999.0,
Josh,Weston,,,,,
Marie-Ange,Luciani,1979-01-01,France,,,
Jesse,Armstrong,1970-12-13,United Kingdom,,2000.0,
Patrick,Doyle,1953-04-06,Scotland,,1979.0,
Claude,Rains,1889-11-10,United Kingdom,1967-05-01,1900.0,1965.0
