firstName,lastName,movieTitle,releaseYear
Emil,Jannings,The Last Command,1928
Emil,Jannings,The Way of All Flesh,1927
Richard,Barthelmess,The Noose,1928
Charlie,Chaplin,The Circus,1928
Warner,Baxter,In Old Arizona,1928
George,Bancroft,Thunderbolt,1929
Chester,Morris,Alibi,1929
Paul,Muni,The Valiant,1929
Lewis,Stone,The Patriot,1928
George,Arliss,Disraeli,1929
Wallace,Beery,The Big House,1930
Maurice,Chevalier,The Big Pond,1930
Ronald,Colman,Bulldog Drummond,1929
Lawrence,Tibbett,The Rogue Song,1930
Lionel,Barrymore,A Free Soul,1931
Jackie,Cooper,Skippy,1931
Richard,Dix,Cimarron,1931
Fredric,March,The Royal Family of Broadway,1930
Adolphe,Menjou,The Front Page,1931
Wallace,Beery,The Champ,1931
Fredric,March,Dr. Jekyll and Mr. Hyde,1931
Alfred,Lunt,The Guardsman,1931
Charles,Laughton,The Private Life of Henry VIII,1933
Leslie,Howard,Berkeley Square,1933
Paul,Muni,I Am a Fugitive from a Chain Gang,1932
Clark,Gable,It Happened One Night,1934
Frank,Morgan,The Affairs of Cellini,1934
William,Powell,The Thin Man,1934
Victor,McLaglen,The Informer,1935
Clark,Gable,Mutiny on the Bounty,1935
Paul,Muni,Black Fury,1935
Franchot,Tone,Mutiny on the Bounty,1935
Paul,Muni,The Story of Louis Pasteur,1936
Gary,Cooper,Mr. Deeds Goes to Town,1936
Walter,Huston,Dodsworth,1936
William,Powell,My Man Godfrey,1936
Spencer,Tracy,San Francisco,1936
Spencer,Tracy,Captains Courageous,1937
Charles,Boyer,Conquest,1937
Fredric,March,A Star Is Born,1937
Robert,Montgomery,Night Must Fall,1937
Paul,Muni,The Life of Emile Zola,1937
Spencer,Tracy,Boys Town,1938
Charles,Boyer,Algiers,1938
James,Cagney,Angels with Dirty Faces,1938
Robert,Donat,The Citadel,1938
Leslie,Howard,Pygmalion,1938
Robert,Donat,"Goodbye, Mr. Chips",1939
Clark,Gable,Gone with the Wind,1939
Laurence,Olivier,Wuthering Heights,1939
Mickey,Rooney,Babes in Arms,1939
James,Stewart,Mr. Smith Goes to Washington,1939
James,Stewart,The Philadelphia Story,1940
Charlie,Chaplin,The Great Dictator,1940
Henry,Fonda,The Grapes of Wrath,1940
Raymond,Massey,Abe Lincoln in Illinois,1940
Laurence,Olivier,Rebecca,1940
Gary,Cooper,Sergeant York,1941
Cary,Grant,Penny Serenade,1941
Walter,Huston,The Devil and Daniel Webster,1941
Robert,Montgomery,Here Comes Mr. Jordan,1941
Orson,Welles,Citizen Kane,1941
James,Cagney,Yankee Doodle Dandy,1942
Ronald,Colman,Random Harvest,1942
Gary,Cooper,The Pride of the Yankees,1942
Walter,Pidgeon,Mrs. Miniver,1942
Monty,Woolley,The Pied Piper,1942
Paul,Lukas,Watch on the Rhine,1943
Humphrey,Bogart,Casablanca,1942
Gary,Cooper,For Whom the Bell Tolls,1943
Walter,Pidgeon,Madame Curie,1943
Mickey,Rooney,The Human Comedy,1943
Bing,Crosby,Going My Way,1944
Charles,Boyer,Gaslight,1944
Barry,Fitzgerald,Going My Way,1944
Cary,Grant,None but the Lonely Heart,1944
Alexander,Knox,Wilson,1944
Ray,Milland,The Lost Weekend,1945
Bing,Crosby,The Bells of St. Mary's,1945
Gene,Kelly,Anchors Aweigh,1945
Gregory,Peck,The Keys of the Kingdom,1944
Cornel,Wilde,A Song to Remember,1945
Fredric,March,The Best Years of Our Lives,1946
Laurence,Olivier,Henry V,1946
Larry,Parks,The Jolson Story,1946
Gregory,Peck,The Yearling,1946
James,Stewart,It's a Wonderful Life,1946
Ronald,Colman,A Double Life,1947
John,Garfield,Body and Soul,1947
Gregory,Peck,Gentleman's Agreement,1947
William,Powell,Life with Father,1947
Michael,Redgrave,Mourning Becomes Electra,1947
Laurence,Olivier,Hamlet,1948
Lew,Ayres,Johnny Belinda,1948
Montgomery,Clift,The Search,1948
Dan,Dailey,When My Baby Smiles at Me,1948
Clifton,Webb,Sitting Pretty,1948
Broderick,Crawford,All the King's Men,1949
Kirk,Douglas,Champion,1949
Gregory,Peck,Twelve O'Clock High,1949
Richard,Todd,The Hasty Heart,1949
John,Wayne,Sands of Iwo Jima,1949
José,Ferrer,Cyrano de Bergerac,1950
Louis,Calhern,The Magnificent Yankee,1950
William,Holden,Sunset Boulevard,1950
James,Stewart,Harvey,1950
Spencer,Tracy,Father of the Bride,1950
Humphrey,Bogart,The African Queen,1951
Marlon,Brando,A Streetcar Named Desire,1951
Montgomery,Clift,A Place in the Sun,1951
Arthur,Kennedy,Bright Victory,1951
Fredric,March,Death of a Salesman,1951
Gary,Cooper,High Noon,1952
Marlon,Brando,Viva Zapata!,1952
Kirk,Douglas,The Bad and the Beautiful,1952
José,Ferrer,Moulin Rouge,1952
Alec,Guinness,The Lavender Hill Mob,1951
William,Holden,Stalag 17,1953
Marlon,Brando,Julius Caesar,1953
Richard,Burton,The Robe,1953
Montgomery,Clift,From Here to Eternity,1953
Marlon,Brando,On the Waterfront,1954
Humphrey,Bogart,The Caine Mutiny,1954
Bing,Crosby,The Country Girl,1954
James,Mason,A Star Is Born,1954
Dan,O'Herlihy,Robinson Crusoe,1954
Ernest,Borgnine,Marty,1955
James,Cagney,Love Me or Leave Me,1955
James,Dean,East of Eden,1955
Frank,Sinatra,The Man with the Golden Arm,1955
Spencer,Tracy,Bad Day at Black Rock,1955
Yul,Brynner,The King and I,1956
James,Dean,Giant,1956
Kirk,Douglas,Lust for Life,1956
Rock,Hudson,Giant,1956
Laurence,Olivier,Richard III,1956
Alec,Guinness,The Bridge on the River Kwai,1957
Marlon,Brando,Sayonara,1957
Anthony,Franciosa,A Hatful of Rain,1957
Charles,Laughton,Witness for the Prosecution,1957
Anthony,Quinn,Wild Is the Wind,1957
David,Niven,Separate Tables,1958
Tony,Curtis,The Defiant Ones,1958
Paul,Newman,Cat on a Hot Tin Roof,1958
Sidney,Poitier,The Defiant Ones,1958
Spencer,Tracy,The Old Man and the Sea,1958
Charlton,Heston,Ben-Hur,1959
