firstName,lastName,roleType
Frank,Hughes,Set Decorator
Harold,Etherington,Sound Engineer
Jack,Brooks,Lyricist
Rob,Marshall,Director
Rob,Marshall,Producer
Rob,Marshall,Director
Rob,Marshall,Choreographer
Carlinhos,Brown,Singer
Carlinhos,Brown,Musician
Paul,Brincat,Sound Engineer
Florian,Donnersmarck,Director
James,Spione,Director
James,Spione,Producer
James,Spione,Writer
Richard,Nord,Editor
Richard,LaGravenese,Screenwriter
Richard,LaGravenese,Director
Leslie,Carey,Sound Engineer
Nadia,Stacey,Makeup Artist
Laura,Allen,Makeup Artist
Gareth,John,Sound Engineer
William,Daniels,Cinematographer
Brendan,Gleeson,Actor
Brendan,Gleeson,Director
Paddy,Chayefsky,Playwright
Paddy,Chayefsky,Novelist
Paddy,Chayefsky,Screenwriter
Jonas,Rasmussen,Producer
Jonas,Rasmussen,Director
Emmanuelle,Riva,Actress
Emmanuelle,Riva,Poet
Emmanuelle,Riva,Photographer
Emmanuelle,Riva,Artist
Margaret,Mollo,Set Decorator
Harry,Kurnitz,Playwright
Harry,Kurnitz,Novelist
Harry,Kurnitz,Screenwriter
Kevin,Kline,Actor
Louis,Marcus,Producer
Andrew,Garfield,Actor
Helmut,Käutner,Director
Helmut,Käutner,Actor
Tatsuji,Nojima,Visual Effects Artist
Tatsuji,Nojima,Digital Compositor
David,Byrne,Singer
David,Byrne,Songwriter
David,Byrne,Musician
David,Byrne,Record Producer
David,Byrne,Music Theorist
David,Byrne,Visual Artist
David,Byrne,Actor
David,Byrne,Writer
David,Byrne,Filmmaker
Lars-Magnus,Lindgren,Director
Stuart,Baird,Editor
Stuart,Baird,Director
Hallvar,Witzø,Director
Beth,Rubino,Production Designer
Beth,Rubino,Set Decorator
Marie-Laure,Valla,Set Decorator
David,Lynch,Filmmaker
David,Lynch,Painter
David,Lynch,Visual Artist
David,Lynch,Musician
David,Lynch,Author
David,Lynch,Actor
New,Radicals,Actress
New,Radicals,Singer
New,Radicals,Songwriter
New,Radicals,Producer
Ana,López-Puigcerver,Makeup Artist
Percy,Heath,Screenwriter
Howard,Berger,Special Make-Up Effects Creator
Jonas,Rivera,Producer
William,Powell,Actor
Trevor,Wood,Special Effects Artist
Tony,Dawe,Sound Engineer
Steve,Ingram,Special Effects Artist
Federico,Fellini,Director
Federico,Fellini,Screenwriter
Nicole,Rocklin,Producer
Stefan,Dechant,Art Director
Stefan,Dechant,Production Designer
Stanley,Kramer,Director
Stanley,Kramer,Producer
Cristina,Comencini,Director
Cristina,Comencini,Screenwriter
Cristina,Comencini,Novelist
Simon,Blackwell,Screenwriter
Leslie,Bloom,Art Director
Herbert,Moulton,Producer
Herbert,Moulton,Director
Jacques,Rouxel,Production Designer
Daniel,Clowes,Cartoonist
Daniel,Clowes,Illustrator
Daniel,Clowes,Screenwriter
Eric,Roth,Screenwriter
W.,Wolfe,Sound Engineer
Leland,Hayward,Agent
Leland,Hayward,Producer
Carol,Joffe,Set Decorator
Roger,Allers,Director
Roger,Allers,Writer
Roger,Allers,Animator
Roger,Allers,Storyboard Artist
Roger,Allers,Playwright
Jack,Davies,Screenwriter
Jack,Davies,Novelist
Igor,Talankin,Director
Igor,Talankin,Screenwriter
James,Dean,Actor
Henry,Batista,Editor
Henry,Batista,Editor
Jack,Nitzsche,Composer
Jack,Nitzsche,Orchestrator
Jack,Nitzsche,Arranger
Jack,Nitzsche,Session Musician
Jack,Nitzsche,Record Producer
Maury,Yeston,Composer
Maury,Yeston,Lyricist
Maury,Yeston,Musicologist
Charlotte,Rampling,Actress
Charlotte,Rampling,Singer
Ridley,Scott,Director
Ridley,Scott,Producer
Tim,Hutchinson,Art Director
Tim,Hutchinson,Production Designer
Peter,Chernin,Producer
Léa,Mysius,Director
Léa,Mysius,Screenwriter
David,Zippel,Lyricist
Ann,Roth,Costume Designer
Glenda,Jackson,Actress
Glenda,Jackson,Politician
Tessa,Ross,Producer
William,Friedkin,Director
William,Friedkin,Producer
William,Friedkin,Screenwriter
Leslie,Ekker,Visual Effects Artist
Peverell,Marley,Cinematographer
Robert,Getchell,Screenwriter
William,Bradford,Cinematographer
Lawrence,Sher,Cinematographer
Lawrence,Sher,Director
Courtney,Marsh,Director
John,Livadary,Sound Engineer
David,Vickery,Visual Effects Artist
Tom,Barry,Screenwriter
Tim,Robbins,Actor
Tim,Robbins,Director
Tim,Robbins,Producer
Tim,Robbins,Screenwriter
Osamu,Furuya,Cinematographer
Scott,Fisher,Special Effects Artist
Arthur,O'Connell,Stage
Arthur,O'Connell,Actor
Arthur,O'Connell,Actor
Marjorie,Fowler,Editor
John,Kohn,Producer
John,Kohn,Writer
Bradford,Young,Cinematographer
Benh,Zeitlin,Filmmaker
Lillian,Hellman,Playwright
Lillian,Hellman,Author
Lillian,Hellman,Screenwriter
Will,McCormack,Actor
Will,McCormack,Executive Producer
Will,McCormack,Screenwriter
Will,McCormack,Director
Dorothy,Fadiman,Filmmaker
Dorothy,Fadiman,Director
Dorothy,Fadiman,Producer
Andraé,Crouch,Singer
Andraé,Crouch,Songwriter
Andraé,Crouch,Arranger
Andraé,Crouch,Record Producer
Andraé,Crouch,Choir Director
Andraé,Crouch,Pastor
Kevin,Mack,Visual Effects Artist
David,Snyder,Production Designer
David,Snyder,Art Director
David,Snyder,Producer
Michael,Shannon,Actor
Michael,Shannon,Producer
Betty,Comden,Actress
Betty,Comden,Lyricist
Betty,Comden,Screenwriter
Myron,Kerstein,Editor
Dov,Hoenig,Editor
Marshall,Brickman,Writer
Marshall,Brickman,Director
Marshall,Brickman,Musician
John,Foreman,Producer
Michel,Legrand,Composer
Hy,Zaret,Songwriter
Elvis,Costello,Singer
Elvis,Costello,Songwriter
Elvis,Costello,Record Producer
Elvis,Costello,Author
Brady,Corbet,Filmmaker
Brady,Corbet,Actor
Arne,Glimcher,Director
Arne,Glimcher,Producer
Dick,Richards,Director
Dick,Richards,Screenwriter
Dick,Richards,Producer
Peter,Ladue,Director
Pete,Docter,Director
Pete,Docter,Screenwriter
Pete,Docter,Producer
Pete,Docter,Animator
Pete,Docter,Voice Actor
Stephen,Goldblatt,Cinematographer
Burton,Lane,Lyricist
Burton,Lane,Composer
Guy,Nattiv,Director
Philippa,Boyens,Screenwriter
Philippa,Boyens,Producer
Gabriella,Pescucci,Costume Designer
Debbie,Reynolds,Actress
Debbie,Reynolds,Singer
Debbie,Reynolds,Dancer
Robert,Thompson,Screenwriter
Javier,Navarrete,Composer
Robbie,Robertson,Musician
Robbie,Robertson,Songwriter
Robbie,Robertson,Singer
Thomas,Whitlock,Songwriter
Anthony,McCarten,Screenwriter
Anthony,McCarten,Novelist
Anthony,McCarten,Playwright
Anthony,McCarten,Journalist
Anthony,McCarten,Director
Anthony,McCarten,Producer
Ruth,Myers,Costume Designer
Michael,Standish,Production Designer
Jóhann,Jóhannsson,Composer
Jóhann,Jóhannsson,Producer
Jóhann,Jóhannsson,Director
Jerome,Chen,Director
Shane,Mahan,Creature Design
Shane,Mahan,Makeup Artist
Tamara,Jenkins,Director
Tamara,Jenkins,Screenwriter
Tamara,Jenkins,Actress
Harvey,Weinstein,Producer
Chester,Schaeffer,Editor
Keith,Carradine,Actor
Tom,Rolf,Editor
Christophe,Barratier,Director
Christophe,Barratier,Screenwriter
Christophe,Barratier,Producer
Herbie,Hancock,Musician
Herbie,Hancock,Composer
Herbie,Hancock,Record Producer
Herbie,Hancock,Actor
Mikael,Håfström,Director
Mikael,Håfström,Screenwriter
Con,Conrad,Songwriter
Pat,Morita,Actor
Pat,Morita,Comedian
Nick,Vallelonga,Actor
Nick,Vallelonga,Filmmaker
Marianne,Farley,Actress
Marianne,Farley,Director
Pasqualino,Santis,Cinematographer
Charles,Clarke,Cinematographer
Steven,Spielberg,Director
Steven,Spielberg,Producer
Steven,Spielberg,Screenwriter
Harold,Stine,Cinematographer
Jason,Baird,Makeup Artist
Tristan,Myles,Visual Effects Artist
Viola,Lawrence,Editor
Edith,Head,Costume Designer
Aymeric,Devoldère,Sound Engineer
Geraldine,Page,Actress
Anders,Walter,Director
Anders,Walter,Producer
Vilmos,Zsigmond,Cinematographer
Siân,Grigg,Makeup Artist
Edward,Anhalt,Screenwriter
Edward,Anhalt,Producer
Edward,Anhalt,Documentary Filmmaker
Cameron,Crowe,Journalist
Cameron,Crowe,Author
Cameron,Crowe,Writer
