movieTitle,releaseYear,productionCompany
Wings,1927,Paramount Famous Lasky Corporation
Sunrise: A Song of Two Humans,1927,Fox Film Corporation
The Last Command,1928,Paramount Famous Lasky Corp.
Tempest,1928,Feature Productions
Two Arabian Knights,1927,The Caddo Company
The Crowd,1928,Metro-Goldwyn-Mayer
Chang: A Drama of the Wilderness,1927,Famous Players–Lasky Corporation
Chang: A Drama of the Wilderness,1927,Paramount Famous Lasky Corporation
Glorious Betsy,1928,Warner Bros. Pictures
Speedy,1928,Harold Lloyd Corporation
The Devil Dancer,1927,Samuel Goldwyn Productions
The Jazz Singer,1927,Warner Bros. Pictures
The Jazz Singer,1927,The Vitaphone Corporation
The Magic Flame,1927,Samuel Goldwyn Productions
The Racket,1928,The Caddo Company
The Divine Lady,1929,First National Pictures
The Bridge of San Luis Rey,1929,Metro-Goldwyn-Mayer
White Shadows in the South Seas,1928,Cosmopolitan Productions
Our Dancing Daughters,1928,Cosmopolitan Productions
4 Devils,1928,William Fox Studio
Drag,1929,First National Pictures
Dynamite,1929,Metro-Goldwyn-Mayer
Skyscraper,1928,DeMille Pictures Corporation
The Awakening,1928,Samuel Goldwyn Productions
The Barker,1928,First National Pictures
The Cop,1928,DeMille Pictures Corporation
The Last of Mrs. Cheyney,1929,Metro-Goldwyn-Mayer
The Letter,1929,Paramount Pictures
Weary River,1929,First National Pictures
All Quiet on the Western Front,1930,Universal Studios
The Big House,1930,A Cosmopolitan Production
Disraeli,1929,Warner Bros.
King of Jazz,1930,Universal Pictures
The Love Parade,1929,Paramount Famous Lasky Corp.
Bulldog Drummond,1929,Samuel Goldwyn Productions
Condemned,1929,Samuel Goldwyn Productions
Hallelujah,1929,A King Vidor Production
Hell's Angels,1930,The Caddo Company
Raffles,1930,Samuel Goldwyn Productions
Sally,1929,First National Pictures
Song of the Flame,1930,First National Pictures
The Case of Sergeant Grischa,1930,RKO Radio Pictures
The Rogue Song,1930,Metro-Goldwyn-Mayer
The Vagabond King,1930,Paramount Pictures
Cimarron,1931,RKO Radio Pictures
A Free Soul,1931,Metro-Goldwyn-Mayer
