Movie Title,Release Year,Language,Runtime,Budget,Box Office
Wings,1927,Silent,144,2000000,3800000
7th Heaven,1927,Silent,110,1300000,2500000
Sunrise: A Song of Two Humans,1927,,95,,818000
The Last Command,1928,,85,,
Street Angel,1928,,102,,1700000
Tempest,1928,,111,1200000,
The Dove,1927,Silent,90,,
The Way of All Flesh,1927,Silent,9,,
Two Arabian Knights,1927,Silent,92,,
Underworld,1927,Silent,80,,
Sadie Thompson,1928,,91,650000,1000000
The Crowd,1928,Silent,98,,
A Ship Comes In,1928,,70,,
Chang: A Drama of the Wilderness,1927,,64,,
Glorious Betsy,1928,,80,198000,965000
Sorrell and Son,1927,Silent,10,,
Speedy,1928,,86,,
The Devil Dancer,1927,Silent,73,,
The Jazz Singer,1927,Silent,89,422000,2600000
The Magic Flame,1927,Silent,9,,
The Noose,1928,Silent,8,,
The Patent Leather Kid,1927,Silent,130,850000,1200000
The Private Life of Helen of Troy,1927,Silent,87,,
The Racket,1928,Silent,84,,
The Circus,1928,,70,,3800000
The Broadway Melody,1929,Silent,100,379000,4400000
In Old Arizona,1928,Silent,95,,1300000
The Patriot,1928,,113,1000000,
The Divine Lady,1929,,99,,
Coquette,1929,Silent,76,,1500000
The Bridge of San Luis Rey,1929,,86,,
White Shadows in the South Seas,1928,,89,365000,1600000
Alibi,1929,English,90,,
Madame X,1929,English,95,,
Our Dancing Daughters,1928,,85,178000,1099000
The Valiant,1929,English,66,,
4 Devils,1928,,100,,
A Woman of Affairs,1928,,91,328687.77,1370000
Drag,1929,English,85,,
Dynamite,1929,English,129,,
Sal of Singapore,1928,,70,,
Skyscraper,1928,Silent,68,,
The Awakening,1928,,90,,
The Barker,1928,,87,,
The Cop,1928,Silent,77,,
The Hollywood Revue of 1929,1929,English,130,426000,2421000
The Last of Mrs. Cheyney,1929,English,94,,
The Leatherneck,1929,,65,,
The Letter,1929,English,60,,8900000
Thunderbolt,1929,English,91,,
Weary River,1929,,86,,
Wonder of Women,1929,,95,,
All Quiet on the Western Front,1930,English,152,1200000,3000000
The Big House,1930,English,87,414000,1715000
The Divorcee,1930,English,84,,
Disraeli,1929,English,90,318000,1498000
King of Jazz,1930,English,105,2000000,
With Byrd at the South Pole,1930,,82,,
The Love Parade,1929,English,107,,
Anna Christie,1930,English,89,376000,1499000
Bulldog Drummond,1929,English,90,,
Romance,1930,English,76,,
Condemned,1929,English,86,600000,
Hallelujah,1929,English,109,,
Hell's Angels,1930,English,131,2800000,2500000
Raffles,1930,English,72,,
Sally,1929,English,103,647000,2198000
Sarah and Son,1930,English,86,,
Song of the Flame,1930,English,70,,
Street of Chance,1930,English,76,,
The Big Pond,1930,,78,,
The Case of Sergeant Grischa,1930,English,82,467000,456000
The Devil's Holiday,1930,English,80,,
The Green Goddess,1930,English,73,,
The Rogue Song,1930,English,103,646000,1610000
The Trespasser,1929,English,90,,
The Vagabond King,1930,English,104,1250000,
Their Own Desire,1929,English,65,,
Cimarron,1931,English,124,1433000,1383000
Skippy,1931,English,85,,
A Free Soul,1931,English,91,529000,1400000
Min and Bill,1930,English,66,,2000000
Tabu: A Story of the South Seas,1931,,84,150000,472000
The Dawn Patrol,1930,English,90,729000,1624000
Morocco,1930,,91,491299.36,
The Front Page,1931,English,101,,700000
Holiday,1930,English,98,,
Svengali,1931,,81,,
East Lynne,1931,English,102,,
Just Imagine,1930,English,109,1100000,
Laughter,1930,English,85,,
Little Caesar,1931,English,79,281000,752000
Smart Money,1931,English,81,,
The Criminal Code,1931,English,96,,
The Doorway to Hell,1930,English,78,240000,688000
The Public Enemy,1931,English,83,151000,557000
The Right to Love,1930,English,79,,
The Royal Family of Broadway,1930,English,82,,
Trader Horn,1931,English,122,1300000,4200000
Whoopee!,1930,English,101,1900000,2655000
Grand Hotel,1932,English,112,750000,2594000
The Champ,1931,English,87,356000,1600000
Bad Girl,1931,English,90,100000,1100000
Dr. Jekyll and Mr. Hyde,1931,English,96,535000,1250000
Shanghai Express,1932,English,80,,1500000
Flowers and Trees,1932,English,8,,
The Music Box,1932,English,29,,
The Sin of Madelon Claudet,1931,English,75,,
Transatlantic,1931,English,78,,
Wrestling Swordfish,1931,English,8,,
Arrowsmith,1931,English,108,,1250000
The Guardsman,1931,English,89,374000,
À Nous la Liberté,1931,French,104,,
Emma,1932,English,72,350000,1972000
Five Star Final,1931,English,89,310000,822000
It's Got Me Again!,1932,English,7,,
Lady and Gent,1932,English,84,,
Mickey's Orphans,1931,English,7,,
One Hour with You,1932,English,80,,
Scratch-As-Catch-Can,1932,English,19,,
Screen Souvenirs,1932,English,,,
Swing High,1932,English,10,,
The Loud Mouth,1932,English,20,,
The Smiling Lieutenant,1931,English,89,,
The Star Witness,1931,English,68,,
What Price Hollywood?,1932,English,88,416000,571000
Stout Hearts and Willing Hands,1931,English,20,,
Cavalcade,1933,English,112,1180280,1004000
A Farewell to Arms,1932,English,88,900000,1000000
Little Women,1933,English,115,424000,2070000
The Private Life of Henry VIII,1933,English,97,93710,750000
Krakatoa,1933,English,26,,
Morning Glory,1933,English,70,239000,582000
One Way Passage,1932,English,68,350000,1108000
So This Is Harris!,1933,English,28,,
Three Little Pigs,1933,English,8,22000,250000
Lady for a Day,1933,English,96,300000,
I Am a Fugitive from a Chain Gang,1932,English,93,228000,1599000
42nd Street,1933,English,89,439000,2300000
State Fair,1933,,97,600000,1208000
A Preferred List,1933,English,20,,
Berkeley Square,1933,English,85,,
Building a Building,1933,English,7,,
Gold Diggers of 1933,1933,English,90,433000,3231000
Menu,1933,English,10,,
Mister Mugg,1933,English,20,,
Rasputin and the Empress,1932,English,121,1022000,1379000
Reunion in Vienna,1933,English,100,478000,643000
She Done Him Wrong,1933,English,66,200000,2200000
Sign of the Cross,1932,English,125,694065,2738993
Smilin' Through,1932,English,98,851000,2033000
The Merry Old Soul,1933,English,802,,
The Prizefighter and the Lady,1933,English,102,682000,933000
The Sea,1933,Polish,9,,
When Ladies Meet,1933,English,85,,
It Happened One Night,1934,English,105,325000,2500000
One Night of Love,1934,,83,500000,2500000
Cleopatra,1934,English,100,842908,1929161
The Gay Divorcee,1934,English,107,520000,1800000
Viva Villa!,1934,English,115,1022000,1969000
City of Wax,1934,English,20,,
Eskimo,1933,,117,935000,1312000
La Cucaracha,1934,English,20,,
Manhattan Melodrama,1934,English,93,355000,1200000
The Merry Widow,1934,,99,1605000,2800000
The Tortoise and the Hare,1935,English,817,,
The Affairs of Cellini,1934,English,80,,
The Thin Man,1934,English,91,231000,1400000
Imitation of Life,1934,English,111,,
Flirtation Walk,1934,English,85,479000,1533000
The Barretts of Wimpole Street,1934,English,110,820000,1258000
The White Parade,1934,English,80,,
Bosom Friends,1934,English,,,
Flying Down to Rio,1933,English,89,462000,1545000
Here Comes the Navy,1934,English,87,263000,1758000
Hide-Out,1934,English,81,,
Holiday Land,1934,English,8,,
Jolly Little Elves,1934,English,8,,
Men in Black,1934,English,18021,,
Of Human Bondage,1934,English,83,403000,592000
Operator 13,1934,English,85,880000,1010000
She Loves Me Not,1934,English,85,,
Strikes and Spares,1934,English,9,,
The House of Rothschild,1934,English,88,,1000000
The Lost Patrol,1934,English,73,262000,583000
The Richest Girl in the World,1934,English,76,,
"What, No Men!",1934,English,21,,
Mutiny on the Bounty,1935,English,132,1950000,4460000
The Informer,1935,English,91,243000,950000
A Midsummer Night's Dream,1935,English,133,981000,1200000
The Lives of a Bengal Lancer,1935,English,109,,1500000
Broadway Melody of 1936,1935,English,101,1062000,2871000
The Dark Angel,1935,English,110,1000000,
Gold Diggers of 1935,1935,English,95,567000,1365000
