movieTitle,releaseDate,categoryName,iteration,isWinner
Wings,1927,Best Visual Effects,1st,yes
Spawn of the North,1938,Best Visual Effects,11th,yes
The Rains Came,1939,Best Visual Effects,12th,yes
Gone with the Wind,1939,Best Visual Effects,12th,no
Only Angels Have Wings,1939,Best Visual Effects,12th,no
The Private Lives of Elizabeth,1939,Best Visual Effects,12th,no
Essex,1939,Best Visual Effects,12th,no
Topper Takes a Trip,1939,Best Visual Effects,12th,no
Union Pacific,1939,Best Visual Effects,12th,no
The Wizard of Oz,1939,Best Visual Effects,12th,no
The Thief of Bagdad,1940,Best Visual Effects,13th,yes
The Blue Bird,1940,Best Visual Effects,13th,no
Boom Town,1940,Best Visual Effects,13th,no
The Boys from Syracuse,1940,Best Visual Effects,13th,no
Dr. Cyclops,1940,Best Visual Effects,13th,no
Foreign Correspondent,1940,Best Visual Effects,13th,no
The Invisible Man Returns,1940,Best Visual Effects,13th,no
The Long Voyage Home,1940,Best Visual Effects,13th,no
One Million B.C.,1940,Best Visual Effects,13th,no
Rebecca,1940,Best Visual Effects,13th,no
The Sea Hawk,1940,Best Visual Effects,13th,no
Swiss Family Robinson,1940,Best Visual Effects,13th,no
Typhoon,1940,Best Visual Effects,13th,no
Women in War,1940,Best Visual Effects,13th,no
I Wanted Wings,1941,Best Visual Effects,14th,yes
Aloma of the South Seas,1941,Best Visual Effects,14th,no
Dive Bomber[13],1941,Best Visual Effects,14th,no
Flight Command,1941,Best Visual Effects,14th,no
The Invisible Woman,1941,Best Visual Effects,14th,no
The Sea Wolf,1941,Best Visual Effects,14th,no
That Hamilton Woman,1941,Best Visual Effects,14th,no
Topper Returns,1941,Best Visual Effects,14th,no
A Yank in the R.A.F.,1941,Best Visual Effects,14th,no
Reap the Wild Wind,1942,Best Visual Effects,15th,yes
The Black Swan,1942,Best Visual Effects,15th,no
Desperate Journey,1942,Best Visual Effects,15th,no
Flying Tigers,1942,Best Visual Effects,15th,no
Invisible Agent,1942,Best Visual Effects,15th,no
Jungle Book,1942,Best Visual Effects,15th,no
Mrs. Miniver,1942,Best Visual Effects,15th,no
The Navy Comes Through,1942,Best Visual Effects,15th,no
One of Our Aircraft Is Missing,1942,Best Visual Effects,15th,no
The Pride of the Yankees,1942,Best Visual Effects,15th,no
Crash Dive,1943,Best Visual Effects,16th,yes
Air Force,1943,Best Visual Effects,16th,no
Bombardier,1943,Best Visual Effects,16th,no
The North Star,1943,Best Visual Effects,16th,no
So Proudly We Hail!,1943,Best Visual Effects,16th,no
Stand By for Action,1943,Best Visual Effects,16th,no
Thirty Seconds Over Tokyo,1944,Best Visual Effects,17th,yes
The Adventures of Mark Twain,1944,Best Visual Effects,17th,no
Days of Glory,1944,Best Visual Effects,17th,no
Secret Command,1944,Best Visual Effects,17th,no
