firstName,lastName,DOB,birthCountry,deathDate,careerStart,careerEnd
Paul,Giamatti,1967-01-01,United States,,1989,
JoBeth,Williams,1948-01-01,United States,,1974,
Jack,Mills,,,1985-10-26,1947,1970
Harry,Beaumont,1888-01-01,United States,1966-12-22,1911,1948
Ron,Yerxa,1947-01-01,United States,,,
Tom,Conti,1941-01-01,Scotland,,1963,
Pietro,Scalia,1960-01-01,Italy,,,
Chris,Terrio,1976-01-01,United States,,2000,
Chris,Lawrence,,,,2002,
Emile,Sherman,1972-06-01,"",,,
Simon,Thompson,,,,1972,2005
John,Casali,,,,,
Edward,Boyle,1899-01-01,Canada,1977-02-17,1925,1970
Michael,Mills,1942-01-01,United Kingdom,,1966,1980
Arthur,Hiller,1923-11-22,Canada,2016-08-17,1955,2006
F.,Abraham,1939-01-01,United States,,1959,
Irwin,Winkler,1931-01-01,United States,,1967,
Charlie,Chaplin,1889-01-01,United Kingdom,1977-12-01,1899,1975
Herbert,Stothart,1885-01-01,United States,1949-02-01,,
Deepa,Mehta,1950-01-01,India,,1976,
Billy,Weber,,United States,,1973,
Hy,Zaret,1907-01-01,United States,2007-07-02,,
Christopher,Hampton,1946-01-01,Portugal,,,
Naomi,Watts,1968-01-01,United Kingdom,,1986,
Edmund,Gwenn,1877-01-01,United Kingdom,1959-09-01,1895,1959
Sir,Stoppard,1937-01-01,Czechoslovakia,,,
Uberto,Pasolini,1957-01-01,Italy,,,
Elliot,Tyson,1952-01-01,United States,,1979,
John,Kohn,1925-01-01,United States,2002-05-04,,
Harry,A.S.C.,1901-01-01,United States,1970-02-14,1920,1970
Walter,Elliott,1903-01-01,United States,1984-08-10,1933,1963
Ron,Bartlett,,,,1985,
Richard,Goodman,,,,1974,
Graham,Annable,1970-06-01,Canada,,,
Albert,Finney,1936-01-01,United Kingdom,2019-02-01,1956,2012
Atticus,Ross,1968-01-01,United Kingdom,,1992,
Marjane,Satrapi,1969-01-01,Iran,,,
Gordon,Hollingshead,1892-01-01,United States,1952-07-08,1916,1952
Joe,Lapis,1899-01-01,Hungary,1991-10-01,1929,1964
Michael,Corenblith,1951-01-01,United States,,1975,
Nino,Rota,1911-12-01,Italy,1979-04-01,,
Ernst,Fegté,1900-01-01,Germany,1976-12-01,1925,1975
D.J.,Gugenheim,,,,,
Mordecai,Richler,1931-01-01,Canada,2001-07-03,,
George,Sr.,1930-01-01,United States,2024-12-23,1965,1992
John,Hurt,1940-01-01,United Kingdom,2017-01-01,1961,2017
Scott,Cutler,,United States,,,
Robert,Clatworthy,1911-01-01,United States,1992-03-02,1943,1977
Hal,Kern,1894-01-01,United States,1985-02-24,1916,1963
Kim,Krizan,1961-01-01,United States,,,
Lucy,Alibar,1983-01-01,United States,,,
Addison,Teague,,,,1993,
Stanley,Kramer,1913-01-01,United States,2001-02-19,1933,1997
Laurent,Cantet,1961-01-01,France,2024-04-01,1987,2024
Michael,Thurmeier,1975-01-01,Canada,,1999,
Josh,Weston,,,,,
Marie-Ange,Luciani,1979-01-01,France,,,
Jesse,Armstrong,1970-01-01,United Kingdom,,2000,
Patrick,Doyle,1953-01-01,Scotland,,1979,
Claude,Rains,1889-01-01,United Kingdom,1967-05-01,1900,1965
David,White,,,,2004,
John,Mills,1908-01-01,United Kingdom,2005-04-01,1929,2005
John,Cox,1959-01-01,,,1983,2008
Robert,Russell,1912-01-01,,1992-02-11,,
Grant,Major,1955-01-01,New Zealand,,1979,
William,Fraker,1923-01-29,United States,2010-05-31,,
Justin,Henry,1971-01-01,United States,,1978,
Francis,Coppola,1939-01-01,United States,,1962,
Roger,Dicken,1939-01-01,United Kingdom,2024-02-01,,
Herbert,Moulton,,,,1934,1965
Bryan,Adams,1959-01-01,Canada,,1975,
Chuck,Jones,1912-01-01,United States,2002-02-22,1931,2001
Leigh,Harline,1907-01-01,United States ,1969-12-10,,
Megan,Mylan,,United States,,,
Steve,Tesich,1942-01-01,Serbia,1996-07-01,1970,1996
Vittorio,Novarese,1907-01-01,Italy,1983-10-01,1937,1981
Martha,Scott,1912-01-01,United States,2003-05-28,1940,1990
Barry,Levinson,1942-01-01,United States,,1970,
Peter,O'Toole,1932-01-01,United Kingdom,2013-12-01,1954,2012
Gabriella,Pescucci,1941-01-01,Italy,,1967,
Matt,Charman,1979-01-01,United Kingdom,,2004,
Shinobu,Muraki,1923-01-01,Japan,1997-01-16,,
Terry,Porter,1954-01-01,United States,,1980,
Stephen,Flaherty,1960-01-01,United States,,1982,
Sean,Penn,1960-01-01,United States,,1974,
