firstName,lastName,movieTitle,releaseYear
Lucien,Hubbard,Wings,1927
Jesse,L. Lasky,Wings,1927
B.P.,Schulberg,Wings,1927
Adolph,Zukor,Wings,1927
William,Fox,7th Heaven,1927
Howard,Hughes,The Racket,1927
Irving,Thalberg,The Broadway Melody,1928
Lawrence,Weingarten,The Broadway Melody,1928
Roland,West,Alibi,1928
Irving,Thalberg,The Hollywood Revue,1928
Harry,Rapf,The Hollywood Revue,1928
Winfield,Sheehan,In Old Arizona,1928
Carl,Laemmle Jr.,All Quiet on the Western Front,1929
Irving,Thalberg,The Big House,1929
Jack,L. Warner,Disraeli,1929
Darryl,F. Zanuck,Disraeli,1929
Robert,Z. Leonard,The Divorcee,1929
Ernst,Lubitsch,The Love Parade,1929
William,LeBaron,Cimarron,1930
Howard,Hughes,The Front Page,1930
Lewis,Milestone,The Front Page,1930
Jesse,L. Lasky,Skippy,1930
B.P.,Schulberg,Skippy,1930
Adolph,Zukor,Skippy,1930
Irving,Thalberg,Trader Horn,1930
Irving,Thalberg,Grand Hotel,1931
Samuel,Goldwyn,Arrowsmith,1931
King,Vidor,The Champ,1931
Hal,"B. Wallis, producer",Five Star Final,1931
Ernst,Lubitsch,One Hour with You,1931
Adolph,Zukor,Shanghai Express,1931
Ernst,"Lubitsch, producer",The Smiling Lieutenant,1931
Frank,Lloyd,Cavalcade,1932
Winfield,Sheehan,Cavalcade,1932
Frank,Capra,It Happened One Night,1934
Harry,Cohn,It Happened One Night,1934
Frank,Lloyd,Mutiny on the Bounty,1935
Irving,Thalberg,Mutiny on the Bounty,1935
Hunt,Stromberg,The Great Ziegfeld,1936
Samuel,Goldwyn,Dodsworth,1936
Henry,Blanke,The Life of Emile Zola,1937
Samuel,Goldwyn,Dead End,1937
Frank,Capra,You Can't Take It with You,1938
David,O. Selznick,Gone with the Wind,1939
David,O. Selznick,Rebecca,1940
Darryl,F. Zanuck,How Green Was My Valley,1941
Samuel,Goldwyn,The Little Foxes,1941
Sidney,Franklin,Mrs. Miniver,1942
Samuel,Goldwyn,The Pride of the Yankees,1942
Hal,B. Wallis,Casablanca,1943
Leo,McCarey,Going My Way,1944
David,O. Selznick,Since You Went Away,1944
Charles,Brackett,The Lost Weekend,1945
David,O. Selznick,Spellbound,1945
Samuel,Goldwyn,The Best Years of Our Lives,1946
